country,variable_name,fred_series_id,frequency,transform,status,notes
USA,us_2y_yield,GS2,monthly,raw,selected,US 2Y Treasury constant maturity
USA,us_10y_2y_spread,T10Y2YM,monthly,raw,selected,US 10Y minus 2Y Treasury spread
USA,us_housing_starts,HOUST,monthly,raw,selected,Seasonally adjusted housing starts
USA,us_ppi,PPIACO,monthly,raw,selected,Producer Price Index All Commodities
EURO_AREA,euro_area_hicp,CP0000EZ19M086NEST,monthly,raw,selected,Euro Area harmonized consumer prices
GERMANY,germany_10y_bund_yield,IRLTLT01DEM156N,monthly,raw,selected,Germany 10Y government benchmark
JAPAN,japan_10y_yield,IRLTLT01JPM156N,monthly,raw,selected,Japan 10Y government benchmark
INDIA,india_10y_yield,INDIRLTLT01STM,monthly,raw,selected,India 10Y government benchmark
SOUTH_KOREA,korea_10y_yield,IRLTLT01KRM156N,monthly,raw,selected,Korea 10Y government benchmark
SOUTH_KOREA,korea_exports,XTEXVA01KRM667N,monthly,raw,selected,Merchandise exports in USD
SOUTH_KOREA,korea_industrial_production,KORPRINTO01GYSAM,monthly,raw,selected,Industrial production YoY
