category,source_file,source_column,output_column,frequency,aggregation,availability_rule,role,include,reason
chile_cochilco,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/chile_cochilco_copper_cost_annual.csv,chile_average_copper_ore_grade_pct,chile_average_copper_ore_grade_pct,annual,repeat_within_year,observation_year,feature,True,
chile_cochilco,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/chile_cochilco_copper_cost_annual.csv,chile_concentrator_electricity_mj_per_ton,chile_concentrator_electricity_mj_per_ton,annual,repeat_within_year,observation_year,feature,True,
chile_cochilco,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/chile_cochilco_copper_cost_annual.csv,chile_copper_electricity_consumption_tj,chile_copper_electricity_consumption_tj,annual,repeat_within_year,observation_year,feature,True,
chile_cochilco,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/chile_cochilco_copper_cost_annual.csv,chile_copper_fuel_consumption_tj,chile_copper_fuel_consumption_tj,annual,repeat_within_year,observation_year,feature,True,
chile_cochilco,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/chile_cochilco_copper_cost_annual.csv,chile_copper_production_ton,chile_copper_production_ton,annual,repeat_within_year,observation_year,feature,True,
chile_cochilco,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/chile_cochilco_copper_cost_annual.csv,chile_copper_total_energy_consumption_tj,chile_copper_total_energy_consumption_tj,annual,repeat_within_year,observation_year,feature,True,
chile_cochilco,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/chile_cochilco_copper_cost_annual.csv,chile_mining_wage_index,chile_mining_wage_index,annual,repeat_within_year,observation_year,feature,True,
chile_cochilco,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/chile_cochilco_copper_cost_annual.csv,chile_mining_wage_yoy_pct,chile_mining_wage_yoy_pct,annual,repeat_within_year,observation_year,feature,True,
chile_cochilco,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/chile_cochilco_copper_cost_annual.csv,chile_open_pit_fuel_mj_per_ton,chile_open_pit_fuel_mj_per_ton,annual,repeat_within_year,observation_year,feature,True,
chile_cochilco,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/chile_cochilco_copper_cost_annual.csv,chile_sulfuric_acid_consumption_ton,chile_sulfuric_acid_consumption_ton,annual,repeat_within_year,observation_year,feature,True,
chile_cochilco,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/chile_cochilco_copper_cost_annual.csv,chile_sulfuric_acid_export_ton,chile_sulfuric_acid_export_ton,annual,repeat_within_year,observation_year,feature,True,
chile_cochilco,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/chile_cochilco_copper_cost_annual.csv,chile_sulfuric_acid_import_ton,chile_sulfuric_acid_import_ton,annual,repeat_within_year,observation_year,feature,True,
chile_cochilco,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/mining/chile_cochilco_copper_cost_annual.csv,chile_sulfuric_acid_production_ton,chile_sulfuric_acid_production_ton,annual,repeat_within_year,observation_year,feature,True,
china,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/china_electricity_generation_monthly.csv,china_electricity_generation_100m_kwh,china_electricity_generation_100m_kwh,monthly,as_is,native_month,feature,True,
china,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/china_fixed_asset_investment_monthly.csv,china_fixed_asset_investment_yoy_pct,china_fixed_asset_investment_yoy_pct,monthly,as_is,native_month,feature,True,
china,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/china_industrial_output_monthly.csv,china_industrial_value_added_yoy_pct,china_industrial_value_added_yoy_pct,monthly,as_is,native_month,feature,True,
china,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/china_ppi_monthly.csv,china_ppi_yoy_pct,china_ppi_yoy_pct,monthly,as_is,native_month,feature,True,
china,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/macro/china_real_estate_investment_monthly.csv,china_real_estate_investment_yoy_pct,china_real_estate_investment_yoy_pct,monthly,as_is,native_month,feature,True,
china,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/china_refined_copper_monthly.csv,china_refined_copper_production_ton,china_refined_copper_production_ton,monthly,as_is,native_month,feature,True,
commodities,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/worldbank_commodities_monthly.csv,coal_australia_usd_per_ton,coal_australia_usd_per_ton,monthly,as_is,native_month,feature,True,
commodities,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/worldbank_commodities_monthly.csv,gold_usd_per_troy_ounce,gold_usd_per_troy_ounce,monthly,as_is,native_month,feature,True,
commodities,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/worldbank_commodities_monthly.csv,iron_ore_usd_per_dmtu,iron_ore_usd_per_dmtu,monthly,as_is,native_month,feature,True,
commodities,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/worldbank_commodities_monthly.csv,platinum_usd_per_troy_ounce,platinum_usd_per_troy_ounce,monthly,as_is,native_month,feature,True,
commodities,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/worldbank_commodities_monthly.csv,silver_usd_per_troy_ounce,silver_usd_per_troy_ounce,monthly,as_is,native_month,feature,True,
commodities,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/worldbank_commodities_monthly.csv,wti_usd_per_barrel,wti_usd_per_barrel,monthly,as_is,native_month,feature,True,
copper_market,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_copper_daily.csv,cash_settlement_usd_per_ton,cash_settlement_usd_per_ton,daily,monthly_mean,same_month,target,True,
copper_market,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_copper_daily.csv,copper_3_month_usd_per_ton,copper_3_month_usd_per_ton,daily,exclude,same_month,feature,False,Excluded by project decision; LME cash settlement is target.
copper_market,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/lme_copper_daily.csv,copper_stock_ton,copper_stock_ton,daily,month_end_last,same_month,feature,True,
copper_market,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/shfe_copper_daily.csv,close_cny_per_ton,shfe_close_cny_per_ton,daily,monthly_mean,same_month,feature,True,
copper_market,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/shfe_copper_daily.csv,delivery_month,shfe_delivery_month,daily,exclude,same_month,feature,False,Excluded by project decision.
copper_market,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/shfe_copper_daily.csv,high_cny_per_ton,shfe_high_cny_per_ton,daily,exclude,same_month,feature,False,Excluded by project decision.
copper_market,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/shfe_copper_daily.csv,low_cny_per_ton,shfe_low_cny_per_ton,daily,exclude,same_month,feature,False,Excluded by project decision.
copper_market,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/shfe_copper_daily.csv,open_cny_per_ton,shfe_open_cny_per_ton,daily,exclude,same_month,feature,False,Excluded by project decision.
copper_market,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/shfe_copper_daily.csv,open_interest_change,shfe_open_interest_change,daily,monthly_sum,same_month,feature,True,
copper_market,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/shfe_copper_daily.csv,open_interest_lots,shfe_open_interest_lots,daily,month_end_last,same_month,feature,True,
copper_market,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/shfe_copper_daily.csv,pre_settlement_cny_per_ton,shfe_pre_settlement_cny_per_ton,daily,monthly_mean,same_month,feature,True,
copper_market,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/shfe_copper_daily.csv,settlement_cny_per_ton,shfe_settlement_cny_per_ton,daily,monthly_mean,same_month,feature,True,
copper_market,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/shfe_copper_daily.csv,turnover,shfe_turnover,daily,monthly_sum,same_month,feature,True,
copper_market,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/market/shfe_copper_daily.csv,volume_lots,shfe_volume_lots,daily,monthly_sum,same_month,feature,True,
energy_transition,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/energy_transition/energy_transition_annual.csv,china_ev_sales_units,china_ev_sales_units,annual,repeat_within_year,observation_year,feature,True,
energy_transition,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/energy_transition/energy_transition_annual.csv,china_ev_stock_units,china_ev_stock_units,annual,repeat_within_year,observation_year,feature,True,
energy_transition,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/energy_transition/energy_transition_annual.csv,europe_ev_sales_units,europe_ev_sales_units,annual,repeat_within_year,observation_year,feature,True,
energy_transition,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/energy_transition/energy_transition_annual.csv,europe_ev_stock_units,europe_ev_stock_units,annual,repeat_within_year,observation_year,feature,True,
energy_transition,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/energy_transition/energy_transition_annual.csv,global_ev_sales_share_percent,global_ev_sales_share_percent,annual,repeat_within_year,observation_year,feature,True,
energy_transition,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/energy_transition/energy_transition_annual.csv,global_ev_sales_units,global_ev_sales_units,annual,repeat_within_year,observation_year,feature,True,
energy_transition,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/energy_transition/energy_transition_annual.csv,global_ev_stock_units,global_ev_stock_units,annual,repeat_within_year,observation_year,feature,True,
energy_transition,/home/train/Copper_Prediction_with_Machine_Learning/data/raw/energy_transition/energy_transition_annual.csv,global_renewable_capacity_mw,global_renewable_capacity_mw,annual,repeat_within_year,observation_year,feature,True,
