model,training_window_years,horizon,observations,mae,rmse,mape_pct,smape_pct,bias,directional_accuracy_pct
arima,5,1,19,448.8022229985213,543.8760414740754,3.9345563402748085,3.997135676800203,-221.26822629938923,47.368421052631575
arima,10,1,19,466.0308889431396,546.8870363091261,4.073142520821425,4.1296536955469465,-203.96995102285072,42.10526315789473
arima,8,1,19,470.7380972716346,551.7790069342234,4.116350527963339,4.172935408858996,-201.12337578781234,42.10526315789473
arima,10,3,17,808.0327080528016,1044.9040309568793,6.649473041846283,7.002581654758824,-658.612758990217,64.70588235294117
arima,8,3,17,818.0110953298076,1050.5552467787436,6.74942409468057,7.106129702499661,-652.9578596010167,64.70588235294117
arima,5,3,17,818.9903945631768,1055.0412246273636,6.7544803960658,7.130656810388432,-687.5032463926167,58.82352941176471
arima,8,6,14,1586.5911702192134,1917.7547767237606,12.664708497985064,13.938194999808545,-1537.9706088379503,71.42857142857143
arima,10,6,14,1587.3919300252942,1913.050589961668,12.679144015889365,13.942901163762919,-1545.8108769479463,71.42857142857143
arima,5,6,14,1589.1042923527514,1932.9306717444447,12.693206669174867,13.988688056604873,-1578.2907755534802,64.28571428571429
arima,5,12,8,3721.673077792017,3772.3964371255615,27.8885987291113,32.525777927595875,-3721.673077792017,50.0
arima,10,12,8,3732.0262806819383,3780.6957209424922,27.968135924131328,32.62716703558059,-3732.0262806819383,62.5
arima,8,12,8,3732.513009074931,3784.221489070712,27.97193066716337,32.64293155864174,-3732.513009074931,62.5
