feature_1,feature_2,paired_observations,pearson_correlation,abs_pearson_correlation
china_refined_copper_production_ton,source_value_10000_ton,115,1.0000000000000002,1.0000000000000002
shfe_close_cny_per_ton,shfe_settlement_cny_per_ton,128,0.9999940683819799,0.9999940683819799
shfe_pre_settlement_cny_per_ton,shfe_settlement_cny_per_ton,128,0.999957215377517,0.999957215377517
shfe_close_cny_per_ton,shfe_pre_settlement_cny_per_ton,128,0.999925763655436,0.999925763655436
turkey_ppi_electrical_equipment_index,turkey_ppi_household_appliances_index,140,0.9993447836258326,0.9993447836258326
turkey_domestic_ppi_index,turkey_ppi_electrical_equipment_index,140,0.9991125831794588,0.9991125831794588
turkey_ppi_household_appliances_index,turkey_ppi_motor_vehicles_index,140,0.9990272285845256,0.9990272285845256
turkey_ppi_metal_ores_index,turkey_ppi_nonferrous_metal_ores_index,140,0.9989674562926373,0.9989674562926373
turkey_ppi_electrical_equipment_index,turkey_ppi_motor_vehicles_index,140,0.9989576742565721,0.9989576742565721
china_ev_stock_units,global_ev_stock_units,132,0.9987047512824071,0.9987047512824071
turkey_domestic_ppi_index,turkey_ppi_household_appliances_index,140,0.9986734469403347,0.9986734469403347
europe_ev_stock_units,global_ev_sales_units,132,0.9984284558236788,0.9984284558236788
china_ev_stock_units,rest_of_world_ev_sales_units,132,0.9983929281076196,0.9983929281076196
china_ev_stock_units,rest_of_world_ev_stock_units,132,0.9982381425286581,0.9982381425286581
turkey_ppi_metal_ores_index,turkey_ppi_nonferrous_metals_index,140,0.9981473366162525,0.9981473366162525
turkey_eur_try_monthly_average,turkey_usd_try_monthly_average,140,0.9980419401904083,0.9980419401904083
turkey_eur_try_monthly_average,turkey_ppi_motor_vehicles_index,140,0.998004985971507,0.998004985971507
turkey_domestic_ppi_index,turkey_ppi_motor_vehicles_index,140,0.9979137857273682,0.9979137857273682
icsg_mine_production_ton,global_ev_sales_share_percent,84,0.9978968722607945,0.9978968722607945
china_ev_sales_units,global_ev_sales_units,132,0.9976377278007046,0.9976377278007046
turkey_ppi_electrical_equipment_index,turkey_ppi_wire_cable_index,140,0.997425982331596,0.997425982331596
global_solar_capacity_mw,usa_ev_stock_units,132,0.9973458604049862,0.9973458604049862
turkey_eur_try_monthly_average,turkey_ppi_electrical_equipment_index,140,0.9973375386783353,0.9973375386783353
global_ev_stock_units,usa_ev_stock_units,132,0.9970414591488118,0.9970414591488118
icsg_refined_production_ton,rest_of_world_ev_sales_units,84,0.996792301512454,0.996792301512454
global_ev_stock_units,rest_of_world_ev_sales_units,132,0.9967050114700143,0.9967050114700143
rest_of_world_ev_sales_units,rest_of_world_ev_stock_units,132,0.9966214847285778,0.9966214847285778
turkey_ppi_motor_vehicles_index,turkey_usd_try_monthly_average,140,0.9966205937090594,0.9966205937090594
turkey_domestic_ppi_index,turkey_eur_try_monthly_average,140,0.9965693747806262,0.9965693747806262
turkey_domestic_ppi_index,turkey_usd_try_monthly_average,140,0.9964647961515286,0.9964647961515286
global_renewable_capacity_mw,global_solar_capacity_mw,132,0.9961888188561459,0.9961888188561459
turkey_eur_try_monthly_average,turkey_ppi_household_appliances_index,140,0.9960218514266811,0.9960218514266811
turkey_ppi_nonferrous_metal_ores_index,turkey_ppi_nonferrous_metals_index,140,0.9959901505541446,0.9959901505541446
turkey_domestic_ppi_index,turkey_ppi_wire_cable_index,140,0.9959788402555083,0.9959788402555083
turkey_ppi_electrical_equipment_index,turkey_usd_try_monthly_average,140,0.9957853619689052,0.9957853619689052
global_ev_sales_share_percent,global_ev_sales_units,132,0.9957086871530706,0.9957086871530706
turkey_cpi_index,turkey_ppi_household_appliances_index,140,0.9954949985117069,0.9954949985117069
usa_nasdaq_composite,usa_sp500,140,0.9954291766135279,0.9954291766135279
turkey_ppi_basic_metals_index,turkey_usd_try_monthly_average,140,0.9952387602757248,0.9952387602757248
world_copper_mine_production_ton,usa_ev_sales_units,120,0.9952296921508372,0.9952296921508372
turkey_cpi_index,turkey_ppi_electrical_equipment_index,140,0.9952109896032312,0.9952109896032312
world_copper_mine_production_ton,icsg_mine_production_ton,84,0.9951823216406976,0.9951823216406976
icsg_refined_production_ton,china_ev_stock_units,84,0.9950385500693057,0.9950385500693057
global_ev_stock_units,rest_of_world_ev_stock_units,132,0.9950039702663901,0.9950039702663901
turkey_ppi_household_appliances_index,turkey_ppi_wire_cable_index,140,0.9949438475276621,0.9949438475276621
turkey_ppi_household_appliances_index,turkey_usd_try_monthly_average,140,0.9948498118180553,0.9948498118180553
global_ev_stock_units,global_solar_capacity_mw,132,0.994718798575857,0.994718798575857
world_copper_refinery_production_ton,global_renewable_capacity_mw,96,0.9944719680449369,0.9944719680449369
icsg_refined_production_ton,global_ev_stock_units,84,0.994315682836664,0.994315682836664
turkey_cpi_index,turkey_ppi_motor_vehicles_index,140,0.9942322554814309,0.9942322554814309
icsg_refined_production_ton,usa_ev_stock_units,84,0.9941059234999051,0.9941059234999051
china_ev_sales_units,europe_ev_stock_units,132,0.9939237409169023,0.9939237409169023
europe_ev_stock_units,global_ev_sales_share_percent,132,0.9938830085769538,0.9938830085769538
global_economic_policy_uncertainty_index,global_economic_policy_uncertainty_ppp_index,139,0.9937477133995117,0.9937477133995117
global_renewable_capacity_mw,global_wind_capacity_mw,132,0.9937432650581901,0.9937432650581901
turkey_ppi_motor_vehicles_index,turkey_ppi_wire_cable_index,140,0.9936347905528086,0.9936347905528086
euro_area_hicp,us_cpi_index,138,0.9936308679886147,0.9936308679886147
turkey_cpi_index,turkey_ppi_wire_cable_index,140,0.9935247098801381,0.9935247098801381
china_ev_stock_units,usa_ev_stock_units,132,0.993449545938221,0.993449545938221
japan_cpi,turkey_ppi_motor_vehicles_index,139,0.9933024650217,0.9933024650217
wti_usd_per_barrel,brent_oil_usd,139,0.9932288094067389,0.9932288094067389
turkey_eur_try_monthly_average,turkey_ppi_wire_cable_index,140,0.9931676349223089,0.9931676349223089
turkey_cpi_index,turkey_domestic_ppi_index,140,0.992815171307227,0.992815171307227
world_copper_refinery_production_ton,global_solar_capacity_mw,96,0.9927931543078545,0.9927931543078545
japan_cpi,turkey_ppi_household_appliances_index,139,0.9927444420313414,0.9927444420313414
turkey_ppi_basic_metals_index,china_ev_sales_units,132,0.992645108328316,0.992645108328316
world_copper_mine_production_ton,global_ev_sales_share_percent,120,0.9924735431495852,0.9924735431495852
turkey_eur_try_monthly_average,turkey_ppi_basic_metals_index,140,0.991865096128017,0.991865096128017
turkey_domestic_ppi_index,turkey_ppi_basic_metals_index,140,0.9917564405894915,0.9917564405894915
japan_cpi,turkey_domestic_ppi_index,139,0.9917406317276478,0.9917406317276478
europe_ev_stock_units,usa_ev_stock_units,132,0.991639113099642,0.991639113099642
china_ev_sales_units,global_ev_stock_units,132,0.991610921028595,0.991610921028595
icsg_refined_usage_ton,china_ev_sales_units,84,0.991381554636214,0.991381554636214
japan_cpi,turkey_ppi_electrical_equipment_index,139,0.9913717291910584,0.9913717291910584
world_copper_refinery_production_ton,global_ev_stock_units,96,0.991134987627912,0.991134987627912
usa_dow_jones,usa_sp500,140,0.9910961718488481,0.9910961718488481
rest_of_world_ev_sales_units,usa_ev_stock_units,132,0.9910733907312104,0.9910733907312104
world_copper_refinery_production_ton,usa_ev_stock_units,96,0.991019029399542,0.991019029399542
japan_cpi,turkey_usd_try_monthly_average,139,0.9909416677008298,0.9909416677008298
icsg_refined_production_ton,global_solar_capacity_mw,84,0.9907891903908996,0.9907891903908996
global_renewable_capacity_mw,usa_ev_stock_units,132,0.9907757173013182,0.9907757173013182
turkey_ppi_basic_metals_index,global_ev_sales_units,132,0.9907718450470725,0.9907718450470725
china_ev_stock_units,global_solar_capacity_mw,132,0.9907002513763177,0.9907002513763177
icsg_mine_production_ton,global_ev_sales_units,84,0.990689355936173,0.990689355936173
china_ev_sales_units,usa_ev_stock_units,132,0.9906567373551121,0.9906567373551121
europe_ev_stock_units,global_renewable_capacity_mw,132,0.9905123222342486,0.9905123222342486
turkey_ppi_electrical_equipment_index,turkey_bist100,140,0.9903790867412083,0.9903790867412083
turkey_ppi_household_appliances_index,turkey_bist100,140,0.9902205571763861,0.9902205571763861
icsg_refined_production_ton,icsg_refined_usage_ton,92,0.9901496700551146,0.9901496700551146
turkey_ppi_wire_cable_index,turkey_usd_try_monthly_average,140,0.9900387842858269,0.9900387842858269
europe_ev_stock_units,global_solar_capacity_mw,132,0.9899749863959032,0.9899749863959032
japan_cpi,turkey_eur_try_monthly_average,139,0.9899728036134366,0.9899728036134366
europe_ev_stock_units,global_ev_stock_units,132,0.9899711844192949,0.9899711844192949
turkey_cpi_index,turkey_eur_try_monthly_average,140,0.9898122483046434,0.9898122483046434
global_ev_sales_units,usa_ev_stock_units,132,0.9896728253500534,0.9896728253500534
icsg_refined_production_ton,chile_copper_fuel_consumption_tj,72,0.9896482885028683,0.9896482885028683
euro_area_hicp,japan_ppi,139,0.9896424204281358,0.9896424204281358
turkey_ppi_household_appliances_index,china_ev_stock_units,132,0.9895451469610923,0.9895451469610923
turkey_ppi_basic_metals_index,turkey_ppi_electrical_equipment_index,140,0.989444314824998,0.989444314824998
us_cpi_index,icsg_mine_production_ton,90,0.9893418195573763,0.9893418195573763
turkey_ppi_electrical_equipment_index,china_ev_stock_units,132,0.9893000787828967,0.9893000787828967
turkey_ppi_motor_vehicles_index,turkey_bist100,140,0.9891287789888269,0.9891287789888269
china_ev_sales_units,global_ev_sales_share_percent,132,0.9891087192237922,0.9891087192237922
icsg_refined_production_ton,rest_of_world_ev_stock_units,84,0.9890429946867425,0.9890429946867425
turkey_ppi_electrical_equipment_index,global_ev_stock_units,132,0.9890161505381856,0.9890161505381856
turkey_ppi_wire_cable_index,global_ev_stock_units,132,0.9889644167768822,0.9889644167768822
turkey_ppi_motor_vehicles_index,china_ev_stock_units,132,0.9889576026337249,0.9889576026337249
global_ev_sales_units,global_ev_stock_units,132,0.9889074078395239,0.9889074078395239
turkey_domestic_ppi_index,turkey_bist100,140,0.988888359507495,0.988888359507495
turkey_ppi_household_appliances_index,rest_of_world_ev_sales_units,132,0.9885441222417931,0.9885441222417931
us_cpi_index,global_ev_sales_share_percent,131,0.9885111420796747,0.9885111420796747
us_cpi_index,world_copper_mine_production_ton,119,0.9885022489557912,0.9885022489557912
turkey_cpi_index,rest_of_world_ev_stock_units,132,0.9884701018834771,0.9884701018834771
turkey_cpi_index,china_ev_stock_units,132,0.9884573169066658,0.9884573169066658
world_copper_refinery_production_ton,europe_ev_stock_units,96,0.9883950015712941,0.9883950015712941
turkey_ppi_electrical_equipment_index,rest_of_world_ev_sales_units,132,0.9882233813141392,0.9882233813141392
chile_copper_total_energy_consumption_tj,global_wind_capacity_mw,120,0.9881158941337709,0.9881158941337709
rest_of_world_ev_stock_units,usa_ev_stock_units,132,0.9879861186843687,0.9879861186843687
turkey_ppi_motor_vehicles_index,global_ev_stock_units,132,0.9879579247011158,0.9879579247011158
turkey_ppi_household_appliances_index,global_ev_stock_units,132,0.9879416648787264,0.9879416648787264
turkey_ppi_wire_cable_index,china_ev_stock_units,132,0.9876141463540357,0.9876141463540357
turkey_ppi_basic_metals_index,turkey_ppi_motor_vehicles_index,140,0.9876019952523148,0.9876019952523148
turkey_domestic_ppi_index,global_ev_stock_units,132,0.9875127218975712,0.9875127218975712
global_solar_capacity_mw,rest_of_world_ev_stock_units,132,0.9874491382847898,0.9874491382847898
turkey_ppi_motor_vehicles_index,rest_of_world_ev_sales_units,132,0.9874237926081232,0.9874237926081232
turkey_eur_try_monthly_average,global_ev_stock_units,132,0.9874105418736158,0.9874105418736158
turkey_usd_try_monthly_average,global_ev_stock_units,132,0.987246928972948,0.987246928972948
turkey_domestic_ppi_index,china_ev_stock_units,132,0.9872390252318113,0.9872390252318113
turkey_ppi_basic_metals_index,turkey_ppi_wire_cable_index,140,0.987199110006258,0.987199110006258
turkey_ppi_wire_cable_index,turkey_bist100,140,0.9871329823348306,0.9871329823348306
turkey_ppi_wire_cable_index,usa_ev_stock_units,132,0.9870547218950526,0.9870547218950526
global_solar_capacity_mw,rest_of_world_ev_sales_units,132,0.9870411161804034,0.9870411161804034
turkey_ppi_basic_metals_index,europe_ev_stock_units,132,0.986985343692773,0.986985343692773
turkey_usd_try_monthly_average,usa_ev_stock_units,132,0.9869540109974827,0.9869540109974827
turkey_cpi_index,rest_of_world_ev_sales_units,132,0.9868851584186427,0.9868851584186427
icsg_mine_production_ton,china_ev_sales_units,84,0.9868248556407314,0.9868248556407314
global_ev_sales_share_percent,usa_ev_sales_units,132,0.9867834130741784,0.9867834130741784
turkey_ppi_wire_cable_index,china_ev_sales_units,132,0.986766266972638,0.986766266972638
turkey_ppi_basic_metals_index,turkey_ppi_household_appliances_index,140,0.9867642123313686,0.9867642123313686
global_ev_sales_units,global_solar_capacity_mw,132,0.9867636173854424,0.9867636173854424
icsg_refined_usage_ton,global_ev_sales_units,84,0.9866550224931231,0.9866550224931231
world_copper_refinery_production_ton,china_ev_stock_units,96,0.9866328615599186,0.9866328615599186
turkey_ppi_wire_cable_index,rest_of_world_ev_sales_units,132,0.986612146722486,0.986612146722486
china_ev_sales_units,china_ev_stock_units,132,0.9865669788040876,0.9865669788040876
turkey_domestic_ppi_index,rest_of_world_ev_sales_units,132,0.9865496651970136,0.9865496651970136
turkey_usd_try_monthly_average,china_ev_sales_units,132,0.9865309065845568,0.9865309065845568
global_ev_sales_units,global_renewable_capacity_mw,132,0.9865077394819983,0.9865077394819983
icsg_mine_production_ton,usa_ev_sales_units,84,0.9863977262973154,0.9863977262973154
japan_cpi,turkey_cpi_index,139,0.9863215538818051,0.9863215538818051
turkey_ppi_electrical_equipment_index,usa_ev_stock_units,132,0.9861313864853596,0.9861313864853596
turkey_eur_try_monthly_average,usa_ev_stock_units,132,0.9860818040991302,0.9860818040991302
uk_ftse100_antofagasta,usa_sp500_southern_copper,140,0.986050620857904,0.986050620857904
turkey_eur_try_monthly_average,china_ev_stock_units,132,0.9859298698694284,0.9859298698694284
icsg_refined_production_ton,global_renewable_capacity_mw,84,0.9857290457182919,0.9857290457182919
world_copper_refinery_production_ton,global_wind_capacity_mw,96,0.9854927539803388,0.9854927539803388
japan_ppi,turkey_ppi_basic_metals_index,139,0.9853485725148851,0.9853485725148851
turkey_cpi_index,turkey_ppi_nonferrous_metals_index,140,0.9852150071551236,0.9852150071551236
turkey_ppi_household_appliances_index,rest_of_world_ev_stock_units,132,0.9851363403890853,0.9851363403890853
global_cargo_portcalls,global_portcalls,92,0.9851082662494436,0.9851082662494436
turkey_domestic_ppi_index,china_ev_sales_units,132,0.9850961709817302,0.9850961709817302
