year,months,total_cells,missing_cells,missing_ratio,fully_available_features
2015,12,2532,452,0.17851500789889416,167
2016,12,2532,371,0.14652448657187994,174
2017,12,2532,322,0.12717219589257503,179
2018,12,2532,298,0.11769352290679304,181
2019,12,2532,70,0.027646129541864142,200
2020,12,2532,39,0.015402843601895734,202
2021,12,2532,28,0.011058451816745654,203
2022,12,2532,11,0.004344391785150079,204
2023,12,2532,22,0.008688783570300158,204
2024,12,2532,10,0.0039494470774091624,205
2025,12,2532,167,0.06595576619273301,191
2026,8,1688,380,0.22511848341232227,119
