feature,category,frequency,aggregation,paired_observations,pearson_correlation,abs_pearson_correlation,spearman_correlation,abs_spearman_correlation
shfe_close_cny_per_ton,copper_market,daily,monthly_mean,128,0.9877531294200343,0.9877531294200343,0.9804923548800585,0.9804923548800585
shfe_settlement_cny_per_ton,copper_market,daily,monthly_mean,128,0.987749168927765,0.987749168927765,0.9805266892510528,0.9805266892510528
shfe_pre_settlement_cny_per_ton,copper_market,daily,monthly_mean,128,0.9876448108677578,0.9876448108677578,0.9798457242263321,0.9798457242263321
euro_area_copper_production_ppi,global_macro,monthly,as_is,138,0.960324184179102,0.960324184179102,0.9535328954181067,0.9535328954181067
usa_sp500_freeport_mcmoran,equities_companies,monthly,as_is,140,0.9595004946940398,0.9595004946940398,0.9256915440292145,0.9256915440292145
tin_cash_usd_per_ton,other_metals,daily,monthly_mean,140,0.951541135497603,0.951541135497603,0.9261988585423456,0.9261988585423456
uk_ftse100_antofagasta,equities_companies,monthly,as_is,140,0.9453284508969575,0.9453284508969575,0.9476547637270125,0.9476547637270125
aluminum_cash_usd_per_ton,other_metals,daily,monthly_mean,140,0.9390201874898481,0.9390201874898481,0.9518969626730228,0.9518969626730228
canada_tsx_composite,equities_indices,monthly,as_is,140,0.9377984126881963,0.9377984126881963,0.9260326693052854,0.9260326693052854
canada_tsx_composite_capstone_copper,equities_companies,monthly,as_is,140,0.9355907204420414,0.9355907204420414,0.9092201233524527,0.9092201233524527
usa_dow_jones,equities_indices,monthly,as_is,140,0.9336247501415816,0.9336247501415816,0.9176838468434979,0.9176838468434979
usa_nasdaq_composite,equities_indices,monthly,as_is,140,0.9330908487055446,0.9330908487055446,0.9040125953948088,0.9040125953948088
usa_sp500,equities_indices,monthly,as_is,140,0.9325966157906734,0.9325966157906734,0.9104458682294287,0.9104458682294287
usa_sp500_southern_copper,equities_companies,monthly,as_is,140,0.9235680332174265,0.9235680332174265,0.9368612101200499,0.9368612101200499
hong_kong_hang_seng_zijin_mining,equities_companies,monthly,as_is,140,0.916270974256773,0.916270974256773,0.9140801644398768,0.9140801644398768
japan_nikkei225,equities_indices,monthly,as_is,140,0.9161981260972597,0.9161981260972597,0.912763770746321,0.912763770746321
australia_asx200,equities_indices,monthly,as_is,140,0.9124105672077312,0.9124105672077312,0.913953335811594,0.913953335811594
australia_asx200_rio_tinto,equities_companies,monthly,as_is,140,0.9026749580039511,0.9026749580039511,0.8695633159126196,0.8695633159126196
germany_dax,equities_indices,monthly,as_is,140,0.8937243749093583,0.8937243749093583,0.9193588594170258,0.9193588594170258
europe_ev_sales_units,energy_transition,annual,repeat_within_year,132,0.8842314158701051,0.8842314158701051,0.8363046622393085,0.8363046622393085
australia_asx200_bhp,equities_companies,monthly,as_is,140,0.883388360014427,0.883388360014427,0.8475957228138463,0.8475957228138463
germany_exports,macro_fred,monthly,as_is,137,0.8831853394798733,0.8831853394798733,0.9010584875016333,0.9010584875016333
canada_tsx_composite_lundin_mining,equities_companies,monthly,as_is,140,0.8816383869501685,0.8816383869501685,0.9321029498589579,0.9321029498589579
us_ppi,macro_fred,monthly,as_is,139,0.8803898708804937,0.8803898708804937,0.8812087360210259,0.8812087360210259
india_nifty50,equities_indices,monthly,as_is,140,0.8790980043026194,0.8790980043026194,0.8887581727930726,0.8887581727930726
germany_dax_aurubis,equities_companies,monthly,as_is,140,0.8783574041562638,0.8783574041562638,0.8751612691609633,0.8751612691609633
indonesia_exports,macro_fred,monthly,as_is,138,0.8752708293163496,0.8752708293163496,0.8963900919886116,0.8963900919886116
m2_money_supply,macro_fred,monthly,as_is,139,0.8720665886466477,0.8720665886466477,0.8837928415031948,0.8837928415031948
poland_wig20_kghm,equities_companies,monthly,as_is,140,0.8716490628146238,0.8716490628146238,0.8669349019264833,0.8669349019264833
peru_bvl_general,equities_indices,monthly,as_is,139,0.8680069104720719,0.8680069104720719,0.8582018856964116,0.8582018856964116
turkey_ppi_basic_metals_index,turkey,monthly,as_is,140,0.8669679820935328,0.8669679820935328,0.8788261791782381,0.8788261791782381
canada_tsx_composite_teck_resources,equities_companies,monthly,as_is,140,0.866768598193345,0.866768598193345,0.8186131945507424,0.8186131945507424
us_cpi_index,macro_fred,monthly,as_is,138,0.8652464970561754,0.8652464970561754,0.8632796714072727,0.8632796714072727
korea_exports,macro_fred,monthly,as_is,138,0.8627410259617102,0.8627410259617102,0.8650285737769668,0.8650285737769668
global_wind_capacity_mw,energy_transition,annual,repeat_within_year,132,0.8608704423972323,0.8608704423972323,0.8400916941369451,0.8400916941369451
turkey_ppi_nonferrous_metals_index,turkey,monthly,as_is,140,0.860695044632886,0.860695044632886,0.879525923334281,0.879525923334281
turkey_ppi_wire_cable_index,turkey,monthly,as_is,140,0.8606026581115074,0.8606026581115074,0.868427181154639,0.868427181154639
gold_usd_per_troy_ounce,commodities,monthly,as_is,139,0.8553429474470664,0.8553429474470664,0.8362056542545091,0.8362056542545091
global_ev_sales_share_percent,energy_transition,annual,repeat_within_year,132,0.8543074921899655,0.8543074921899655,0.8400916941369451,0.8400916941369451
japan_ppi,global_macro,monthly,as_is,139,0.8541148354165472,0.8541148354165472,0.8606308608399941,0.8606308608399941
canada_tsx_composite_first_quantum_minerals,equities_companies,monthly,as_is,140,0.8508331128307342,0.8508331128307342,0.853845312807505,0.853845312807505
turkey_eur_try_monthly_average,turkey,monthly,as_is,140,0.8493164211309978,0.8493164211309978,0.8671885591830488,0.8671885591830488
turkey_ppi_metal_ores_index,turkey,monthly,as_is,140,0.8486974727387951,0.8486974727387951,0.86606896853338,0.86606896853338
turkey_exports_usd,turkey,monthly,as_is,139,0.8476493933716065,0.8476493933716065,0.8478752401805264,0.8478752401805264
turkey_ppi_nonferrous_metal_ores_index,turkey,monthly,as_is,140,0.8433025392498614,0.8433025392498614,0.8661301961470338,0.8661301961470338
usd_inr,macro_fred,monthly,as_is,140,0.8426572699628347,0.8426572699628347,0.7780236600992763,0.7780236600992763
turkey_ppi_electrical_equipment_index,turkey,monthly,as_is,140,0.8418194356881743,0.8418194356881743,0.8653386105705103,0.8653386105705103
turkey_domestic_ppi_index,turkey,monthly,as_is,140,0.8388038322069209,0.8388038322069209,0.865937766504122,0.865937766504122
turkey_usd_try_monthly_average,turkey,monthly,as_is,140,0.8385175966703221,0.8385175966703221,0.8628545188165578,0.8628545188165578
china_csi300_jiangxi_copper,equities_companies,monthly,as_is,140,0.8376002204145135,0.8376002204145135,0.8412936520084846,0.8412936520084846
global_renewable_capacity_mw,energy_transition,annual,repeat_within_year,132,0.8364296110504517,0.8364296110504517,0.8400916941369451,0.8400916941369451
global_ev_sales_units,energy_transition,annual,repeat_within_year,132,0.8359777442616516,0.8359777442616516,0.8400916941369451,0.8400916941369451
turkey_cpi_index,turkey,monthly,as_is,140,0.8330421559271909,0.8330421559271909,0.8651155671207716,0.8651155671207716
euro_area_hicp,macro_fred,monthly,as_is,139,0.8329548214071827,0.8329548214071827,0.8568208045779602,0.8568208045779602
chile_copper_total_energy_consumption_tj,chile_cochilco,annual,repeat_within_year,120,0.8327987220723445,0.8327987220723445,0.8295200134722475,0.8295200134722475
europe_ev_stock_units,energy_transition,annual,repeat_within_year,132,0.8325782146925123,0.8325782146925123,0.8400916941369451,0.8400916941369451
chile_copper_electricity_consumption_tj,chile_cochilco,annual,repeat_within_year,120,0.8316687613886575,0.8316687613886575,0.8638599978748749,0.8638599978748749
turkey_ppi_motor_vehicles_index,turkey,monthly,as_is,140,0.8314587779053589,0.8314587779053589,0.864892523671033,0.864892523671033
usa_ev_sales_units,energy_transition,annual,repeat_within_year,132,0.8311958772504529,0.8311958772504529,0.8491452193544065,0.8491452193544065
turkey_ppi_household_appliances_index,turkey,monthly,as_is,140,0.8304218416238419,0.8304218416238419,0.864975618289563,0.864975618289563
world_copper_mine_production_ton,usgs,annual,repeat_within_year,120,0.8274105981465316,0.8274105981465316,0.8077119792047011,0.8077119792047011
silver_usd_per_troy_ounce,commodities,monthly,as_is,139,0.8264442860536871,0.8264442860536871,0.8317275486685356,0.8317275486685356
uk_ftse100,equities_indices,monthly,as_is,140,0.8250175744826308,0.8250175744826308,0.7184404452122194,0.7184404452122194
turkey_imports_usd,turkey,monthly,as_is,139,0.8210354761172558,0.8210354761172558,0.8211135439474507,0.8211135439474507
south_korea_kospi,equities_indices,monthly,as_is,140,0.8201386682646281,0.8201386682646281,0.9395552251208154,0.9395552251208154
source_value_10000_ton,china,monthly,as_is,115,0.8196176539376776,0.8196176539376776,0.8103789423878074,0.8103789423878074
china_refined_copper_production_ton,china,monthly,as_is,115,0.8196176539376775,0.8196176539376775,0.8103789423878074,0.8103789423878074
china_ev_sales_units,energy_transition,annual,repeat_within_year,132,0.8149784963158948,0.8149784963158948,0.8525402913109545,0.8525402913109545
global_solar_capacity_mw,energy_transition,annual,repeat_within_year,132,0.8114679108734169,0.8114679108734169,0.8400916941369451,0.8400916941369451
turkey_bist100,equities_indices,monthly,as_is,140,0.8113462461556662,0.8113462461556662,0.901327327195994,0.901327327195994
chile_ipsa,equities_indices,monthly,as_is,140,0.8055941125347414,0.8055941125347414,0.7009643349150468,0.7009643349150468
japan_cpi,global_macro,monthly,as_is,139,0.8003158888880926,0.8003158888880926,0.776465984054289,0.776465984054289
icsg_refined_usage_ton,icsg,annual,repeat_within_year,92,0.7951805704413312,0.7951805704413312,0.7624062648703822,0.7624062648703822
usd_idr,macro_fred,monthly,as_is,139,0.7929323245438704,0.7929323245438704,0.7318915054291969,0.7318915054291969
usa_ev_stock_units,energy_transition,annual,repeat_within_year,132,0.7928978732603911,0.7928978732603911,0.8400916941369451,0.8400916941369451
global_ev_stock_units,energy_transition,annual,repeat_within_year,132,0.7903312410327706,0.7903312410327706,0.8400916941369451,0.8400916941369451
peru_mining_employment,peru_mining,annual,repeat_within_year,72,0.784792347851675,0.784792347851675,0.5846214160032224,0.5846214160032224
usa_nyse_hecla_mining,equities_companies,monthly,as_is,140,0.78220754868032,0.78220754868032,0.6861822396186396,0.6861822396186396
