feature,category,frequency,aggregation,feature_lag_months,paired_observations,pearson_correlation,abs_pearson_correlation,spearman_correlation,abs_spearman_correlation
shfe_close_cny_per_ton,copper_market,daily,monthly_mean,0,128,0.9877531294200343,0.9877531294200343,0.9804923548800585,0.9804923548800585
shfe_settlement_cny_per_ton,copper_market,daily,monthly_mean,0,128,0.987749168927765,0.987749168927765,0.9805266892510528,0.9805266892510528
shfe_pre_settlement_cny_per_ton,copper_market,daily,monthly_mean,0,128,0.9876448108677578,0.9876448108677578,0.9798457242263321,0.9798457242263321
shfe_close_cny_per_ton,copper_market,daily,monthly_mean,1,127,0.9758171017874653,0.9758171017874653,0.9617196287964004,0.9617196287964004
shfe_settlement_cny_per_ton,copper_market,daily,monthly_mean,1,127,0.9756104382689185,0.9756104382689185,0.9609638638920134,0.9609638638920134
shfe_pre_settlement_cny_per_ton,copper_market,daily,monthly_mean,1,127,0.9747320877318856,0.9747320877318856,0.9583802024746907,0.9583802024746907
euro_area_copper_production_ppi,global_macro,monthly,as_is,0,138,0.960324184179102,0.960324184179102,0.9535328954181067,0.9535328954181067
usa_sp500_freeport_mcmoran,equities_companies,monthly,as_is,0,140,0.9595004946940398,0.9595004946940398,0.9256915440292145,0.9256915440292145
shfe_close_cny_per_ton,copper_market,daily,monthly_mean,2,126,0.9592524976170209,0.9592524976170209,0.9356760404949382,0.9356760404949382
shfe_settlement_cny_per_ton,copper_market,daily,monthly_mean,2,126,0.959110443125117,0.959110443125117,0.9348181477315337,0.9348181477315337
shfe_pre_settlement_cny_per_ton,copper_market,daily,monthly_mean,2,126,0.9584269420557903,0.9584269420557903,0.9329403824521936,0.9329403824521936
tin_cash_usd_per_ton,other_metals,daily,monthly_mean,0,140,0.951541135497603,0.951541135497603,0.9261988585423456,0.9261988585423456
uk_ftse100_antofagasta,equities_companies,monthly,as_is,0,140,0.9453284508969575,0.9453284508969575,0.9476547637270125,0.9476547637270125
uk_ftse100_antofagasta,equities_companies,monthly,as_is,1,139,0.9434170836220939,0.9434170836220939,0.9428079896331382,0.9428079896331382
euro_area_copper_production_ppi,global_macro,monthly,as_is,1,138,0.9430458234318134,0.9430458234318134,0.9249514532514648,0.9249514532514648
shfe_close_cny_per_ton,copper_market,daily,monthly_mean,3,125,0.942572424141553,0.942572424141553,0.9127250384024577,0.9127250384024577
shfe_settlement_cny_per_ton,copper_market,daily,monthly_mean,3,125,0.9424162039693987,0.9424162039693987,0.9122642089093699,0.9122642089093699
shfe_pre_settlement_cny_per_ton,copper_market,daily,monthly_mean,3,125,0.9415475823358876,0.9415475823358876,0.9100092165898616,0.9100092165898616
usa_nasdaq_composite,equities_indices,monthly,as_is,3,137,0.9412133454976955,0.9412133454976955,0.9092678328075121,0.9092678328075121
aluminum_cash_usd_per_ton,other_metals,daily,monthly_mean,0,140,0.9390201874898481,0.9390201874898481,0.9518969626730228,0.9518969626730228
usa_nasdaq_composite,equities_indices,monthly,as_is,2,138,0.9389187374539197,0.9389187374539197,0.906002205534842,0.906002205534842
usa_sp500_freeport_mcmoran,equities_companies,monthly,as_is,1,139,0.9387049494472925,0.9387049494472925,0.9005719647884176,0.9005719647884176
canada_tsx_composite,equities_indices,monthly,as_is,0,140,0.9377984126881963,0.9377984126881963,0.9260326693052854,0.9260326693052854
usa_nasdaq_composite,equities_indices,monthly,as_is,1,139,0.9366624226265803,0.9366624226265803,0.9067518655882745,0.9067518655882745
uk_ftse100_antofagasta,equities_companies,monthly,as_is,2,138,0.9366071241214688,0.9366071241214688,0.9274958960156533,0.9274958960156533
canada_tsx_composite_capstone_copper,equities_companies,monthly,as_is,0,140,0.9355907204420414,0.9355907204420414,0.9092201233524527,0.9092201233524527
canada_tsx_composite,equities_indices,monthly,as_is,1,139,0.9355666206736347,0.9355666206736347,0.9151436614683408,0.9151436614683408
usa_nasdaq_composite,equities_indices,monthly,as_is,6,134,0.9341432048142325,0.9341432048142325,0.90524071372461,0.90524071372461
gold_usd_per_troy_ounce,commodities,monthly,as_is,12,128,0.9341196462132899,0.9341196462132899,0.8911746907818953,0.8911746907818953
usa_dow_jones,equities_indices,monthly,as_is,0,140,0.9336247501415816,0.9336247501415816,0.9176838468434979,0.9176838468434979
tin_cash_usd_per_ton,other_metals,daily,monthly_mean,1,139,0.933153559476873,0.933153559476873,0.9154385808123685,0.9154385808123685
usa_nasdaq_composite,equities_indices,monthly,as_is,0,140,0.9330908487055446,0.9330908487055446,0.9040125953948088,0.9040125953948088
usa_sp500,equities_indices,monthly,as_is,0,140,0.9325966157906734,0.9325966157906734,0.9104458682294287,0.9104458682294287
usa_sp500,equities_indices,monthly,as_is,1,139,0.932273938307397,0.932273938307397,0.9088967335448409,0.9088967335448409
usa_dow_jones,equities_indices,monthly,as_is,1,139,0.9314059084171311,0.9314059084171311,0.9141337861387907,0.9141337861387907
usa_sp500,equities_indices,monthly,as_is,2,138,0.9303034856488142,0.9303034856488142,0.9026733548102804,0.9026733548102804
uk_ftse100_antofagasta,equities_companies,monthly,as_is,3,137,0.9302083649317167,0.9302083649317167,0.9148216252543544,0.9148216252543544
canada_tsx_composite,equities_indices,monthly,as_is,2,138,0.9301591293712587,0.9301591293712587,0.8959106278924812,0.8959106278924812
usa_sp500,equities_indices,monthly,as_is,3,137,0.9285631399115993,0.9285631399115993,0.8992803405081486,0.8992803405081486
usa_dow_jones,equities_indices,monthly,as_is,2,138,0.9266765274207924,0.9266765274207924,0.905805853571665,0.905805853571665
canada_tsx_composite_capstone_copper,equities_companies,monthly,as_is,1,139,0.9249462705412801,0.9249462705412801,0.8986001369594696,0.8986001369594696
canada_tsx_composite,equities_indices,monthly,as_is,3,137,0.924405486215247,0.924405486215247,0.8792633524371347,0.8792633524371347
usa_sp500_southern_copper,equities_companies,monthly,as_is,0,140,0.9235680332174265,0.9235680332174265,0.9368612101200499,0.9368612101200499
euro_area_copper_production_ppi,global_macro,monthly,as_is,2,138,0.9233456932372972,0.9233456932372972,0.8898011654934,0.8898011654934
usa_dow_jones,equities_indices,monthly,as_is,3,137,0.9220360566817704,0.9220360566817704,0.9003210932103719,0.9003210932103719
aluminum_cash_usd_per_ton,other_metals,daily,monthly_mean,1,139,0.9201657721106805,0.9201657721106805,0.9302873229366816,0.9302873229366816
japan_nikkei225,equities_indices,monthly,as_is,3,137,0.9188027305944977,0.9188027305944977,0.8921724195866856,0.8921724195866856
japan_nikkei225,equities_indices,monthly,as_is,2,138,0.9183019621960256,0.9183019621960256,0.9024770028471034,0.9024770028471034
usa_sp500_southern_copper,equities_companies,monthly,as_is,1,139,0.9179296767401158,0.9179296767401158,0.9284105634746859,0.9284105634746859
japan_nikkei225,equities_indices,monthly,as_is,1,139,0.917029728967434,0.917029728967434,0.9112471513472451,0.9112471513472451
usa_sp500_freeport_mcmoran,equities_companies,monthly,as_is,2,138,0.916352877461939,0.916352877461939,0.8687957916751334,0.8687957916751334
hong_kong_hang_seng_zijin_mining,equities_companies,monthly,as_is,0,140,0.916270974256773,0.916270974256773,0.9140801644398768,0.9140801644398768
japan_nikkei225,equities_indices,monthly,as_is,0,140,0.9161981260972597,0.9161981260972597,0.912763770746321,0.912763770746321
usa_sp500,equities_indices,monthly,as_is,6,134,0.915972947791687,0.915972947791687,0.8886270402374093,0.8886270402374093
hong_kong_hang_seng_zijin_mining,equities_companies,monthly,as_is,3,137,0.9156334008239756,0.9156334008239756,0.870153266003323,0.870153266003323
hong_kong_hang_seng_zijin_mining,equities_companies,monthly,as_is,1,139,0.9153017536068531,0.9153017536068531,0.8980025917154475,0.8980025917154475
hong_kong_hang_seng_zijin_mining,equities_companies,monthly,as_is,2,138,0.914817068729092,0.914817068729092,0.8783120124021377,0.8783120124021377
canada_tsx_composite_capstone_copper,equities_companies,monthly,as_is,2,138,0.9139658858153752,0.9139658858153752,0.8833428274949046,0.8833428274949046
australia_asx200,equities_indices,monthly,as_is,0,140,0.9124105672077312,0.9124105672077312,0.913953335811594,0.913953335811594
usa_sp500_southern_copper,equities_companies,monthly,as_is,2,138,0.9094683100040113,0.9094683100040113,0.9124818203196884,0.9124818203196884
tin_cash_usd_per_ton,other_metals,daily,monthly_mean,2,138,0.9062926902873236,0.9062926902873236,0.8960658829331328,0.8960658829331328
australia_asx200,equities_indices,monthly,as_is,1,139,0.9052806349924075,0.9052806349924075,0.9031726171857545,0.9031726171857545
usa_dow_jones,equities_indices,monthly,as_is,6,134,0.9041427372182165,0.9041427372182165,0.8824972879961097,0.8824972879961097
australia_asx200_rio_tinto,equities_companies,monthly,as_is,0,140,0.9026749580039511,0.9026749580039511,0.8695633159126196,0.8695633159126196
euro_area_copper_production_ppi,global_macro,monthly,as_is,3,137,0.9009657912170453,0.9009657912170453,0.8596074664673393,0.8596074664673393
canada_tsx_composite,equities_indices,monthly,as_is,6,134,0.9009576709142678,0.9009576709142678,0.846826020274567,0.846826020274567
