model,horizon,observations,mae,rmse,mape_pct,smape_pct,bias,directional_accuracy_pct
top5_weighted_ensemble,1,16,549.323909930696,657.3233103077623,4.630028177127494,4.656895387694862,-137.04260556593806,43.75
top5_simple_ensemble,1,16,550.2199509785108,658.3738218104837,4.63581148736205,4.664638510628798,-141.6276498934543,43.75
top3_weighted_ensemble,1,16,552.4965735919021,681.1209716131547,4.6783259108003445,4.683956064321094,-89.48402980621825,50.0
top3_simple_ensemble,1,16,554.919692079051,683.9157080641507,4.6973014704437315,4.704113358720043,-92.78950863032219,43.75
top3_weighted_ensemble,3,14,783.6298884834878,1003.7923496037872,6.306119121227624,6.163765944284649,295.2509492493579,85.71428571428571
top3_simple_ensemble,3,14,789.4483866115809,998.7996332372837,6.369070705230216,6.232350485721052,269.0441177591646,85.71428571428571
top5_weighted_ensemble,3,14,793.037801198944,917.8802134344206,6.369649960426173,6.335541228185011,127.8956297134538,85.71428571428571
top5_simple_ensemble,3,14,800.3725358282245,921.1049143882343,6.445372813688621,6.442716774124109,65.82351721220637,85.71428571428571
top3_weighted_ensemble,6,11,1203.2478435749995,1429.5133524892356,9.629454028374532,10.24334746836366,-849.7842512268312,90.9090909090909
top3_simple_ensemble,6,11,1237.151891997254,1470.463198725283,9.904557168069934,10.571270844227397,-911.3772780225383,90.9090909090909
top5_weighted_ensemble,6,11,1304.608518654318,1511.2886424836563,10.468395285241145,11.197632492730754,-1030.6095254116658,90.9090909090909
top5_simple_ensemble,6,11,1330.761233285333,1548.3556160837404,10.689302817291974,11.476189830688453,-1114.0308245597805,90.9090909090909
top3_weighted_ensemble,12,5,2817.128146807575,2852.415738765711,20.719609269130522,23.17046998807731,-2817.128146807575,100.0
top3_simple_ensemble,12,5,2885.082576221851,2921.979369330132,21.214029009815484,23.790803293564295,-2885.082576221851,100.0
top5_weighted_ensemble,12,5,2896.049873306148,2923.200817369023,21.304811052071205,23.886489215880072,-2896.049873306148,100.0
top5_simple_ensemble,12,5,2948.541245276205,2975.82888830431,21.68869782857276,24.36880760637006,-2948.541245276205,100.0
