model,horizon,origin_date,expert,prior_mae,prior_observations,weight
top3_simple_ensemble,1,2025-04-30,ridge_10y,248.00339295680655,3,0.3333333333333333
top3_simple_ensemble,1,2025-04-30,sarimax_10y,269.940725299671,3,0.3333333333333333
top3_simple_ensemble,1,2025-04-30,lightgbm_5y,286.8798834797399,3,0.3333333333333333
top3_weighted_ensemble,1,2025-04-30,ridge_10y,248.00339295680655,3,0.3592963371493806
top3_weighted_ensemble,1,2025-04-30,sarimax_10y,269.940725299671,3,0.33009732263025704
top3_weighted_ensemble,1,2025-04-30,lightgbm_5y,286.8798834797399,3,0.3106063402203623
top5_simple_ensemble,1,2025-04-30,ridge_10y,248.00339295680655,3,0.2
top5_simple_ensemble,1,2025-04-30,sarimax_10y,269.940725299671,3,0.2
top5_simple_ensemble,1,2025-04-30,lightgbm_5y,286.8798834797399,3,0.2
top5_simple_ensemble,1,2025-04-30,elasticnet_5y,289.67498537562886,3,0.2
top5_simple_ensemble,1,2025-04-30,ridge_5y,300.0468716752633,3,0.2
top5_weighted_ensemble,1,2025-04-30,ridge_10y,248.00339295680655,3,0.22391851072862598
top5_weighted_ensemble,1,2025-04-30,sarimax_10y,269.940725299671,3,0.20572127582849015
top5_weighted_ensemble,1,2025-04-30,lightgbm_5y,286.8798834797399,3,0.19357422253958637
top5_weighted_ensemble,1,2025-04-30,elasticnet_5y,289.67498537562886,3,0.19170640618086504
top5_weighted_ensemble,1,2025-04-30,ridge_5y,300.0468716752633,3,0.1850795847224325
top3_simple_ensemble,1,2025-05-31,ridge_10y,275.0692971395497,4,0.3333333333333333
top3_simple_ensemble,1,2025-05-31,elasticnet_8y,343.1126473268837,4,0.3333333333333333
top3_simple_ensemble,1,2025-05-31,lightgbm_5y,345.4439415784459,4,0.3333333333333333
top3_weighted_ensemble,1,2025-05-31,ridge_10y,275.0692971395497,4,0.38491655434068023
top3_weighted_ensemble,1,2025-05-31,elasticnet_8y,343.1126473268837,4,0.3085829883727975
top3_weighted_ensemble,1,2025-05-31,lightgbm_5y,345.4439415784459,4,0.30650045728652225
top5_simple_ensemble,1,2025-05-31,ridge_10y,275.0692971395497,4,0.2
top5_simple_ensemble,1,2025-05-31,elasticnet_8y,343.1126473268837,4,0.2
top5_simple_ensemble,1,2025-05-31,lightgbm_5y,345.4439415784459,4,0.2
top5_simple_ensemble,1,2025-05-31,ridge_5y,354.2586819333005,4,0.2
top5_simple_ensemble,1,2025-05-31,ridge_8y,368.69484362855974,4,0.2
top5_weighted_ensemble,1,2025-05-31,ridge_10y,275.0692971395497,4,0.24268943964238587
top5_weighted_ensemble,1,2025-05-31,elasticnet_8y,343.1126473268837,4,0.19456121511750815
top5_weighted_ensemble,1,2025-05-31,lightgbm_5y,345.4439415784459,4,0.19324818169073932
top5_weighted_ensemble,1,2025-05-31,ridge_5y,354.2586819333005,4,0.18843973906822578
top5_weighted_ensemble,1,2025-05-31,ridge_8y,368.69484362855974,4,0.1810614244811409
top3_simple_ensemble,1,2025-06-30,ridge_10y,273.40907325435876,5,0.3333333333333333
top3_simple_ensemble,1,2025-06-30,lightgbm_5y,320.22177331314924,5,0.3333333333333333
top3_simple_ensemble,1,2025-06-30,sarimax_10y,374.5493797390445,5,0.3333333333333333
top3_weighted_ensemble,1,2025-06-30,ridge_10y,273.40907325435876,5,0.3870299067134784
top3_weighted_ensemble,1,2025-06-30,lightgbm_5y,320.22177331314924,5,0.3304506343275368
top3_weighted_ensemble,1,2025-06-30,sarimax_10y,374.5493797390445,5,0.2825194589589847
top5_simple_ensemble,1,2025-06-30,ridge_10y,273.40907325435876,5,0.2
top5_simple_ensemble,1,2025-06-30,lightgbm_5y,320.22177331314924,5,0.2
top5_simple_ensemble,1,2025-06-30,sarimax_10y,374.5493797390445,5,0.2
top5_simple_ensemble,1,2025-06-30,naive,386.81255411255444,5,0.2
top5_simple_ensemble,1,2025-06-30,xgboost_return_5y,398.5364919349813,5,0.2
top5_weighted_ensemble,1,2025-06-30,ridge_10y,273.40907325435876,5,0.2514686949848738
top5_weighted_ensemble,1,2025-06-30,lightgbm_5y,320.22177331314924,5,0.21470689559085565
top5_weighted_ensemble,1,2025-06-30,sarimax_10y,374.5493797390445,5,0.18356410814744498
top5_weighted_ensemble,1,2025-06-30,naive,386.81255411255444,5,0.17774454866588604
top5_weighted_ensemble,1,2025-06-30,xgboost_return_5y,398.5364919349813,5,0.17251575261093943
top3_simple_ensemble,1,2025-07-31,ridge_10y,273.01097239394494,6,0.3333333333333333
top3_simple_ensemble,1,2025-07-31,lightgbm_5y,328.2334955609276,6,0.3333333333333333
top3_simple_ensemble,1,2025-07-31,naive,331.5972457494199,6,0.3333333333333333
top3_weighted_ensemble,1,2025-07-31,ridge_10y,273.01097239394494,6,0.3766365698795532
top3_weighted_ensemble,1,2025-07-31,lightgbm_5y,328.2334955609276,6,0.3132706368277507
top3_weighted_ensemble,1,2025-07-31,naive,331.5972457494199,6,0.3100927932926962
top5_simple_ensemble,1,2025-07-31,ridge_10y,273.01097239394494,6,0.2
top5_simple_ensemble,1,2025-07-31,lightgbm_5y,328.2334955609276,6,0.2
top5_simple_ensemble,1,2025-07-31,naive,331.5972457494199,6,0.2
top5_simple_ensemble,1,2025-07-31,xgboost_return_10y,351.3974160100003,6,0.2
top5_simple_ensemble,1,2025-07-31,ridge_8y,357.7087624544638,6,0.2
top5_weighted_ensemble,1,2025-07-31,ridge_10y,273.01097239394494,6,0.23836594545401235
top5_weighted_ensemble,1,2025-07-31,lightgbm_5y,328.2334955609276,6,0.198262881255284
top5_weighted_ensemble,1,2025-07-31,naive,331.5972457494199,6,0.19625168600947868
top5_weighted_ensemble,1,2025-07-31,xgboost_return_10y,351.3974160100003,6,0.18519350339412194
top5_weighted_ensemble,1,2025-07-31,ridge_8y,357.7087624544638,6,0.18192598388710304
top3_simple_ensemble,1,2025-08-31,naive,303.13583797155246,7,0.3333333333333333
