model,training_window_years,horizon,observations,mae,rmse,mape_pct,smape_pct,bias,directional_accuracy_pct
lightgbm,8,1,19,771.115520205332,930.3274523582857,6.519383948578208,6.820220749042975,-738.8075474603362,31.57894736842105
lightgbm,10,1,19,785.4695253483665,934.5443163711163,6.634728147351032,6.930600913823831,-732.8948860173863,36.84210526315789
lightgbm,5,1,19,825.9427918379647,1016.6856387854876,6.884731707811493,7.237775105383692,-805.7744376242277,42.10526315789473
lightgbm,10,3,17,1221.4016021688174,1480.9062887427226,9.917732629700083,10.66439850659836,-1221.4016021688174,23.52941176470588
lightgbm,8,3,17,1234.6411087875047,1507.4883514359205,10.041010670055888,10.826767449521586,-1234.6411087875047,11.76470588235294
lightgbm,5,3,17,1541.2728012617797,1840.4249317392862,12.547484825104217,13.714191216748702,-1479.2593621400465,17.647058823529413
lightgbm,10,6,14,2370.981635751755,2676.4014786684716,18.643739792076776,21.06188371466863,-2370.981635751755,14.285714285714285
lightgbm,8,6,14,2483.937803351887,2835.0717213188036,19.392081060525456,22.07400967388478,-2483.937803351887,14.285714285714285
lightgbm,5,6,14,2724.2513615658645,2946.539189746831,21.702438080833513,24.698108374203226,-2724.2513615658645,7.142857142857142
lightgbm,5,12,8,4080.8498485802847,4110.072419956697,30.6205941737822,36.21870731844451,-4080.8498485802847,0.0
lightgbm,10,12,8,4348.299568103579,4370.970487076109,32.629548146596704,39.03476603869148,-4348.299568103579,0.0
lightgbm,8,12,8,4405.070311790839,4442.6064531457805,33.01075348457794,39.613897703449666,-4405.070311790839,12.5
