training_window_years,horizon,origin_date,feature,importance
5,1,2025-01-31,origin_copper_price_usd_per_ton,23.0
5,1,2025-01-31,origin_china_csi300_jiangxi_copper,45.0
5,1,2025-01-31,china_csi300_jiangxi_copper_lag_1,73.0
5,1,2025-01-31,origin_canada_tsx_composite_hudbay_minerals,192.0
5,1,2025-01-31,south_korea_kospi_lag_1,36.0
5,1,2025-01-31,canada_tsx_composite_hudbay_minerals_lag_1,74.0
5,1,2025-01-31,origin_shfe_close_cny_per_ton,13.0
5,1,2025-01-31,origin_south_korea_kospi,156.0
5,1,2025-01-31,target_lag_1,111.0
5,1,2025-01-31,india_nifty50_pct_change_12m,104.0
5,1,2025-01-31,origin_aluminum_cash_usd_per_ton,142.0
5,1,2025-01-31,south_korea_kospi_lag_3,122.0
5,1,2025-02-28,origin_copper_price_usd_per_ton,60.0
5,1,2025-02-28,china_csi300_jiangxi_copper_lag_1,38.0
5,1,2025-02-28,origin_china_csi300_jiangxi_copper,67.0
5,1,2025-02-28,origin_canada_tsx_composite_hudbay_minerals,153.0
5,1,2025-02-28,south_korea_kospi_lag_1,74.0
5,1,2025-02-28,canada_tsx_composite_hudbay_minerals_lag_1,77.0
5,1,2025-02-28,india_nifty50_pct_change_12m,107.0
5,1,2025-02-28,origin_shfe_close_cny_per_ton,61.0
5,1,2025-02-28,origin_south_korea_kospi,120.0
5,1,2025-02-28,target_lag_1,112.0
5,1,2025-02-28,origin_aluminum_cash_usd_per_ton,100.0
5,1,2025-02-28,china_ppi_yoy_pct_pct_change_12m,151.0
5,1,2025-03-31,origin_copper_price_usd_per_ton,89.0
5,1,2025-03-31,china_csi300_jiangxi_copper_lag_1,88.0
5,1,2025-03-31,origin_china_csi300_jiangxi_copper,68.0
5,1,2025-03-31,origin_canada_tsx_composite_hudbay_minerals,161.0
5,1,2025-03-31,china_ppi_yoy_pct_pct_change_12m,158.0
5,1,2025-03-31,canada_tsx_composite_hudbay_minerals_lag_1,31.0
5,1,2025-03-31,india_nifty50_pct_change_12m,76.0
5,1,2025-03-31,origin_shfe_close_cny_per_ton,54.0
5,1,2025-03-31,origin_aluminum_cash_usd_per_ton,122.0
5,1,2025-03-31,south_korea_kospi_lag_1,41.0
5,1,2025-03-31,origin_south_korea_kospi,111.0
5,1,2025-03-31,target_lag_1,101.0
5,1,2025-04-30,origin_copper_price_usd_per_ton,113.0
5,1,2025-04-30,china_csi300_jiangxi_copper_lag_1,114.0
5,1,2025-04-30,origin_china_csi300_jiangxi_copper,65.0
5,1,2025-04-30,origin_canada_tsx_composite_hudbay_minerals,173.0
5,1,2025-04-30,china_ppi_yoy_pct_pct_change_12m,136.0
5,1,2025-04-30,india_nifty50_pct_change_12m,6.0
5,1,2025-04-30,australia_asx200_pct_change_12m,44.0
5,1,2025-04-30,canada_tsx_composite_hudbay_minerals_lag_1,95.0
5,1,2025-04-30,canada_tsx_composite_pct_change_12m,86.0
5,1,2025-04-30,origin_shfe_close_cny_per_ton,94.0
5,1,2025-04-30,south_korea_kospi_lag_1,78.0
5,1,2025-04-30,origin_aluminum_cash_usd_per_ton,80.0
5,1,2025-05-31,origin_copper_price_usd_per_ton,83.0
5,1,2025-05-31,origin_tin_cash_usd_per_ton,34.0
5,1,2025-05-31,china_csi300_jiangxi_copper_lag_1,74.0
5,1,2025-05-31,origin_china_csi300_jiangxi_copper,70.0
5,1,2025-05-31,china_ppi_yoy_pct_pct_change_12m,232.0
5,1,2025-05-31,origin_canada_tsx_composite_hudbay_minerals,161.0
5,1,2025-05-31,australia_asx200_pct_change_12m,40.0
5,1,2025-05-31,canada_tsx_composite_hudbay_minerals_lag_1,68.0
5,1,2025-05-31,canada_tsx_composite_pct_change_12m,96.0
5,1,2025-05-31,india_nifty50_pct_change_12m,81.0
5,1,2025-05-31,origin_shfe_close_cny_per_ton,77.0
5,1,2025-05-31,g20_composite_leading_indicator_lag_3,70.0
5,1,2025-06-30,origin_copper_price_usd_per_ton,80.0
5,1,2025-06-30,origin_tin_cash_usd_per_ton,63.0
5,1,2025-06-30,china_csi300_jiangxi_copper_lag_1,103.0
5,1,2025-06-30,origin_china_csi300_jiangxi_copper,81.0
5,1,2025-06-30,origin_canada_tsx_composite_hudbay_minerals,202.0
5,1,2025-06-30,china_ppi_yoy_pct_pct_change_12m,107.0
5,1,2025-06-30,origin_shfe_close_cny_per_ton,141.0
5,1,2025-06-30,canada_tsx_composite_hudbay_minerals_lag_1,58.0
5,1,2025-06-30,canada_tsx_composite_pct_change_12m,35.0
5,1,2025-06-30,g20_composite_leading_indicator_lag_3,56.0
5,1,2025-06-30,australia_asx200_pct_change_12m,27.0
5,1,2025-06-30,origin_aluminum_cash_usd_per_ton,109.0
5,1,2025-07-31,origin_copper_price_usd_per_ton,69.0
5,1,2025-07-31,origin_tin_cash_usd_per_ton,42.0
5,1,2025-07-31,china_csi300_jiangxi_copper_lag_1,144.0
5,1,2025-07-31,origin_china_csi300_jiangxi_copper,29.0
5,1,2025-07-31,origin_canada_tsx_composite_hudbay_minerals,165.0
5,1,2025-07-31,origin_shfe_close_cny_per_ton,52.0
5,1,2025-07-31,canada_tsx_composite_hudbay_minerals_lag_1,76.0
5,1,2025-07-31,canada_tsx_composite_pct_change_12m,65.0
5,1,2025-07-31,g20_composite_leading_indicator_lag_3,97.0
5,1,2025-07-31,origin_aluminum_cash_usd_per_ton,167.0
5,1,2025-07-31,australia_asx200_pct_change_12m,63.0
5,1,2025-07-31,target_lag_1,102.0
5,1,2025-08-31,origin_copper_price_usd_per_ton,99.0
5,1,2025-08-31,origin_tin_cash_usd_per_ton,44.0
5,1,2025-08-31,china_csi300_jiangxi_copper_lag_1,126.0
5,1,2025-08-31,origin_china_csi300_jiangxi_copper,99.0
5,1,2025-08-31,origin_canada_tsx_composite_hudbay_minerals,234.0
5,1,2025-08-31,origin_shfe_close_cny_per_ton,49.0
5,1,2025-08-31,canada_tsx_composite_pct_change_12m,76.0
5,1,2025-08-31,canada_tsx_composite_hudbay_minerals_lag_1,61.0
5,1,2025-08-31,g20_composite_leading_indicator_lag_3,80.0
5,1,2025-08-31,origin_aluminum_cash_usd_per_ton,172.0
5,1,2025-08-31,ecb_policy_rate_pct_change_3m,46.0
5,1,2025-08-31,australia_asx200_pct_change_12m,11.0
5,1,2025-09-30,origin_copper_price_usd_per_ton,52.0
5,1,2025-09-30,origin_tin_cash_usd_per_ton,27.0
