model,training_window_years,horizon,observations,mae,rmse,mape_pct,smape_pct,bias,directional_accuracy_pct
lightgbm_return,10,1,19,476.3718789431034,565.8457897407638,4.134472567430908,4.200793953514807,-226.73408740259106,36.84210526315789
lightgbm_return,8,1,19,492.84071295655417,554.5149848755768,4.315286198862728,4.385442282070519,-210.48732939367198,31.57894736842105
lightgbm_return,5,1,19,499.4265098736614,577.5002983519204,4.353749058554172,4.402911539292832,-197.92457797010215,42.10526315789473
lightgbm_return,10,3,17,704.6698337682619,1078.2298291270483,5.847266127913069,6.157050369287084,-423.19421364909283,64.70588235294117
lightgbm_return,5,3,17,812.3903069474429,1117.9701275771497,6.702288040076343,6.932907356386128,-312.14350121231496,64.70588235294117
lightgbm_return,8,3,17,828.5178995818633,1099.2585833278758,6.823716710695611,7.02945096744809,-270.76372929664893,70.58823529411765
lightgbm_return,8,6,14,1178.7818955161404,1487.1192075091715,9.648209051215149,10.27597196749879,-875.5791895016879,78.57142857142857
lightgbm_return,10,6,14,1625.2481053774493,1950.8804753730553,13.17863391625768,14.52514735366768,-1562.1142107350236,57.14285714285714
lightgbm_return,5,6,14,2164.9673417854324,2459.5350687229143,17.53071658629663,19.692615377542595,-2164.9673417854324,7.142857142857142
lightgbm_return,10,12,8,2857.1908411178492,2931.4703460689047,21.351401182464897,24.02828411200835,-2857.1908411178492,100.0
lightgbm_return,8,12,8,3000.1532993549417,3058.8266877278243,22.48734723616394,25.45490697085223,-3000.1532993549417,87.5
lightgbm_return,5,12,8,3501.300983130117,3574.624691657569,26.17283321260444,30.25937013044031,-3501.300983130117,87.5
