model,training_window_years,horizon,observations,mae,rmse,mape_pct,smape_pct,bias,directional_accuracy_pct
elasticnet,8,1,19,455.3179113973343,539.0063985192199,3.9581019549650653,3.9512289817705764,28.438880146807747,63.1578947368421
elasticnet,10,1,19,568.6987459656633,741.1120217688107,4.8204469963051535,4.948603636185218,-354.83201616644817,63.1578947368421
ridge,8,1,19,568.8432830490408,753.0671019571838,4.904214045676448,4.762733558317047,342.2578646901682,63.1578947368421
ridge,10,1,19,612.5647149427733,768.6658811033658,5.166630120261149,5.006450913033338,420.83050628242546,68.42105263157895
ridge,5,1,19,653.6943407379099,820.7076988381999,5.4530080364159375,5.520968434398064,-190.84365289498123,47.368421052631575
elasticnet,5,1,19,759.8327103247096,1051.9817924425518,6.2716810931369205,6.532847853145059,-504.70993511053723,47.368421052631575
elasticnet,8,2,18,531.1245230624438,700.4842713697456,4.453324753075403,4.463151973405066,-107.6970713213065,72.22222222222221
elasticnet,10,2,18,625.0119839657991,807.1278985157613,5.458201951069338,5.62415716687035,-404.94139983572626,61.111111111111114
ridge,8,2,18,729.3346408555458,985.1727819241787,5.968703991670096,5.710532066469129,562.8290500495054,72.22222222222221
ridge,5,2,18,902.8042192787491,1118.6669537686712,7.403414794941117,7.815310502540895,-902.8042192787491,55.55555555555556
ridge,10,2,18,919.4492376191819,1146.9480039657149,7.76426532622103,7.4562428017700775,650.0636269210803,66.66666666666666
elasticnet,5,2,18,1063.8256193480624,1260.9602540227497,8.88040393000879,9.337318810280458,-877.9036381474575,38.88888888888889
elasticnet,8,3,17,705.6810526742225,869.1319182737602,5.764258465061669,5.742651918597957,29.048168025140352,82.35294117647058
ridge,10,3,17,867.1685903531793,1221.5302911165047,6.8334265119895665,6.45495830901786,743.3076277412791,88.23529411764706
ridge,8,3,17,845.6748871614063,1121.3460745538175,6.8601798343068845,6.5062014884099355,749.423741208532,94.11764705882352
elasticnet,10,3,17,836.6521569680605,978.588156420863,7.083571660392393,7.428150428128412,-820.0933641847919,52.94117647058824
ridge,5,3,17,1682.8792888234443,1971.3338967575307,13.493673505896405,14.791063144968058,-1678.2362090694635,11.76470588235294
elasticnet,5,3,17,1809.8567491820481,2126.2996066574988,14.569511037654662,16.109414188403584,-1809.8567491820481,11.76470588235294
ridge,10,4,16,945.9611366422198,1402.2822348715697,7.210334205377028,6.809779480027037,622.101691652997,100.0
ridge,8,4,16,945.2147189826494,1249.7744847753058,7.410372322117746,7.138437853552883,519.70592490589,100.0
elasticnet,8,4,16,982.1269031935684,1263.712805461475,7.9540882572764895,8.325096765744881,-534.0238782753044,81.25
elasticnet,10,4,16,996.5602943560439,1174.519836620834,8.38098933698368,8.87692468568296,-996.5602943560439,50.0
ridge,5,4,16,2213.745598691968,2493.43715316671,17.85614474189496,20.011715103272817,-2213.745598691968,6.25
elasticnet,5,4,16,2347.323904577354,2626.007669126075,18.91474745117259,21.299040411812413,-2347.323904577354,0.0
ridge,10,5,15,845.623080657687,1234.801956598822,6.534908056484544,6.3125244100373,414.78253041224525,93.33333333333333
ridge,8,5,15,834.0288109873358,1169.3956094353505,6.583089633935539,6.468604660465386,198.79609394768715,93.33333333333333
elasticnet,8,5,15,849.5240506964527,999.4157373196305,6.90120224002935,7.208460684787532,-718.3591394233762,100.0
elasticnet,10,5,15,1216.830167694673,1423.1273927522816,9.915221074482975,10.609090290385444,-1216.830167694673,73.33333333333333
ridge,5,5,15,2308.7910405506473,2542.7874866441043,18.501542811407777,20.721304962731466,-2308.7910405506473,13.333333333333334
elasticnet,5,5,15,2492.7974387185727,2733.817953352769,19.986986170666725,22.56057145740535,-2492.7974387185727,6.666666666666667
ridge,10,6,14,735.5569083819867,922.3018983024774,6.033691724540026,6.075465440409989,-39.666226940192374,100.0
ridge,8,6,14,1014.9503424368833,1333.6365630070507,8.173677981940445,8.725050762956906,-758.9160643597112,100.0
elasticnet,8,6,14,1455.446533954652,1680.514795356334,11.581465867361283,12.52442414065446,-1455.446533954652,71.42857142857143
elasticnet,10,6,14,1611.6745433698877,1843.303290696494,12.789832715291883,13.929997920794015,-1611.6745433698877,64.28571428571429
ridge,5,6,14,2594.2849078973363,2840.972505839673,20.550096252297365,23.292154028944644,-2594.2849078973363,7.142857142857142
elasticnet,5,6,14,2695.3172644550696,2932.8248088631244,21.40744266600691,24.348665810676664,-2695.3172644550696,0.0
ridge,10,7,13,727.9805082158729,932.1582345167852,6.006083604262473,6.176316104622069,-334.43923514827225,100.0
ridge,8,7,13,1422.1241498761733,1698.6717859826335,11.32851227940374,12.256702914755149,-1249.4635454433135,92.3076923076923
elasticnet,8,7,13,1843.5007054907344,2064.248460299399,14.449614315858394,15.836278135922658,-1756.860702405725,76.92307692307693
elasticnet,10,7,13,1846.022054378718,2054.7204932412774,14.50329455834988,15.911073943362755,-1846.022054378718,76.92307692307693
ridge,5,7,13,2962.6931767799574,3160.7089928519504,23.41097830552686,26.8672748102381,-2962.6931767799574,0.0
elasticnet,5,7,13,3039.150782990078,3241.9512738143185,24.00180967053716,27.63513856166877,-3039.150782990078,0.0
ridge,10,8,12,984.9042752369161,1191.7285710304666,7.8575340059439185,8.246797184869251,-760.4292377098104,100.0
ridge,8,8,12,1420.3952222892924,1659.1619721184904,10.987711281350489,11.813374655418373,-1289.6093205688162,100.0
elasticnet,8,8,12,1819.789085396388,2073.3299542695577,13.917920579210207,15.22333020984568,-1713.80883762775,91.66666666666666
elasticnet,10,8,12,2153.011880425072,2316.0953154468593,16.830303349628736,18.533012072277625,-1997.3064858333012,100.0
ridge,5,8,12,3198.2511017195925,3356.9639497844496,25.053943923401185,28.94278595199193,-3198.2511017195925,0.0
elasticnet,5,8,12,3288.7531842210724,3454.6803607534716,25.730433141107873,29.83816722152875,-3288.7531842210724,0.0
ridge,8,9,11,1409.4269185709925,1606.2838612949672,10.765743750558492,11.5700885439195,-1408.2963699701015,100.0
ridge,10,9,11,1442.680020860049,1541.3839292261732,11.350137584024692,11.88830030384917,-1013.2618934995076,100.0
elasticnet,8,9,11,1972.2078050061332,2198.0214058780325,14.979599870170645,16.490491733449968,-1972.2078050061332,100.0
elasticnet,10,9,11,2466.013330017409,2607.3998601524586,19.025399087637076,21.204303359875578,-2332.00422947917,100.0
ridge,5,9,11,3699.471706441813,3843.5905816167888,28.64139146944535,33.751680536191884,-3699.471706441813,0.0
elasticnet,5,9,11,3768.599283537922,3909.897877025417,29.172290446224718,34.46774915385818,-3768.599283537922,0.0
ridge,10,10,10,1536.8004658400616,1692.23416501387,11.668236101045123,12.544034784131938,-1487.5428629605794,100.0
ridge,8,10,10,1839.1452325709347,1937.289407129353,14.216434875717837,15.427240765176933,-1839.1452325709347,100.0
elasticnet,8,10,10,2424.7023306965725,2553.4294116268,18.416165756308438,20.465248021922783,-2424.7023306965725,100.0
elasticnet,10,10,10,2617.1451691656466,2797.6428549325015,19.85768981268665,22.369849464080676,-2553.20786781648,90.0
