model,training_window_years,horizon,origin_date,feature,coefficient,abs_coefficient
ridge,5,1,2025-01-31,origin_copper_price_usd_per_ton,284.158727994403,284.158727994403
ridge,5,1,2025-01-31,origin_china_csi300_jiangxi_copper,135.56614388375013,135.56614388375013
ridge,5,1,2025-01-31,china_csi300_jiangxi_copper_lag_1,-30.314603881238014,30.314603881238014
ridge,5,1,2025-01-31,origin_canada_tsx_composite_hudbay_minerals,160.19278806517525,160.19278806517525
ridge,5,1,2025-01-31,south_korea_kospi_lag_1,102.82360825920097,102.82360825920097
ridge,5,1,2025-01-31,canada_tsx_composite_hudbay_minerals_lag_1,-38.35702549024127,38.35702549024127
ridge,5,1,2025-01-31,origin_shfe_close_cny_per_ton,252.0858511551263,252.0858511551263
ridge,5,1,2025-01-31,origin_south_korea_kospi,207.49021904174933,207.49021904174933
ridge,5,1,2025-01-31,target_lag_1,78.81970681413867,78.81970681413867
ridge,5,1,2025-01-31,india_nifty50_pct_change_12m,-73.08790725856035,73.08790725856035
ridge,5,1,2025-01-31,origin_aluminum_cash_usd_per_ton,210.16311188382474,210.16311188382474
ridge,5,1,2025-01-31,south_korea_kospi_lag_3,40.18763368293477,40.18763368293477
elasticnet,5,1,2025-01-31,origin_copper_price_usd_per_ton,170.3746441794823,170.3746441794823
elasticnet,5,1,2025-01-31,origin_china_csi300_jiangxi_copper,104.07236694350878,104.07236694350878
elasticnet,5,1,2025-01-31,china_csi300_jiangxi_copper_lag_1,54.293646789509616,54.293646789509616
elasticnet,5,1,2025-01-31,origin_canada_tsx_composite_hudbay_minerals,112.45980548842316,112.45980548842316
elasticnet,5,1,2025-01-31,south_korea_kospi_lag_1,86.4325319370124,86.4325319370124
elasticnet,5,1,2025-01-31,canada_tsx_composite_hudbay_minerals_lag_1,60.59259493894102,60.59259493894102
elasticnet,5,1,2025-01-31,origin_shfe_close_cny_per_ton,159.4383526232017,159.4383526232017
elasticnet,5,1,2025-01-31,origin_south_korea_kospi,114.08889825888352,114.08889825888352
elasticnet,5,1,2025-01-31,target_lag_1,113.56941285583396,113.56941285583396
elasticnet,5,1,2025-01-31,india_nifty50_pct_change_12m,18.67174664294141,18.67174664294141
elasticnet,5,1,2025-01-31,origin_aluminum_cash_usd_per_ton,146.13963160430546,146.13963160430546
elasticnet,5,1,2025-01-31,south_korea_kospi_lag_3,72.1581624778523,72.1581624778523
ridge,5,1,2025-02-28,origin_copper_price_usd_per_ton,262.14076466943874,262.14076466943874
ridge,5,1,2025-02-28,china_csi300_jiangxi_copper_lag_1,-39.74117089742421,39.74117089742421
ridge,5,1,2025-02-28,origin_china_csi300_jiangxi_copper,146.34975925581108,146.34975925581108
ridge,5,1,2025-02-28,origin_canada_tsx_composite_hudbay_minerals,144.01916664057805,144.01916664057805
ridge,5,1,2025-02-28,south_korea_kospi_lag_1,64.25677319383401,64.25677319383401
ridge,5,1,2025-02-28,canada_tsx_composite_hudbay_minerals_lag_1,-17.81799928054444,17.81799928054444
ridge,5,1,2025-02-28,india_nifty50_pct_change_12m,-35.99499952999699,35.99499952999699
ridge,5,1,2025-02-28,origin_shfe_close_cny_per_ton,262.7010673814435,262.7010673814435
ridge,5,1,2025-02-28,origin_south_korea_kospi,198.21082721880794,198.21082721880794
ridge,5,1,2025-02-28,target_lag_1,71.49900518043961,71.49900518043961
ridge,5,1,2025-02-28,origin_aluminum_cash_usd_per_ton,186.3942408527853,186.3942408527853
ridge,5,1,2025-02-28,china_ppi_yoy_pct_pct_change_12m,84.91465956886236,84.91465956886236
elasticnet,5,1,2025-02-28,origin_copper_price_usd_per_ton,163.8510682884882,163.8510682884882
elasticnet,5,1,2025-02-28,china_csi300_jiangxi_copper_lag_1,54.794778930174346,54.794778930174346
elasticnet,5,1,2025-02-28,origin_china_csi300_jiangxi_copper,107.58306234982888,107.58306234982888
elasticnet,5,1,2025-02-28,origin_canada_tsx_composite_hudbay_minerals,107.7451200945351,107.7451200945351
elasticnet,5,1,2025-02-28,south_korea_kospi_lag_1,78.98845320809332,78.98845320809332
elasticnet,5,1,2025-02-28,canada_tsx_composite_hudbay_minerals_lag_1,63.17766778365194,63.17766778365194
elasticnet,5,1,2025-02-28,india_nifty50_pct_change_12m,34.97669017805294,34.97669017805294
elasticnet,5,1,2025-02-28,origin_shfe_close_cny_per_ton,157.95411906499328,157.95411906499328
elasticnet,5,1,2025-02-28,origin_south_korea_kospi,110.29989743572679,110.29989743572679
elasticnet,5,1,2025-02-28,target_lag_1,110.25275801791351,110.25275801791351
elasticnet,5,1,2025-02-28,origin_aluminum_cash_usd_per_ton,140.04393559471532,140.04393559471532
elasticnet,5,1,2025-02-28,china_ppi_yoy_pct_pct_change_12m,70.92618313253415,70.92618313253415
ridge,5,1,2025-03-31,origin_copper_price_usd_per_ton,230.0108959692776,230.0108959692776
ridge,5,1,2025-03-31,china_csi300_jiangxi_copper_lag_1,-19.122522161099386,19.122522161099386
ridge,5,1,2025-03-31,origin_china_csi300_jiangxi_copper,126.9094965907219,126.9094965907219
ridge,5,1,2025-03-31,origin_canada_tsx_composite_hudbay_minerals,132.74475367734217,132.74475367734217
ridge,5,1,2025-03-31,china_ppi_yoy_pct_pct_change_12m,98.02485280159355,98.02485280159355
ridge,5,1,2025-03-31,canada_tsx_composite_hudbay_minerals_lag_1,10.755882920575127,10.755882920575127
ridge,5,1,2025-03-31,india_nifty50_pct_change_12m,-1.1164872033448716,1.1164872033448716
ridge,5,1,2025-03-31,origin_shfe_close_cny_per_ton,243.08298097215192,243.08298097215192
ridge,5,1,2025-03-31,origin_aluminum_cash_usd_per_ton,184.92972034705437,184.92972034705437
ridge,5,1,2025-03-31,south_korea_kospi_lag_1,42.854164761744514,42.854164761744514
ridge,5,1,2025-03-31,origin_south_korea_kospi,182.65233044441345,182.65233044441345
ridge,5,1,2025-03-31,target_lag_1,48.96093938457342,48.96093938457342
elasticnet,5,1,2025-03-31,origin_copper_price_usd_per_ton,149.11121631795694,149.11121631795694
elasticnet,5,1,2025-03-31,china_csi300_jiangxi_copper_lag_1,59.59138979707045,59.59138979707045
elasticnet,5,1,2025-03-31,origin_china_csi300_jiangxi_copper,98.83684516841109,98.83684516841109
elasticnet,5,1,2025-03-31,origin_canada_tsx_composite_hudbay_minerals,103.46056351996202,103.46056351996202
elasticnet,5,1,2025-03-31,china_ppi_yoy_pct_pct_change_12m,77.35102971508907,77.35102971508907
elasticnet,5,1,2025-03-31,canada_tsx_composite_hudbay_minerals_lag_1,69.11190165500135,69.11190165500135
elasticnet,5,1,2025-03-31,india_nifty50_pct_change_12m,46.1552281747737,46.1552281747737
elasticnet,5,1,2025-03-31,origin_shfe_close_cny_per_ton,144.93689235805562,144.93689235805562
elasticnet,5,1,2025-03-31,origin_aluminum_cash_usd_per_ton,133.54295258583647,133.54295258583647
elasticnet,5,1,2025-03-31,south_korea_kospi_lag_1,70.56031796173758,70.56031796173758
elasticnet,5,1,2025-03-31,origin_south_korea_kospi,100.5299801550635,100.5299801550635
elasticnet,5,1,2025-03-31,target_lag_1,99.00304687923102,99.00304687923102
ridge,5,1,2025-04-30,origin_copper_price_usd_per_ton,127.31027323368379,127.31027323368379
ridge,5,1,2025-04-30,china_csi300_jiangxi_copper_lag_1,72.86138621145112,72.86138621145112
ridge,5,1,2025-04-30,origin_china_csi300_jiangxi_copper,91.40835410127171,91.40835410127171
ridge,5,1,2025-04-30,origin_canada_tsx_composite_hudbay_minerals,84.0099441778351,84.0099441778351
ridge,5,1,2025-04-30,china_ppi_yoy_pct_pct_change_12m,72.44556157226765,72.44556157226765
ridge,5,1,2025-04-30,india_nifty50_pct_change_12m,67.45621183484992,67.45621183484992
