horizon,expert,observations,mae,rmse,mape_pct,smape_pct,bias,directional_accuracy_pct
1,naive,19,425.78520973051894,540.431847070181,3.7081004881650457,3.788419512495084,-282.0081073896865,0.0
2,elasticnet_8y,18,531.124523062444,700.4842713697458,4.453324753075407,4.463151973405069,-107.6970713213066,72.22222222222221
3,elasticnet_8y,17,705.6810526742224,869.1319182737601,5.764258465061666,5.742651918597956,29.048168025140672,82.35294117647058
4,sarimax_8y,16,668.3556243638756,955.8785328786377,5.619905143901175,5.918781224728261,-511.1723846984129,87.5
5,ridge_10y,15,845.6230806576872,1234.8019565988222,6.5349080564845465,6.312524410037303,414.78253041224525,93.33333333333333
6,ridge_10y,14,735.556908381987,922.3018983024776,6.03369172454003,6.075465440409991,-39.66622694019264,100.0
7,ridge_10y,13,727.9805082158732,932.1582345167852,6.006083604262476,6.176316104622071,-334.43923514827196,100.0
8,ridge_10y,12,984.9042752369165,1191.7285710304668,7.857534005943922,8.246797184869255,-760.4292377098105,100.0
9,sarimax_10y,11,933.4736951450396,1261.2063359988972,7.13369085047878,7.623658172365986,-933.4736951450396,100.0
10,sarimax_10y,10,1495.827507730703,1702.721786698684,11.41764468402645,12.327016728694181,-1495.827507730703,100.0
11,ridge_10y,9,2141.94056613192,2195.1096654559456,16.203356855458235,17.70096330436225,-2141.94056613192,100.0
12,sarimax_10y,8,1901.9792552171618,1999.99455133904,14.216878417563459,15.428362329499787,-1901.9792552171618,100.0
