model,horizon,observations,mae,rmse,mape_pct,smape_pct,bias,directional_accuracy_pct
naive,1,19,425.78520973051894,540.431847070181,3.7081004881650457,3.788419512495084,-282.0081073896865,0.0
naive,2,18,663.3002422429962,857.0789970918312,5.604377948035214,5.847027961624532,-530.7821085248622,0.0
naive,3,17,811.3139183209516,1072.3862724359906,6.664592602537596,7.063456430786669,-788.0779239231925,0.0
naive,4,16,1107.0207053526026,1372.4416978619483,9.05629082003544,9.709557616973335,-1107.0207053526026,0.0
naive,5,15,1416.2916095189669,1699.1455839130965,11.477228615685615,12.472873560887185,-1404.9287523761095,0.0
naive,6,14,1695.6550330807727,1970.6464073649056,13.59820495361971,14.936780574096705,-1695.6550330807727,0.0
naive,7,13,2071.4444670635744,2273.315798637012,16.471563831639607,18.23970601913244,-2071.4444670635744,0.0
naive,8,12,2530.984085350619,2676.45867897733,19.852792504885134,22.26930077768266,-2530.984085350619,0.0
naive,9,11,2929.351587796897,3041.233719770633,22.71358598466109,25.803977591052035,-2929.351587796897,0.0
naive,10,10,3232.7620726635428,3293.7967279105933,24.843788739531465,28.460560505573206,-3232.7620726635428,0.0
naive,11,9,3580.318607307318,3605.528629483579,27.175315220827006,31.477635875558384,-3580.318607307318,0.0
naive,12,8,3796.476128025928,3829.7154500925394,28.466327393271822,33.25817950458183,-3796.476128025928,0.0
