segment,direct_weight,complete_origins,observations,curve_mape_pct,curve_rmse,monthly_return_mae_pct,mean_max_monthly_jump_pct
long_h6_h12,0.0,8,56,10.183156181577045,1493.6884811998086,4.171712122793147,1.010723327908658
long_h6_h12,0.25,8,56,10.270284065312941,1507.1415176307744,4.475429392272784,2.800675029383415
long_h6_h12,0.5,8,56,10.38128431675646,1526.8998628653478,4.965881362463356,4.60034276099528
long_h6_h12,0.75,8,56,10.496528134794561,1552.722831037292,5.502244294794466,6.4388580712752
long_h6_h12,1.0,8,56,10.611771952832662,1584.3139053183654,6.054397088084516,8.346260812884854
medium_h3_h6,0.0,14,56,5.481218339059903,867.5606582977045,3.1510065389115063,2.8408016104761606
medium_h3_h6,0.25,14,56,5.487544605777518,875.6330417979502,3.6315816722927963,4.642849442924365
medium_h3_h6,0.5,14,56,5.6070029417253275,902.2609161690598,4.341703632632364,6.464151356196916
medium_h3_h6,0.75,14,56,5.751281919722199,945.8784841086341,5.372597307627509,8.307109083214836
medium_h3_h6,1.0,14,56,6.022446792061084,1004.274495070237,6.65105274630939,10.174372313760049
short_h1_h3,0.0,17,51,4.697685980943124,711.183842851445,4.267402167501351,3.5535280351238647
short_h1_h3,0.25,17,51,4.597121974197478,701.5916912980903,4.099710560187425,4.170489906638989
short_h1_h3,0.5,17,51,4.503546885282439,696.553020646678,4.015569733829386,4.782311240075402
short_h1_h3,0.75,17,51,4.511400740508126,696.166708593163,4.159932114547907,5.389279734145709
short_h1_h3,1.0,17,51,4.586783721448077,700.440452888606,4.36060615581837,5.991663224685935
