horizon,expert,family,selections,unique_features,unique_origins,selection_share_pct
2,elasticnet_8y,equities_companies,104,12,18,30.409356725146196
2,elasticnet_8y,equities_indices,100,13,18,29.239766081871345
2,elasticnet_8y,commodities,60,4,18,17.543859649122805
2,elasticnet_8y,copper_market,36,2,18,10.526315789473683
2,elasticnet_8y,global_macro,14,1,14,4.093567251461988
2,elasticnet_8y,other_metals,14,3,8,4.093567251461988
2,elasticnet_8y,unmapped,14,2,14,4.093567251461988
3,elasticnet_8y,equities_indices,89,11,17,29.08496732026144
3,elasticnet_8y,equities_companies,83,8,17,27.124183006535947
3,elasticnet_8y,commodities,79,5,17,25.816993464052292
3,elasticnet_8y,copper_market,34,2,17,11.11111111111111
3,elasticnet_8y,global_macro,17,1,17,5.555555555555555
3,elasticnet_8y,other_metals,3,1,3,0.9803921568627451
3,elasticnet_8y,china,1,1,1,0.32679738562091504
4,sarimax_8y,commodities,31,3,16,48.4375
4,sarimax_8y,equities_indices,17,2,16,26.5625
4,sarimax_8y,global_macro,16,1,16,25.0
5,ridge_10y,equities_companies,96,9,15,32.0
5,ridge_10y,commodities,90,10,15,30.0
5,ridge_10y,equities_indices,82,8,15,27.333333333333332
5,ridge_10y,copper_market,15,2,15,5.0
5,ridge_10y,turkey,11,2,11,3.6666666666666665
5,ridge_10y,macro_fred,3,1,3,1.0
5,ridge_10y,china,2,1,2,0.6666666666666667
5,ridge_10y,global_macro,1,1,1,0.33333333333333337
6,ridge_10y,commodities,89,9,14,31.785714285714285
6,ridge_10y,equities_companies,89,10,14,31.785714285714285
6,ridge_10y,equities_indices,63,7,14,22.5
6,ridge_10y,china,14,1,14,5.0
6,ridge_10y,turkey,14,2,14,5.0
6,ridge_10y,copper_market,6,2,6,2.142857142857143
6,ridge_10y,macro_fred,4,1,4,1.4285714285714286
6,ridge_10y,global_macro,1,1,1,0.35714285714285715
7,ridge_10y,commodities,89,9,13,34.23076923076923
7,ridge_10y,equities_companies,82,11,13,31.538461538461537
7,ridge_10y,equities_indices,55,7,13,21.153846153846153
7,ridge_10y,china,13,1,13,5.0
7,ridge_10y,turkey,13,2,13,5.0
7,ridge_10y,macro_fred,7,1,7,2.6923076923076925
7,ridge_10y,global_macro,1,1,1,0.38461538461538464
8,ridge_10y,commodities,78,9,12,32.5
8,ridge_10y,equities_companies,69,11,12,28.749999999999996
8,ridge_10y,equities_indices,41,6,12,17.083333333333332
8,ridge_10y,china,24,2,12,10.0
8,ridge_10y,macro_fred,13,2,8,5.416666666666667
8,ridge_10y,global_macro,8,3,8,3.3333333333333335
8,ridge_10y,turkey,7,3,7,2.9166666666666665
9,sarimax_10y,commodities,46,6,11,83.63636363636363
9,sarimax_10y,equities_indices,6,1,6,10.909090909090908
9,sarimax_10y,china,3,1,3,5.454545454545454
10,sarimax_10y,commodities,38,4,10,76.0
10,sarimax_10y,china,10,1,10,20.0
10,sarimax_10y,equities_indices,2,1,2,4.0
11,ridge_10y,commodities,51,7,9,28.333333333333332
11,ridge_10y,macro_fred,28,4,9,15.555555555555555
11,ridge_10y,china,27,3,9,15.0
11,ridge_10y,global_macro,21,5,9,11.666666666666666
11,ridge_10y,equities_indices,16,2,9,8.88888888888889
11,ridge_10y,equities_companies,14,2,9,7.777777777777778
11,ridge_10y,other_metals,14,2,9,7.777777777777778
11,ridge_10y,turkey,6,2,6,3.3333333333333335
11,ridge_10y,peru_cost_drivers,3,1,3,1.6666666666666667
12,sarimax_10y,commodities,24,3,8,60.0
12,sarimax_10y,china,15,2,8,37.5
12,sarimax_10y,global_macro,1,1,1,2.5
