horizon_group,family,timing,selections,unique_features,selection_share_pct
long_h7_h12,commodities,lag_1m,137,3,16.606060606060606
long_h7_h12,commodities,lag_3m,113,3,13.696969696969695
long_h7_h12,equities_indices,current_origin,108,5,13.090909090909092
long_h7_h12,equities_companies,current_origin,79,5,9.575757575757576
long_h7_h12,commodities,lag_6m,67,2,8.121212121212121
long_h7_h12,equities_companies,lag_1m,64,5,7.757575757575758
long_h7_h12,china,lag_3m,41,1,4.96969696969697
long_h7_h12,china,lag_6m,34,1,4.121212121212121
long_h7_h12,macro_fred,lag_12m,25,2,3.0303030303030303
long_h7_h12,equities_companies,lag_3m,22,2,2.666666666666667
long_h7_h12,china,lag_1m,17,1,2.0606060606060606
long_h7_h12,macro_fred,lag_6m,14,1,1.6969696969696972
long_h7_h12,other_metals,lag_12m,14,2,1.6969696969696972
long_h7_h12,turkey,lag_1m,14,3,1.6969696969696972
long_h7_h12,global_macro,lag_6m,13,1,1.575757575757576
long_h7_h12,equities_indices,lag_1m,12,3,1.4545454545454546
long_h7_h12,commodities,lag_12m,9,1,1.090909090909091
long_h7_h12,macro_fred,lag_3m,9,1,1.090909090909091
long_h7_h12,global_macro,lag_3m,8,2,0.9696969696969697
long_h7_h12,global_macro,lag_1m,7,2,0.8484848484848486
long_h7_h12,turkey,lag_3m,6,2,0.7272727272727273
long_h7_h12,turkey,lag_6m,6,2,0.7272727272727273
long_h7_h12,global_macro,lag_12m,3,1,0.36363636363636365
long_h7_h12,peru_cost_drivers,lag_3m,3,1,0.36363636363636365
medium_h4_h6,equities_indices,current_origin,132,5,20.496894409937887
medium_h4_h6,equities_companies,current_origin,81,4,12.577639751552795
medium_h4_h6,commodities,lag_3m,74,3,11.490683229813664
medium_h4_h6,commodities,lag_6m,73,3,11.335403726708075
medium_h4_h6,equities_companies,lag_3m,62,3,9.627329192546584
medium_h4_h6,equities_companies,lag_1m,42,3,6.521739130434782
medium_h4_h6,commodities,lag_1m,34,3,5.279503105590062
medium_h4_h6,commodities,lag_12m,29,1,4.503105590062112
medium_h4_h6,turkey,lag_1m,25,3,3.881987577639751
medium_h4_h6,equities_indices,lag_1m,23,2,3.571428571428571
medium_h4_h6,copper_market,current_origin,21,2,3.260869565217391
medium_h4_h6,global_macro,lag_12m,18,1,2.7950310559006213
medium_h4_h6,china,lag_6m,16,1,2.484472049689441
medium_h4_h6,equities_indices,lag_6m,7,1,1.0869565217391304
medium_h4_h6,macro_fred,lag_12m,7,1,1.0869565217391304
short_h1_h3,equities_companies,current_origin,142,8,21.91358024691358
short_h1_h3,equities_indices,current_origin,102,5,15.74074074074074
short_h1_h3,equities_indices,lag_1m,60,5,9.25925925925926
short_h1_h3,equities_companies,lag_1m,45,4,6.944444444444445
short_h1_h3,commodities,lag_6m,44,2,6.790123456790123
short_h1_h3,commodities,lag_12m,35,1,5.401234567901234
short_h1_h3,copper_market,current_origin,35,1,5.401234567901234
short_h1_h3,copper_market,lag_1m,35,1,5.401234567901234
short_h1_h3,commodities,lag_3m,31,1,4.78395061728395
short_h1_h3,global_macro,lag_12m,31,1,4.78395061728395
short_h1_h3,commodities,lag_1m,29,1,4.4753086419753085
short_h1_h3,equities_indices,lag_3m,19,4,2.9320987654320985
short_h1_h3,other_metals,current_origin,15,2,2.314814814814815
short_h1_h3,unmapped,rolling_mean_3m,11,1,1.6975308641975309
short_h1_h3,equities_indices,lag_6m,8,1,1.2345679012345678
short_h1_h3,unmapped,lag_2m,3,1,0.4629629629629629
short_h1_h3,other_metals,lag_1m,2,1,0.30864197530864196
short_h1_h3,china,lag_12m,1,1,0.15432098765432098
