horizon,expert,timing,selections,unique_features,unique_origins,selection_share_pct
2,elasticnet_8y,current_origin,151,15,18,44.15204678362573
2,elasticnet_8y,lag_1m,97,11,18,28.362573099415204
2,elasticnet_8y,lag_12m,32,2,18,9.35672514619883
2,elasticnet_8y,lag_3m,27,5,16,7.894736842105263
2,elasticnet_8y,lag_6m,21,2,16,6.140350877192982
2,elasticnet_8y,rolling_mean_3m,11,1,11,3.216374269005848
2,elasticnet_8y,lag_2m,3,1,3,0.8771929824561403
3,elasticnet_8y,current_origin,143,13,17,46.73202614379085
3,elasticnet_8y,lag_1m,74,7,17,24.18300653594771
3,elasticnet_8y,lag_12m,35,3,17,11.437908496732026
3,elasticnet_8y,lag_6m,31,3,17,10.130718954248366
3,elasticnet_8y,lag_3m,23,3,17,7.516339869281046
4,sarimax_8y,lag_6m,23,2,16,35.9375
4,sarimax_8y,current_origin,17,2,16,26.5625
4,sarimax_8y,lag_12m,16,1,16,25.0
4,sarimax_8y,lag_3m,8,1,8,12.5
5,ridge_10y,current_origin,125,11,15,41.66666666666667
5,ridge_10y,lag_3m,63,6,15,21.0
5,ridge_10y,lag_1m,54,9,15,18.0
5,ridge_10y,lag_6m,39,5,15,13.0
5,ridge_10y,lag_12m,19,3,15,6.333333333333334
6,ridge_10y,current_origin,92,11,14,32.857142857142854
6,ridge_10y,lag_1m,70,10,14,25.0
6,ridge_10y,lag_3m,65,6,14,23.214285714285715
6,ridge_10y,lag_6m,34,3,14,12.142857142857142
6,ridge_10y,lag_12m,19,3,14,6.785714285714286
7,ridge_10y,lag_1m,87,12,13,33.46153846153846
7,ridge_10y,current_origin,78,9,13,30.0
7,ridge_10y,lag_3m,51,5,13,19.615384615384617
7,ridge_10y,lag_6m,30,4,13,11.538461538461538
7,ridge_10y,lag_12m,14,2,7,5.384615384615385
8,ridge_10y,current_origin,71,9,12,29.583333333333332
8,ridge_10y,lag_1m,70,12,12,29.166666666666668
8,ridge_10y,lag_3m,50,6,12,20.833333333333336
8,ridge_10y,lag_6m,39,7,12,16.25
8,ridge_10y,lag_12m,10,2,8,4.166666666666666
9,sarimax_10y,lag_1m,22,3,11,40.0
9,sarimax_10y,lag_3m,16,3,11,29.09090909090909
9,sarimax_10y,lag_6m,11,1,11,20.0
9,sarimax_10y,current_origin,6,1,6,10.909090909090908
10,sarimax_10y,lag_3m,20,2,10,40.0
10,sarimax_10y,lag_1m,18,2,10,36.0
10,sarimax_10y,lag_6m,10,1,10,20.0
10,sarimax_10y,current_origin,2,1,2,4.0
11,ridge_10y,lag_3m,49,9,9,27.22222222222222
11,ridge_10y,lag_1m,38,6,9,21.11111111111111
11,ridge_10y,lag_6m,36,4,9,20.0
11,ridge_10y,current_origin,30,4,9,16.666666666666664
11,ridge_10y,lag_12m,27,5,9,15.0
12,sarimax_10y,lag_1m,16,2,8,40.0
12,sarimax_10y,lag_3m,16,3,8,40.0
12,sarimax_10y,lag_6m,8,1,8,20.0
