horizon,expert,feature,family,timing,selections,unique_origins,selection_frequency_pct
2,elasticnet_8y,gold_usd_per_troy_ounce_lag_12,commodities,lag_12m,18,18,100.0
2,elasticnet_8y,origin_canada_tsx_composite_lundin_mining,equities_companies,current_origin,18,18,100.0
2,elasticnet_8y,origin_china_csi300_jiangxi_copper,equities_companies,current_origin,18,18,100.0
2,elasticnet_8y,origin_copper_price_usd_per_ton,copper_market,current_origin,18,18,100.0
2,elasticnet_8y,origin_south_korea_kospi,equities_indices,current_origin,18,18,100.0
2,elasticnet_8y,shfe_close_cny_per_ton_lag_1,copper_market,lag_1m,18,18,100.0
2,elasticnet_8y,usa_nasdaq_composite_lag_1,equities_indices,lag_1m,18,18,100.0
2,elasticnet_8y,origin_uk_ftse100_antofagasta,equities_companies,current_origin,17,17,94.44444444444444
2,elasticnet_8y,silver_usd_per_troy_ounce_lag_6,commodities,lag_6m,16,16,88.88888888888889
2,elasticnet_8y,origin_canada_tsx_composite_capstone_copper,equities_companies,current_origin,15,15,83.33333333333334
2,elasticnet_8y,japan_industrial_production_lag_12,global_macro,lag_12m,14,14,77.77777777777779
2,elasticnet_8y,silver_usd_per_troy_ounce_lag_3,commodities,lag_3m,14,14,77.77777777777779
2,elasticnet_8y,south_korea_kospi_lag_1,equities_indices,lag_1m,13,13,72.22222222222221
2,elasticnet_8y,origin_germany_dax,equities_indices,current_origin,12,12,66.66666666666666
2,elasticnet_8y,silver_usd_per_troy_ounce_lag_1,commodities,lag_1m,12,12,66.66666666666666
2,elasticnet_8y,target_rolling_mean_3,unmapped,rolling_mean_3m,11,11,61.111111111111114
2,elasticnet_8y,china_csi300_jiangxi_copper_lag_1,equities_companies,lag_1m,10,10,55.55555555555556
2,elasticnet_8y,origin_canada_tsx_composite,equities_indices,current_origin,9,9,50.0
2,elasticnet_8y,uk_ftse100_antofagasta_lag_1,equities_companies,lag_1m,9,9,50.0
2,elasticnet_8y,canada_tsx_composite_lundin_mining_lag_1,equities_companies,lag_1m,8,8,44.44444444444444
2,elasticnet_8y,japan_nikkei225_lag_3,equities_indices,lag_3m,6,6,33.33333333333333
2,elasticnet_8y,origin_aluminum_cash_usd_per_ton,other_metals,current_origin,6,6,33.33333333333333
2,elasticnet_8y,origin_japan_nikkei225,equities_indices,current_origin,6,6,33.33333333333333
2,elasticnet_8y,origin_tin_cash_usd_per_ton,other_metals,current_origin,6,6,33.33333333333333
2,elasticnet_8y,japan_nikkei225_lag_1,equities_indices,lag_1m,5,5,27.77777777777778
2,elasticnet_8y,usa_nasdaq_composite_lag_6,equities_indices,lag_6m,5,5,27.77777777777778
2,elasticnet_8y,origin_usa_sp500_southern_copper,equities_companies,current_origin,4,4,22.22222222222222
2,elasticnet_8y,target_lag_2,unmapped,lag_2m,3,3,16.666666666666664
2,elasticnet_8y,usa_sp500_lag_3,equities_indices,lag_3m,3,3,16.666666666666664
2,elasticnet_8y,origin_usa_sp500_freeport_mcmoran,equities_companies,current_origin,2,2,11.11111111111111
2,elasticnet_8y,south_korea_kospi_lag_3,equities_indices,lag_3m,2,2,11.11111111111111
2,elasticnet_8y,tin_cash_usd_per_ton_lag_1,other_metals,lag_1m,2,2,11.11111111111111
2,elasticnet_8y,usa_dow_jones_lag_3,equities_indices,lag_3m,2,2,11.11111111111111
2,elasticnet_8y,canada_tsx_composite_capstone_copper_lag_1,equities_companies,lag_1m,1,1,5.555555555555555
2,elasticnet_8y,germany_dax_lag_1,equities_indices,lag_1m,1,1,5.555555555555555
2,elasticnet_8y,origin_poland_wig20_kghm,equities_companies,current_origin,1,1,5.555555555555555
2,elasticnet_8y,origin_usa_nyse_hecla_mining,equities_companies,current_origin,1,1,5.555555555555555
3,elasticnet_8y,gold_usd_per_troy_ounce_lag_12,commodities,lag_12m,17,17,100.0
3,elasticnet_8y,japan_industrial_production_lag_12,global_macro,lag_12m,17,17,100.0
3,elasticnet_8y,origin_canada_tsx_composite_lundin_mining,equities_companies,current_origin,17,17,100.0
3,elasticnet_8y,origin_copper_price_usd_per_ton,copper_market,current_origin,17,17,100.0
3,elasticnet_8y,origin_south_korea_kospi,equities_indices,current_origin,17,17,100.0
3,elasticnet_8y,origin_uk_ftse100_antofagasta,equities_companies,current_origin,17,17,100.0
3,elasticnet_8y,origin_usa_nasdaq_composite,equities_indices,current_origin,17,17,100.0
3,elasticnet_8y,shfe_close_cny_per_ton_lag_1,copper_market,lag_1m,17,17,100.0
3,elasticnet_8y,silver_usd_per_troy_ounce_lag_1,commodities,lag_1m,17,17,100.0
3,elasticnet_8y,silver_usd_per_troy_ounce_lag_3,commodities,lag_3m,17,17,100.0
3,elasticnet_8y,silver_usd_per_troy_ounce_lag_6,commodities,lag_6m,17,17,100.0
3,elasticnet_8y,origin_china_csi300_jiangxi_copper,equities_companies,current_origin,16,16,94.11764705882352
