model,training_window_years,horizon,observations,mae,rmse,mape_pct,smape_pct,bias,directional_accuracy_pct
xgboost_return,10,1,19,501.60871728847326,588.8718930480078,4.349720390194077,4.408759997299334,-207.56364785129966,36.84210526315789
xgboost_return,5,1,19,509.16075602833774,573.9143383632563,4.415358433587443,4.4380803508501065,-114.92696562510383,52.63157894736842
xgboost_return,8,1,19,513.6542004319081,572.4298398386143,4.505027533349583,4.558932784137954,-151.7223078951272,36.84210526315789
xgboost_return,5,3,17,871.0487758584862,1204.0962969945049,7.2598171932991225,7.653076249503482,-452.4816259764209,52.94117647058824
xgboost_return,8,3,17,936.1439530592297,1170.542543130623,7.8540902541755315,8.123368907357543,-350.41954073654716,41.17647058823529
xgboost_return,10,3,17,980.6299979250956,1270.7460074874678,8.269229127409945,8.76971077138355,-634.9586772694989,41.17647058823529
xgboost_return,8,6,14,1296.9059035341165,1568.8580827656392,10.530511584274864,11.008373657393324,-722.9902945415589,78.57142857142857
xgboost_return,10,6,14,1556.1770656122083,1847.8673667284972,12.77426007373777,13.988627160522645,-1489.7010167637684,50.0
xgboost_return,5,6,14,1929.3270394341962,2235.2696133180125,15.673166962561371,17.44802183673188,-1846.7384550101617,28.57142857142857
xgboost_return,10,12,8,2746.518491396043,2990.7796983526005,20.40842526377486,23.19311261764504,-2746.518491396043,87.5
xgboost_return,8,12,8,2878.3176681458885,2994.989979822093,21.500749561252864,24.32134217050242,-2878.3176681458885,87.5
xgboost_return,5,12,8,3733.5674441513775,3781.0726350175805,28.02733271250446,32.72811691383014,-3733.5674441513775,62.5
