feature,raw_feature,category,source_frequency,transform,lag_months,leakage_safe
cash_settlement_usd_per_ton,cash_settlement_usd_per_ton,target,monthly,target,0,False
target_lag_1,cash_settlement_usd_per_ton,target_history,monthly,lag,1,True
target_lag_2,cash_settlement_usd_per_ton,target_history,monthly,lag,2,True
target_lag_3,cash_settlement_usd_per_ton,target_history,monthly,lag,3,True
target_lag_6,cash_settlement_usd_per_ton,target_history,monthly,lag,6,True
target_lag_12,cash_settlement_usd_per_ton,target_history,monthly,lag,12,True
target_return_1m,cash_settlement_usd_per_ton,target_history,monthly,pct_change,2,True
target_return_3m,cash_settlement_usd_per_ton,target_history,monthly,pct_change,4,True
target_return_12m,cash_settlement_usd_per_ton,target_history,monthly,pct_change,13,True
target_rolling_mean_3,cash_settlement_usd_per_ton,target_history,monthly,rolling_mean,1,True
target_rolling_std_3,cash_settlement_usd_per_ton,target_history,monthly,rolling_std,1,True
target_rolling_mean_6,cash_settlement_usd_per_ton,target_history,monthly,rolling_mean,1,True
target_rolling_std_6,cash_settlement_usd_per_ton,target_history,monthly,rolling_std,1,True
target_rolling_mean_12,cash_settlement_usd_per_ton,target_history,monthly,rolling_mean,1,True
target_rolling_std_12,cash_settlement_usd_per_ton,target_history,monthly,rolling_std,1,True
copper_stock_ton_lag_1,copper_stock_ton,copper_market,daily,lag,1,True
copper_stock_ton_lag_3,copper_stock_ton,copper_market,daily,lag,3,True
copper_stock_ton_lag_6,copper_stock_ton,copper_market,daily,lag,6,True
copper_stock_ton_lag_12,copper_stock_ton,copper_market,daily,lag,12,True
copper_stock_ton_change_1m,copper_stock_ton,copper_market,daily,absolute_change,1,True
copper_stock_ton_pct_change_1m,copper_stock_ton,copper_market,daily,pct_change,1,True
copper_stock_ton_pct_change_3m,copper_stock_ton,copper_market,daily,pct_change,3,True
copper_stock_ton_pct_change_12m,copper_stock_ton,copper_market,daily,pct_change,12,True
shfe_close_cny_per_ton_lag_1,shfe_close_cny_per_ton,copper_market,daily,lag,1,True
shfe_close_cny_per_ton_lag_3,shfe_close_cny_per_ton,copper_market,daily,lag,3,True
shfe_close_cny_per_ton_lag_6,shfe_close_cny_per_ton,copper_market,daily,lag,6,True
shfe_close_cny_per_ton_lag_12,shfe_close_cny_per_ton,copper_market,daily,lag,12,True
shfe_close_cny_per_ton_change_1m,shfe_close_cny_per_ton,copper_market,daily,absolute_change,1,True
shfe_close_cny_per_ton_pct_change_1m,shfe_close_cny_per_ton,copper_market,daily,pct_change,1,True
shfe_close_cny_per_ton_pct_change_3m,shfe_close_cny_per_ton,copper_market,daily,pct_change,3,True
shfe_close_cny_per_ton_pct_change_12m,shfe_close_cny_per_ton,copper_market,daily,pct_change,12,True
shfe_open_interest_change_lag_1,shfe_open_interest_change,copper_market,daily,lag,1,True
