year,chile_copper_production_ton,chile_mining_wage_index,chile_mining_wage_yoy_pct,chile_copper_fuel_consumption_tj,chile_copper_electricity_consumption_tj,chile_copper_total_energy_consumption_tj,chile_open_pit_fuel_mj_per_ton,chile_concentrator_electricity_mj_per_ton,chile_sulfuric_acid_consumption_ton,chile_sulfuric_acid_production_ton,chile_sulfuric_acid_import_ton,chile_sulfuric_acid_export_ton,chile_average_copper_ore_grade_pct,source,issue
2005,5423723.614620001,77.28285410010649,,42468.04841861769,58830.51697987919,101298.56539849688,4196.412609964807,7240.738290709786,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_mining_wage_yoy_pct
2016,5708575.68,102.33,,79256.46478715188,87672.27974602688,166928.74453317875,9787.830994731905,11875.877821717731,7376251.05670469,5721362.8778216895,1723635.650883,68747.47200000001,0.6529488512432209,COCHILCO_YEARBOOK_2005_2024,null_chile_mining_wage_yoy_pct
2023,5410553.977517661,102.452226683315,,94934.12417278104,96744.24383314782,191678.36800592887,12023.406783930026,13072.802326752037,8263482.541658001,4875200.0,3432407.955658,44125.414,0.5910134686948647,COCHILCO_YEARBOOK_2005_2024,null_chile_mining_wage_yoy_pct
2005,5423723.614620001,77.28285410010649,,42468.04841861769,58830.51697987919,101298.56539849688,4196.412609964807,7240.738290709786,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_consumption_ton
2006,5467903.597240001,82.04654419595313,6.163967611336019,44346.31139195008,59744.386920221004,104090.69831217108,4464.95176312885,7424.502328771422,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_consumption_ton
2007,5647111.308223208,88.38248668796591,7.722375822290006,52939.13726863134,63854.36421136442,116793.50147999576,5119.6423182328135,7862.745075622553,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_consumption_ton
2008,5408820.97211,98.96585729499466,11.974511018674216,56993.00241481705,64653.27657706401,121646.27899188106,5634.384664284333,8208.547254742078,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_consumption_ton
2009,5474832.561159999,102.83,3.904521024343999,64401.668642623314,68318.1860300018,132719.8546726251,6764.334381448205,9055.498019636614,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_consumption_ton
2010,5490046.91937,106.32,3.393951181561805,60636.62428743985,68946.57355002496,129583.1978374648,6217.688147617777,8945.6,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_consumption_ton
2011,5323217.994299999,114.89,8.060571858540255,65732.2441202101,71873.68675777716,137605.93087798727,7719.66278313777,10283.474781265537,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_consumption_ton
2012,5544904.41355,124.61,8.460266341718171,74475.51907384637,77644.67868324305,152120.19775708942,7123.1658462105215,11250.298099905103,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_consumption_ton
2013,5945733.126409999,129.54,3.9563437926330094,73929.22260026155,81091.99998118219,155021.22258144373,7462.92590048274,10557.216981523505,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_consumption_ton
2014,5943702.999999999,138.58,6.978539447274978,79374.82083258044,83261.54969644627,162636.37052902672,7677.815121326512,10810.35307387483,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_consumption_ton
2005,5423723.614620001,77.28285410010649,,42468.04841861769,58830.51697987919,101298.56539849688,4196.412609964807,7240.738290709786,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_production_ton
2006,5467903.597240001,82.04654419595313,6.163967611336019,44346.31139195008,59744.386920221004,104090.69831217108,4464.95176312885,7424.502328771422,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_production_ton
2007,5647111.308223208,88.38248668796591,7.722375822290006,52939.13726863134,63854.36421136442,116793.50147999576,5119.6423182328135,7862.745075622553,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_production_ton
2008,5408820.97211,98.96585729499466,11.974511018674216,56993.00241481705,64653.27657706401,121646.27899188106,5634.384664284333,8208.547254742078,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_production_ton
2009,5474832.561159999,102.83,3.904521024343999,64401.668642623314,68318.1860300018,132719.8546726251,6764.334381448205,9055.498019636614,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_production_ton
2010,5490046.91937,106.32,3.393951181561805,60636.62428743985,68946.57355002496,129583.1978374648,6217.688147617777,8945.6,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_production_ton
2011,5323217.994299999,114.89,8.060571858540255,65732.2441202101,71873.68675777716,137605.93087798727,7719.66278313777,10283.474781265537,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_production_ton
2012,5544904.41355,124.61,8.460266341718171,74475.51907384637,77644.67868324305,152120.19775708942,7123.1658462105215,11250.298099905103,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_production_ton
2013,5945733.126409999,129.54,3.9563437926330094,73929.22260026155,81091.99998118219,155021.22258144373,7462.92590048274,10557.216981523505,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_production_ton
2014,5943702.999999999,138.58,6.978539447274978,79374.82083258044,83261.54969644627,162636.37052902672,7677.815121326512,10810.35307387483,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_production_ton
2005,5423723.614620001,77.28285410010649,,42468.04841861769,58830.51697987919,101298.56539849688,4196.412609964807,7240.738290709786,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_import_ton
2006,5467903.597240001,82.04654419595313,6.163967611336019,44346.31139195008,59744.386920221004,104090.69831217108,4464.95176312885,7424.502328771422,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_import_ton
2007,5647111.308223208,88.38248668796591,7.722375822290006,52939.13726863134,63854.36421136442,116793.50147999576,5119.6423182328135,7862.745075622553,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_import_ton
2008,5408820.97211,98.96585729499466,11.974511018674216,56993.00241481705,64653.27657706401,121646.27899188106,5634.384664284333,8208.547254742078,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_import_ton
2009,5474832.561159999,102.83,3.904521024343999,64401.668642623314,68318.1860300018,132719.8546726251,6764.334381448205,9055.498019636614,,,,,,COCHILCO_YEARBOOK_2005_2024,null_chile_sulfuric_acid_import_ton
