month,observation_count
2008-01,22
2008-02,21
2008-03,19
2008-04,22
2008-05,20
2008-06,21
2008-07,23
2008-08,20
2008-09,22
2008-10,23
2008-11,21
2008-12,21
2009-01,21
2009-02,20
2009-03,22
2009-04,20
2009-05,19
2009-06,22
2009-07,23
2009-08,20
2009-09,22
2009-10,22
2009-11,21
2009-12,21
2010-01,20
2010-02,20
2010-03,23
2010-04,20
2010-05,19
2010-06,22
2010-07,22
2010-08,21
2010-09,22
2010-10,21
2010-11,22
2010-12,21
2011-01,20
2011-02,20
2011-03,23
2011-04,18
2011-05,20
2011-06,22
2011-07,21
2011-08,22
2011-09,22
2011-10,21
2011-11,22
2011-12,20
2012-01,21
2012-02,21
2012-03,22
2012-04,19
2012-05,22
2012-06,19
2012-07,22
2012-08,22
2012-09,20
2012-10,23
2012-11,22
2012-12,19
2013-01,22
2013-02,20
2013-03,20
2013-04,21
2013-05,21
2013-06,20
2013-07,23
2013-08,21
2013-09,21
2013-10,23
2013-11,21
2013-12,20
2014-01,22
2014-02,20
2014-03,21
2014-04,20
2014-05,21
2014-06,21
2014-07,23
2014-08,20
2014-09,22
2014-10,23
2014-11,20
2014-12,21
2015-01,21
2015-02,20
2015-03,22
2015-04,20
2015-05,19
2015-06,22
2015-07,23
2015-08,20
2015-09,22
2015-10,22
2015-11,21
2015-12,21
2016-01,20
2016-02,21
2016-03,21
2016-04,21
2016-05,20
2016-06,22
2016-07,21
2016-08,22
2016-09,22
2016-10,21
2016-11,22
2016-12,21
2017-01,21
2017-02,20
2017-03,23
2017-04,18
2017-05,21
2017-06,22
2017-07,21
2017-08,22
2017-09,21
2017-10,22
2017-11,22
2017-12,19
2018-01,22
2018-02,20
2018-03,21
2018-04,20
2018-05,21
2018-06,21
2018-07,22
2018-08,22
2018-09,20
2018-10,23
2018-11,22
2018-12,19
2019-01,22
2019-02,20
2019-03,21
2019-04,20
2019-05,21
2019-06,20
2019-07,23
2019-08,21
2019-09,21
2019-10,23
2019-11,21
2019-12,20
2020-01,22
2020-02,20
2020-03,22
2020-04,20
2020-05,19
2020-06,22
2020-07,23
2020-08,20
2020-09,22
2020-10,22
2020-11,21
2020-12,21
2021-01,20
2021-02,20
2021-03,23
2021-04,20
2021-05,19
2021-06,22
2021-07,22
2021-08,21
2021-09,22
2021-10,21
2021-11,22
2021-12,21
2022-01,20
2022-02,20
2022-03,23
2022-04,19
2022-05,21
2022-06,20
2022-07,21
2022-08,22
2022-09,22
2022-10,21
2022-11,22
2022-12,20
2023-01,21
2023-02,20
2023-03,23
2023-04,18
2023-05,20
2023-06,22
2023-07,21
2023-08,22
2023-09,21
2023-10,22
2023-11,22
2023-12,19
2024-01,22
2024-02,21
2024-03,20
2024-04,21
2024-05,21
2024-06,20
2024-07,23
2024-08,21
2024-09,21
2024-10,23
2024-11,21
2024-12,20
2025-01,22
2025-02,20
2025-03,21
2025-04,20
2025-05,20
2025-06,21
2025-07,23
2025-08,20
2025-09,22
2025-10,23
2025-11,20
2025-12,21
2026-01,21
2026-02,20
2026-03,22
2026-04,20
2026-05,19
2026-06,22
2026-07,23
2026-08,18
