month,peru_usd_pen,peru_diesel_price_index,peru_industrial_electricity_tariff_index,peru_formal_private_income_pen,issue,absolute_pct_change
2005-01,3.268,,,,null_peru_diesel_price_index,
2005-02,3.259,,,,null_peru_diesel_price_index,
2005-03,3.259,,,,null_peru_diesel_price_index,
2005-04,3.258,,,,null_peru_diesel_price_index,
2005-05,3.255,,,,null_peru_diesel_price_index,
2005-06,3.253,,,,null_peru_diesel_price_index,
2005-07,3.252,,,,null_peru_diesel_price_index,
2005-08,3.257,,,,null_peru_diesel_price_index,
2005-09,3.308,,,,null_peru_diesel_price_index,
2005-10,3.381,,,,null_peru_diesel_price_index,
2005-11,3.376,,,,null_peru_diesel_price_index,
2005-12,3.424,,,,null_peru_diesel_price_index,
2006-01,3.393,,,,null_peru_diesel_price_index,
2006-02,3.289,,,,null_peru_diesel_price_index,
2006-03,3.339,,,,null_peru_diesel_price_index,
2006-04,3.332,,,,null_peru_diesel_price_index,
2006-05,3.279,,,,null_peru_diesel_price_index,
2006-06,3.264,,,,null_peru_diesel_price_index,
2006-07,3.243,,,,null_peru_diesel_price_index,
2006-08,3.234,,,,null_peru_diesel_price_index,
2006-09,3.248,,,,null_peru_diesel_price_index,
2006-10,3.237,,,,null_peru_diesel_price_index,
2006-11,3.222,,,,null_peru_diesel_price_index,
2006-12,3.205,,,,null_peru_diesel_price_index,
2007-01,3.193,,,,null_peru_diesel_price_index,
2007-02,3.19,,,,null_peru_diesel_price_index,
2007-03,3.186,,,,null_peru_diesel_price_index,
2007-04,3.178,,,,null_peru_diesel_price_index,
2007-05,3.168,,,,null_peru_diesel_price_index,
2007-06,3.17,,,,null_peru_diesel_price_index,
2007-07,3.161,,,,null_peru_diesel_price_index,
2007-08,3.158,,,,null_peru_diesel_price_index,
2007-09,3.136,,,,null_peru_diesel_price_index,
2007-10,3.02,,,,null_peru_diesel_price_index,
2007-11,3.001,,,,null_peru_diesel_price_index,
2007-12,2.981,,,,null_peru_diesel_price_index,
2008-01,2.95,,,,null_peru_diesel_price_index,
2008-02,2.906,,,,null_peru_diesel_price_index,
2008-03,2.811,,,,null_peru_diesel_price_index,
2008-04,2.748,,,,null_peru_diesel_price_index,
2008-05,2.805,,,,null_peru_diesel_price_index,
2008-06,2.892,,,,null_peru_diesel_price_index,
2008-07,2.848,,,,null_peru_diesel_price_index,
2008-08,2.892,,,,null_peru_diesel_price_index,
2008-09,2.966,,,,null_peru_diesel_price_index,
2008-10,3.075,,,,null_peru_diesel_price_index,
2008-11,3.092,,,,null_peru_diesel_price_index,
2008-12,3.114,,,,null_peru_diesel_price_index,
2009-01,3.151,,,,null_peru_diesel_price_index,
2009-02,3.236,,,,null_peru_diesel_price_index,
2009-03,3.175,,,,null_peru_diesel_price_index,
2009-04,3.085,,,,null_peru_diesel_price_index,
2009-05,2.994,,,,null_peru_diesel_price_index,
2009-06,2.99,,,,null_peru_diesel_price_index,
2009-07,3.013,,,,null_peru_diesel_price_index,
2009-08,2.951,,,,null_peru_diesel_price_index,
2009-09,2.91,,,,null_peru_diesel_price_index,
2009-10,2.872,,,,null_peru_diesel_price_index,
2009-11,2.885,,,,null_peru_diesel_price_index,
2009-12,2.877,,,,null_peru_diesel_price_index,
2005-01,3.268,,,,null_peru_industrial_electricity_tariff_index,
2005-02,3.259,,,,null_peru_industrial_electricity_tariff_index,
2005-03,3.259,,,,null_peru_industrial_electricity_tariff_index,
2005-04,3.258,,,,null_peru_industrial_electricity_tariff_index,
2005-05,3.255,,,,null_peru_industrial_electricity_tariff_index,
2005-06,3.253,,,,null_peru_industrial_electricity_tariff_index,
2005-07,3.252,,,,null_peru_industrial_electricity_tariff_index,
2005-08,3.257,,,,null_peru_industrial_electricity_tariff_index,
2005-09,3.308,,,,null_peru_industrial_electricity_tariff_index,
2005-10,3.381,,,,null_peru_industrial_electricity_tariff_index,
2005-11,3.376,,,,null_peru_industrial_electricity_tariff_index,
2005-12,3.424,,,,null_peru_industrial_electricity_tariff_index,
2006-01,3.393,,,,null_peru_industrial_electricity_tariff_index,
2006-02,3.289,,,,null_peru_industrial_electricity_tariff_index,
2006-03,3.339,,,,null_peru_industrial_electricity_tariff_index,
2006-04,3.332,,,,null_peru_industrial_electricity_tariff_index,
2006-05,3.279,,,,null_peru_industrial_electricity_tariff_index,
2006-06,3.264,,,,null_peru_industrial_electricity_tariff_index,
2006-07,3.243,,,,null_peru_industrial_electricity_tariff_index,
2006-08,3.234,,,,null_peru_industrial_electricity_tariff_index,
2006-09,3.248,,,,null_peru_industrial_electricity_tariff_index,
2006-10,3.237,,,,null_peru_industrial_electricity_tariff_index,
2006-11,3.222,,,,null_peru_industrial_electricity_tariff_index,
2006-12,3.205,,,,null_peru_industrial_electricity_tariff_index,
2007-01,3.193,,,,null_peru_industrial_electricity_tariff_index,
2007-02,3.19,,,,null_peru_industrial_electricity_tariff_index,
2007-03,3.186,,,,null_peru_industrial_electricity_tariff_index,
2007-04,3.178,,,,null_peru_industrial_electricity_tariff_index,
2007-05,3.168,,,,null_peru_industrial_electricity_tariff_index,
2007-06,3.17,,,,null_peru_industrial_electricity_tariff_index,
2007-07,3.161,,,,null_peru_industrial_electricity_tariff_index,
2007-08,3.158,,,,null_peru_industrial_electricity_tariff_index,
2007-09,3.136,,,,null_peru_industrial_electricity_tariff_index,
2007-10,3.02,,,,null_peru_industrial_electricity_tariff_index,
2007-11,3.001,,,,null_peru_industrial_electricity_tariff_index,
2007-12,2.981,,,,null_peru_industrial_electricity_tariff_index,
2008-01,2.95,,,,null_peru_industrial_electricity_tariff_index,
2008-02,2.906,,,,null_peru_industrial_electricity_tariff_index,
2008-03,2.811,,,,null_peru_industrial_electricity_tariff_index,
2008-04,2.748,,,,null_peru_industrial_electricity_tariff_index,
2008-05,2.805,,,,null_peru_industrial_electricity_tariff_index,
2008-06,2.892,,,,null_peru_industrial_electricity_tariff_index,
2008-07,2.848,,,,null_peru_industrial_electricity_tariff_index,
2008-08,2.892,,,,null_peru_industrial_electricity_tariff_index,
2008-09,2.966,,,,null_peru_industrial_electricity_tariff_index,
2008-10,3.075,,,,null_peru_industrial_electricity_tariff_index,
2008-11,3.092,,,,null_peru_industrial_electricity_tariff_index,
2008-12,3.114,,,,null_peru_industrial_electricity_tariff_index,
2009-01,3.151,,,,null_peru_industrial_electricity_tariff_index,
2009-02,3.236,,,,null_peru_industrial_electricity_tariff_index,
2009-03,3.175,,,,null_peru_industrial_electricity_tariff_index,
2009-04,3.085,,,,null_peru_industrial_electricity_tariff_index,
2009-05,2.994,,,,null_peru_industrial_electricity_tariff_index,
2009-06,2.99,,,,null_peru_industrial_electricity_tariff_index,
2009-07,3.013,,,,null_peru_industrial_electricity_tariff_index,
2009-08,2.951,,,,null_peru_industrial_electricity_tariff_index,
2009-09,2.91,,,,null_peru_industrial_electricity_tariff_index,
2009-10,2.872,,,,null_peru_industrial_electricity_tariff_index,
2009-11,2.885,,,,null_peru_industrial_electricity_tariff_index,
2009-12,2.877,,,,null_peru_industrial_electricity_tariff_index,
2005-01,3.268,,,,null_peru_formal_private_income_pen,
2005-02,3.259,,,,null_peru_formal_private_income_pen,
2005-03,3.259,,,,null_peru_formal_private_income_pen,
2005-04,3.258,,,,null_peru_formal_private_income_pen,
2005-05,3.255,,,,null_peru_formal_private_income_pen,
2005-06,3.253,,,,null_peru_formal_private_income_pen,
2005-07,3.252,,,,null_peru_formal_private_income_pen,
2005-08,3.257,,,,null_peru_formal_private_income_pen,
2005-09,3.308,,,,null_peru_formal_private_income_pen,
2005-10,3.381,,,,null_peru_formal_private_income_pen,
2005-11,3.376,,,,null_peru_formal_private_income_pen,
2005-12,3.424,,,,null_peru_formal_private_income_pen,
2006-01,3.393,,,,null_peru_formal_private_income_pen,
2006-02,3.289,,,,null_peru_formal_private_income_pen,
2006-03,3.339,,,,null_peru_formal_private_income_pen,
2006-04,3.332,,,,null_peru_formal_private_income_pen,
