date,global_ev_sales_units,china_ev_sales_units,europe_ev_sales_units,usa_ev_sales_units,rest_of_world_ev_sales_units,global_ev_sales_share_percent,global_ev_stock_units,china_ev_stock_units,europe_ev_stock_units,usa_ev_stock_units,rest_of_world_ev_stock_units,global_renewable_capacity_mw,global_solar_capacity_mw,global_wind_capacity_mw
2015-12-31,520000,210000,160000,110000,40000,0.7,1270000,290000,400000,400000,180000,1852348.79,226309.13,416384.39
2016-12-31,780000,340000,230000,160000,50000,1.0,2010000,630000,600000,560000,220000,2020791.98,298129.41,467315.77999999997
2017-12-31,1190000,580000,310000,200000,100000,1.4,3160000,1210000,870000,760000,320000,2186942.51,391781.19,514971.85
2018-12-31,2030000,1080000,400000,360000,190000,2.4,5080000,2270000,1240000,1120000,450000,2357536.6999999997,487296.06,563515.91
2019-12-31,2130000,1060000,570000,330000,170000,2.7,7120000,3310000,1750000,1450000,610000,2541485.5900000003,589761.45,623075.99
2020-12-31,3000000,1140000,1390000,300000,170000,4.4,10150000,4420000,3140000,1780000,810000,2810898.76,721133.54,733274.2
2021-12-31,6550000,3280000,2310000,630000,330000,9.2,16380000,7640000,5410000,2180000,1150000,3077119.6199999996,866040.15,824193.4800000001
2022-12-31,10200000,5960000,2660000,990000,590000,14.7,25880000,13310000,7780000,3050000,1740000,3379389.23,1058035.5699999998,903088.92
2023-12-31,13680000,8120000,3180000,1400000,980000,17.9,39630000,21010000,11130000,4760000,2730000,3872829.38,1422025.5799999998,1018224.49
2024-12-31,17310000,11240000,3180000,1550000,1340000,21.5,55660000,31700000,13490000,6310000,4160000,4457340.38,1880396.3800000001,1132689.9400000002
2025-12-31,20880000,13220000,4210000,1510000,1940000,24.7,75140000,44250000,16880000,7830000,6180000,5149280.09,2391584.4899999998,1291367.86
