"Date","Price","Open","High","Low","Vol.","Change %"
"09/03/2026","4,019.80","4,015.77","4,057.92","3,985.68","14.69M","0.00%"
"09/02/2026","4,019.89","3,989.26","4,033.23","3,981.19","36.77M","0.40%"
"09/01/2026","4,003.94","4,021.46","4,050.33","3,960.30","32.69M","-0.47%"
"08/31/2026","4,022.92","3,991.76","4,055.30","3,985.28","45.54M","0.73%"
"08/28/2026","3,993.70","3,987.93","4,000.26","3,967.67","28.97M","0.86%"
"08/27/2026","3,959.63","4,038.50","4,038.50","3,953.10","26.40M","-1.94%"
"08/26/2026","4,038.12","4,016.73","4,055.08","4,016.73","42.56M","0.75%"
"08/25/2026","4,008.04","3,999.55","4,015.94","3,984.60","28.89M","0.18%"
"08/24/2026","4,000.72","3,982.42","4,001.49","3,964.79","23.71M","0.14%"
"08/21/2026","3,995.19","3,995.95","4,028.08","3,984.13","44.41M","0.45%"
"08/20/2026","3,977.21","4,016.90","4,016.90","3,966.19","27.89M","-1.21%"
"08/19/2026","4,025.82","3,965.93","4,033.81","3,925.07","25.96M","1.72%"
"08/18/2026","3,957.61","3,973.52","3,988.97","3,957.61","21.54M","-0.74%"
"08/17/2026","3,987.28","4,039.74","4,041.04","3,966.80","23.44M","-1.11%"
"08/14/2026","4,032.00","4,016.32","4,032.88","3,992.67","27.42M","0.64%"
"08/13/2026","4,006.49","4,055.65","4,067.09","4,001.35","28.08M","-1.44%"
"08/12/2026","4,065.12","4,053.03","4,070.78","4,038.15","24.94M","0.41%"
"08/11/2026","4,048.66","4,025.02","4,084.47","4,025.02","36.75M","0.61%"
"08/10/2026","4,024.05","4,011.17","4,025.74","3,975.63","26.47M","0.59%"
"08/07/2026","4,000.25","4,033.53","4,033.53","3,985.99","24.57M","-0.54%"
"08/06/2026","4,022.16","3,986.28","4,037.53","3,969.28","28.25M","0.94%"
"08/05/2026","3,984.80","4,004.41","4,009.34","3,952.41","28.09M","-0.29%"
"08/04/2026","3,996.45","3,929.70","3,996.45","3,912.92","38.49M","1.35%"
"08/03/2026","3,943.04","3,939.28","3,963.21","3,918.02","28.03M","0.58%"
"07/31/2026","3,920.26","3,911.05","3,928.98","3,891.59","63.08M","0.33%"
"07/30/2026","3,907.28","3,847.30","3,907.28","3,837.69","35.37M","1.57%"
"07/29/2026","3,846.92","3,851.04","3,869.31","3,845.11","30.88M","0.57%"
"07/28/2026","3,825.10","3,835.62","3,866.95","3,814.62","44.60M","-0.24%"
"07/27/2026","3,834.33","3,867.54","3,867.54","3,825.86","33.66M","0.22%"
"07/24/2026","3,826.08","3,823.36","3,863.68","3,818.07","22.39M","-0.13%"
"07/23/2026","3,831.03","3,859.34","3,885.63","3,812.99","40.81M","-1.13%"
"07/22/2026","3,874.77","3,841.62","3,890.95","3,832.97","34.73M","0.60%"
"07/21/2026","3,851.48","3,813.42","3,851.48","3,812.01","29.99M","1.78%"
"07/20/2026","3,784.15","3,764.25","3,812.91","3,755.52","31.28M","0.47%"
"07/17/2026","3,766.41","3,764.46","3,779.47","3,739.44","47.15M","-0.77%"
"07/16/2026","3,795.76","3,803.18","3,840.43","3,785.63","60.62M","-0.20%"
"07/15/2026","3,803.37","3,808.54","3,830.25","3,796.18","42.10M","-0.41%"
"07/14/2026","3,818.89","3,761.37","3,818.89","3,741.64","39.45M","1.23%"
"07/13/2026","3,772.63","3,746.33","3,784.29","3,734.53","21.39M","0.08%"
"07/10/2026","3,769.50","3,704.65","3,771.75","3,701.86","24.48M","2.26%"
"07/09/2026","3,686.03","3,694.45","3,720.30","3,675.96","31.70M","0.37%"
"07/08/2026","3,672.54","3,661.96","3,672.54","3,604.64","29.66M","-0.05%"
"07/07/2026","3,674.36","3,662.30","3,697.39","3,631.46","26.39M","-0.42%"
"07/06/2026","3,690.01","3,679.12","3,706.33","3,664.64","20.77M","0.42%"
"07/03/2026","3,674.68","3,682.01","3,684.69","3,654.98","22.09M","0.17%"
"07/02/2026","3,668.34","3,604.42","3,682.39","3,595.13","27.99M","1.57%"
"07/01/2026","3,611.70","3,587.21","3,615.99","3,553.53","26.61M","0.68%"
"06/30/2026","3,587.42","3,583.44","3,608.46","3,536.40","31.20M","0.69%"
"06/29/2026","3,562.94","3,586.32","3,586.32","3,548.32","23.64M","-0.26%"
"06/26/2026","3,572.30","3,591.66","3,591.66","3,536.53","27.68M","-0.73%"
"06/25/2026","3,598.40","3,578.19","3,614.90","3,568.90","31.25M","1.26%"
"06/24/2026","3,553.66","3,654.22","3,654.22","3,528.85","34.08M","-2.49%"
"06/23/2026","3,644.44","3,616.22","3,644.44","3,585.56","25.38M","-0.41%"
"06/22/2026","3,659.50","3,691.29","3,704.16","3,643.82","21.26M","-0.53%"
"06/19/2026","3,678.84","3,666.95","3,678.84","3,649.97","78.34M","0.21%"
"06/18/2026","3,671.03","3,723.22","3,723.22","3,664.93","41.21M","-1.60%"
"06/17/2026","3,730.66","3,729.17","3,742.12","3,702.08","40.18M","-0.20%"
"06/16/2026","3,738.22","3,680.46","3,761.66","3,680.08","78.14M","1.80%"
"06/15/2026","3,672.16","3,780.75","3,787.75","3,672.16","33.24M","-1.12%"
"06/12/2026","3,713.88","3,669.66","3,725.98","3,663.93","51.28M","1.69%"
"06/11/2026","3,652.02","3,618.64","3,661.93","3,617.08","21.25M","1.39%"
"06/10/2026","3,602.10","3,628.08","3,635.11","3,577.13","36.82M","-1.05%"
"06/09/2026","3,640.31","3,633.55","3,674.18","3,621.64","19.81M","0.32%"
"06/08/2026","3,628.56","3,580.76","3,630.44","3,569.05","23.96M","0.58%"
"06/05/2026","3,607.79","3,663.59","3,664.92","3,607.79","31.52M","-1.95%"
"06/03/2026","3,679.54","3,661.14","3,687.70","3,656.78","20.68M","0.30%"
"06/02/2026","3,668.51","3,667.37","3,715.27","3,643.36","33.30M","1.03%"
"06/01/2026","3,631.04","3,694.96","3,694.96","3,631.04","21.21M","-1.52%"
"05/29/2026","3,686.96","3,692.98","3,708.55","3,685.05","48.50M","0.45%"
"05/28/2026","3,670.49","3,664.64","3,689.17","3,660.76","27.41M","-0.03%"
"05/27/2026","3,671.65","3,706.21","3,724.60","3,671.65","27.43M","-0.28%"
"05/26/2026","3,682.07","3,718.87","3,729.15","3,682.07","21.06M","-1.01%"
"05/25/2026","3,719.68","3,680.13","3,724.23","3,680.13","25.26M","2.16%"
"05/22/2026","3,641.19","3,615.99","3,657.58","3,609.40","26.47M","1.43%"
"05/21/2026","3,590.00","3,600.45","3,612.61","3,568.51","24.70M","-0.57%"
"05/20/2026","3,610.70","3,563.25","3,622.06","3,540.23","26.24M","1.64%"
"05/19/2026","3,552.49","3,605.38","3,621.33","3,549.80","25.54M","-1.60%"
"05/18/2026","3,610.09","3,534.61","3,620.07","3,524.03","24.01M","1.83%"
"05/15/2026","3,545.38","3,593.60","3,606.66","3,541.57","35.63M","-2.37%"
"05/14/2026","3,631.56","3,612.64","3,663.09","3,576.40","30.62M","1.09%"
"05/13/2026","3,592.36","3,553.67","3,596.05","3,538.40","27.22M","2.09%"
"05/12/2026","3,518.79","3,569.01","3,569.01","3,513.26","29.50M","-1.88%"
"05/11/2026","3,586.34","3,540.37","3,602.40","3,519.83","24.38M","1.43%"
"05/08/2026","3,535.94","3,606.98","3,606.98","3,522.26","28.46M","-1.59%"
"05/07/2026","3,592.99","3,638.82","3,640.35","3,575.85","30.49M","-1.01%"
"05/06/2026","3,629.57","3,560.70","3,638.51","3,558.40","34.05M","2.83%"
"05/05/2026","3,529.57","3,491.02","3,529.57","3,482.66","24.63M","1.08%"
"05/04/2026","3,491.84","3,523.90","3,535.82","3,462.64","25.27M","0.11%"
"04/30/2026","3,487.99","3,519.59","3,526.73","3,466.20","31.46M","-0.45%"
"04/29/2026","3,503.71","3,524.00","3,563.00","3,493.50","37.07M","0.05%"
"04/28/2026","3,502.06","3,530.76","3,566.57","3,497.84","24.85M","-0.76%"
"04/27/2026","3,528.90","3,566.60","3,566.60","3,520.44","26.59M","-0.79%"
"04/24/2026","3,556.91","3,573.12","3,579.80","3,537.24","21.98M","-0.61%"
"04/23/2026","3,578.84","3,607.54","3,607.54","3,555.22","29.89M","-1.02%"
"04/22/2026","3,615.77","3,638.09","3,638.74","3,606.52","26.60M","-0.67%"
"04/21/2026","3,640.00","3,667.59","3,676.44","3,640.00","22.64M","-0.73%"
"04/20/2026","3,666.86","3,664.77","3,677.76","3,651.63","25.26M","-0.91%"
"04/17/2026","3,700.60","3,635.10","3,704.61","3,625.43","37.42M","1.40%"
"04/16/2026","3,649.50","3,672.41","3,674.29","3,626.91","35.85M","-0.45%"
"04/15/2026","3,665.94","3,631.53","3,670.08","3,624.78","38.43M","0.80%"
"04/14/2026","3,636.72","3,621.53","3,654.27","3,603.14","36.47M","1.13%"
"04/13/2026","3,596.03","3,590.57","3,596.03","3,565.98","40.12M","-0.02%"
"04/10/2026","3,596.84","3,562.53","3,596.84","3,539.96","35.36M","1.25%"
"04/09/2026","3,552.48","3,528.54","3,554.16","3,514.01","37.70M","0.52%"
