month,china_electricity_generation_100m_kwh,unit,source
2007-02,1967.3,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2007-03,2472.0,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2007-04,2474.5,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2007-05,2568.7,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2007-06,2715.6,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2007-07,2915.7,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2007-08,2989.8,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2007-09,2760.1,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2007-10,2727.9,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2007-11,2754.7,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2007-12,2946.9,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2008-02,2337.8,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2008-03,2897.8,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2008-04,2814.3,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2008-05,2933.8,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2008-06,2934.5,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2008-07,3195.4,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2008-08,3160.6,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2008-09,2892.5,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2008-10,2645.0,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2008-11,2540.2,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2008-12,2739.6,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2009-02,2449.4,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2009-03,2833.6,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2009-04,2712.9,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2009-05,2838.9,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2009-06,3100.1,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2009-07,3345.0,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2009-08,3443.2,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2009-09,3203.3,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2009-10,3121.0,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2009-11,3234.1,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2009-12,3497.8,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2010-02,2695.9,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2010-03,3369.5,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2010-04,3316.4,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2010-05,3404.7,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2010-06,3466.6,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2010-07,3776.4,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2010-08,3903.3,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2010-09,3486.5,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2010-10,3328.8,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2010-11,3453.4,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2010-12,3677.8,100M kWh current period,National Bureau of Statistics of China via China Data Portal
2011-02,3100.8,100M kWh current period,National Bureau of Statistics of China via China Data Portal
