month,china_fixed_asset_investment_yoy_pct,unit,source
2007-02,23.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2007-03,25.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2007-04,25.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2007-05,25.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2007-06,26.7,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2007-07,26.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2007-08,26.7,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2007-09,26.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2007-10,26.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2007-11,26.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2007-12,25.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2008-02,24.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2008-03,25.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2008-04,25.7,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2008-05,25.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2008-06,26.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2008-07,27.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2008-08,27.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2008-09,27.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2008-10,27.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2008-11,26.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2008-12,26.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2009-02,26.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2009-03,28.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2009-04,30.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2009-05,32.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2009-06,33.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2009-07,32.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2009-08,33.0,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2009-09,33.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2009-10,33.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2009-11,32.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2009-12,30.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2010-02,26.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2010-03,26.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2010-04,26.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2010-05,25.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2010-06,25.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2010-07,24.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2010-08,24.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2010-09,24.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2010-10,24.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2010-11,24.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2010-12,24.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2011-02,24.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2011-03,25.0,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2011-04,25.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2011-05,25.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2011-06,25.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2011-07,25.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2011-08,25.0,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2011-09,24.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2011-10,24.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2011-11,24.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2011-12,23.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2012-02,21.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2012-03,20.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2012-04,20.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2012-05,20.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2012-06,20.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2012-07,20.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2012-08,20.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2012-09,20.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2012-10,20.7,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2012-11,20.7,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2012-12,20.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2013-02,21.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2013-03,20.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2013-04,20.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2013-05,20.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2013-06,20.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2013-07,20.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2013-08,20.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2013-09,20.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2013-10,20.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2013-11,19.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2013-12,19.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2014-02,17.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2014-03,17.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2014-04,17.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2014-05,17.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2014-06,17.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2014-07,17.0,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2014-08,16.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2014-09,16.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2014-10,15.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2014-11,15.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2014-12,15.7,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2015-02,13.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2015-03,13.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2015-04,12.0,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2015-05,11.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2015-06,11.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2015-07,11.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2015-08,10.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2015-09,10.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2015-10,10.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2015-11,10.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2015-12,10.0,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2016-02,10.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2016-03,10.7,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2016-04,10.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2016-05,9.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2016-06,9.0,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2016-07,8.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2016-08,8.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2016-09,8.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2016-10,8.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2016-11,8.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2016-12,8.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2017-02,8.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2017-03,9.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2017-04,8.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2017-05,8.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2017-06,8.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2017-07,8.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2017-08,7.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2017-09,7.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2017-10,7.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2017-11,7.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2017-12,7.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2018-02,7.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2018-03,7.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2018-04,7.0,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2018-05,6.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2018-06,6.0,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2018-07,5.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2018-08,5.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2018-09,5.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2018-10,5.7,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2018-11,5.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2018-12,5.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2019-02,6.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2019-03,6.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2019-04,6.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2019-05,5.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2019-06,5.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2019-07,5.7,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2019-08,5.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2019-09,5.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2019-10,5.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2019-11,5.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2019-12,5.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2020-02,-24.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2020-03,-16.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2020-04,-10.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2020-05,-6.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2020-06,-3.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2020-07,-1.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2020-08,-0.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2020-09,0.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2020-10,1.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2020-11,2.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2020-12,2.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2021-02,35.0,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2021-03,25.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2021-04,19.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2021-05,15.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2021-06,12.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2021-07,10.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2021-08,8.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2021-09,7.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2021-10,6.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2021-11,5.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2021-12,4.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2022-02,12.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2022-03,9.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2022-04,6.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2022-05,6.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2022-06,6.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2022-07,5.7,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2022-08,5.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2022-09,5.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2022-10,5.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2022-11,5.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2022-12,5.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2023-02,5.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2023-03,5.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2023-04,4.7,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2023-05,4.0,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2023-06,3.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2023-07,3.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2023-08,3.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2023-09,3.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2023-10,2.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2023-11,2.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2023-12,3.0,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2024-02,4.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2024-03,4.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2024-04,4.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2024-05,4.0,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2024-06,3.9,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2024-07,3.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2024-08,3.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2024-09,3.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2024-10,3.4,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2024-11,3.3,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2024-12,3.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2025-02,4.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2025-03,4.2,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2025-04,4.0,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2025-05,3.7,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2025-06,2.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2025-07,1.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2025-08,0.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2025-09,-0.5,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2025-10,-1.7,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2025-11,-2.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2025-12,-3.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2026-02,1.8,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2026-03,1.7,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2026-04,-1.6,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
2026-05,-4.1,% YoY cumulative comparable,National Bureau of Statistics of China via China Data Portal
