month,china_industrial_value_added_yoy_pct,unit,source
2007-02,12.6,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2007-03,17.6,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2007-04,17.4,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2007-05,18.1,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2007-06,19.4,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2007-07,18.0,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2007-08,17.5,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2007-09,18.9,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2007-10,17.9,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2007-11,17.3,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2007-12,17.4,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2008-02,15.4,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2008-03,17.8,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2008-04,15.7,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2008-05,16.0,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2008-06,16.0,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2008-07,14.7,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2008-08,12.8,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2008-09,11.4,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2008-10,8.2,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2008-11,5.4,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2008-12,5.7,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2009-02,11.0,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2009-03,8.3,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2009-04,7.3,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2009-05,8.9,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2009-06,10.7,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2009-07,10.8,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2009-08,12.3,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2009-09,13.9,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2009-10,16.1,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2009-11,19.2,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2009-12,18.5,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2010-02,12.8,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2010-03,18.1,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2010-04,17.8,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2010-05,16.5,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2010-06,13.7,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2010-07,13.4,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2010-08,13.9,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2010-09,13.3,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2010-10,13.1,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2010-11,13.3,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2010-12,13.5,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2011-02,14.9,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2011-03,14.8,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2011-04,13.4,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2011-05,13.3,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2011-06,15.1,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2011-07,14.0,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2011-08,13.5,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2011-09,13.8,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2011-10,13.2,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2011-11,12.4,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2011-12,12.8,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2012-02,21.3,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2012-03,11.9,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2012-04,9.3,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2012-05,9.6,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2012-06,9.5,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2012-07,9.2,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2012-08,8.9,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2012-09,9.2,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2012-10,9.6,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2012-11,10.1,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2012-12,10.3,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2013-03,8.9,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2013-04,9.3,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2013-05,9.2,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2013-06,8.9,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2013-07,9.7,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2013-08,10.4,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2013-09,10.2,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2013-10,10.3,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2013-11,10.0,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2013-12,9.7,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2014-03,8.8,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2014-04,8.7,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2014-05,8.8,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2014-06,9.2,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2014-07,9.0,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2014-08,6.9,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2014-09,8.0,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2014-10,7.7,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2014-11,7.2,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2014-12,7.9,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2015-03,5.6,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2015-04,5.9,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2015-05,6.1,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2015-06,6.8,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2015-07,6.0,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2015-08,6.1,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2015-09,5.7,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2015-10,5.6,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2015-11,6.2,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2015-12,5.9,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2016-03,6.8,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2016-04,6.0,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2016-05,6.0,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2016-06,6.2,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2016-07,6.0,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2016-08,6.3,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2016-09,6.1,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2016-10,6.1,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2016-11,6.2,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2016-12,6.0,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2017-03,7.6,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2017-04,6.5,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
2017-05,6.5,% YoY real comparable prices,National Bureau of Statistics of China via China Data Portal
