month,china_ppi_yoy_pct,unit,source
2005-01,5.8,% YoY,National Bureau of Statistics of China via China Data Portal
2005-02,5.4,% YoY,National Bureau of Statistics of China via China Data Portal
2005-03,5.6,% YoY,National Bureau of Statistics of China via China Data Portal
2005-04,5.8,% YoY,National Bureau of Statistics of China via China Data Portal
2005-05,6.0,% YoY,National Bureau of Statistics of China via China Data Portal
2005-06,5.2,% YoY,National Bureau of Statistics of China via China Data Portal
2005-07,5.2,% YoY,National Bureau of Statistics of China via China Data Portal
2005-08,5.3,% YoY,National Bureau of Statistics of China via China Data Portal
2005-09,4.5,% YoY,National Bureau of Statistics of China via China Data Portal
2005-10,4.0,% YoY,National Bureau of Statistics of China via China Data Portal
2005-11,3.2,% YoY,National Bureau of Statistics of China via China Data Portal
2005-12,3.2,% YoY,National Bureau of Statistics of China via China Data Portal
2006-01,3.1,% YoY,National Bureau of Statistics of China via China Data Portal
2006-02,3.0,% YoY,National Bureau of Statistics of China via China Data Portal
2006-03,2.5,% YoY,National Bureau of Statistics of China via China Data Portal
2006-04,1.9,% YoY,National Bureau of Statistics of China via China Data Portal
2006-05,2.4,% YoY,National Bureau of Statistics of China via China Data Portal
2006-06,3.5,% YoY,National Bureau of Statistics of China via China Data Portal
2006-07,3.6,% YoY,National Bureau of Statistics of China via China Data Portal
2006-08,3.4,% YoY,National Bureau of Statistics of China via China Data Portal
2006-09,3.5,% YoY,National Bureau of Statistics of China via China Data Portal
2006-10,3.0,% YoY,National Bureau of Statistics of China via China Data Portal
2006-11,2.8,% YoY,National Bureau of Statistics of China via China Data Portal
2006-12,3.1,% YoY,National Bureau of Statistics of China via China Data Portal
2007-01,3.3,% YoY,National Bureau of Statistics of China via China Data Portal
2007-02,2.6,% YoY,National Bureau of Statistics of China via China Data Portal
2007-03,2.7,% YoY,National Bureau of Statistics of China via China Data Portal
2007-04,2.9,% YoY,National Bureau of Statistics of China via China Data Portal
2007-05,2.8,% YoY,National Bureau of Statistics of China via China Data Portal
2007-06,2.5,% YoY,National Bureau of Statistics of China via China Data Portal
2007-07,2.4,% YoY,National Bureau of Statistics of China via China Data Portal
2007-08,2.6,% YoY,National Bureau of Statistics of China via China Data Portal
2007-09,2.7,% YoY,National Bureau of Statistics of China via China Data Portal
2007-10,3.2,% YoY,National Bureau of Statistics of China via China Data Portal
2007-11,4.6,% YoY,National Bureau of Statistics of China via China Data Portal
2007-12,5.4,% YoY,National Bureau of Statistics of China via China Data Portal
2008-01,6.1,% YoY,National Bureau of Statistics of China via China Data Portal
2008-02,6.6,% YoY,National Bureau of Statistics of China via China Data Portal
2008-03,8.0,% YoY,National Bureau of Statistics of China via China Data Portal
2008-04,8.1,% YoY,National Bureau of Statistics of China via China Data Portal
2008-05,8.2,% YoY,National Bureau of Statistics of China via China Data Portal
2008-06,8.8,% YoY,National Bureau of Statistics of China via China Data Portal
2008-07,10.0,% YoY,National Bureau of Statistics of China via China Data Portal
2008-08,10.1,% YoY,National Bureau of Statistics of China via China Data Portal
2008-09,9.1,% YoY,National Bureau of Statistics of China via China Data Portal
2008-10,6.6,% YoY,National Bureau of Statistics of China via China Data Portal
2008-11,2.0,% YoY,National Bureau of Statistics of China via China Data Portal
2008-12,-1.1,% YoY,National Bureau of Statistics of China via China Data Portal
2009-01,-3.3,% YoY,National Bureau of Statistics of China via China Data Portal
2009-02,-4.5,% YoY,National Bureau of Statistics of China via China Data Portal
2009-03,-6.0,% YoY,National Bureau of Statistics of China via China Data Portal
2009-04,-6.6,% YoY,National Bureau of Statistics of China via China Data Portal
2009-05,-7.2,% YoY,National Bureau of Statistics of China via China Data Portal
2009-06,-7.8,% YoY,National Bureau of Statistics of China via China Data Portal
2009-07,-8.2,% YoY,National Bureau of Statistics of China via China Data Portal
2009-08,-7.9,% YoY,National Bureau of Statistics of China via China Data Portal
2009-09,-7.0,% YoY,National Bureau of Statistics of China via China Data Portal
2009-10,-5.8,% YoY,National Bureau of Statistics of China via China Data Portal
2009-11,-2.1,% YoY,National Bureau of Statistics of China via China Data Portal
2009-12,1.7,% YoY,National Bureau of Statistics of China via China Data Portal
2010-01,4.3,% YoY,National Bureau of Statistics of China via China Data Portal
2010-02,5.4,% YoY,National Bureau of Statistics of China via China Data Portal
2010-03,5.9,% YoY,National Bureau of Statistics of China via China Data Portal
2010-04,6.8,% YoY,National Bureau of Statistics of China via China Data Portal
2010-05,7.1,% YoY,National Bureau of Statistics of China via China Data Portal
2010-06,6.4,% YoY,National Bureau of Statistics of China via China Data Portal
2010-07,4.8,% YoY,National Bureau of Statistics of China via China Data Portal
2010-08,4.3,% YoY,National Bureau of Statistics of China via China Data Portal
2010-09,4.3,% YoY,National Bureau of Statistics of China via China Data Portal
2010-10,5.0,% YoY,National Bureau of Statistics of China via China Data Portal
2010-11,6.1,% YoY,National Bureau of Statistics of China via China Data Portal
2010-12,5.9,% YoY,National Bureau of Statistics of China via China Data Portal
2011-01,6.6,% YoY,National Bureau of Statistics of China via China Data Portal
2011-02,7.2,% YoY,National Bureau of Statistics of China via China Data Portal
2011-03,7.3,% YoY,National Bureau of Statistics of China via China Data Portal
2011-04,6.8,% YoY,National Bureau of Statistics of China via China Data Portal
2011-05,6.8,% YoY,National Bureau of Statistics of China via China Data Portal
2011-06,7.1,% YoY,National Bureau of Statistics of China via China Data Portal
2011-07,7.5,% YoY,National Bureau of Statistics of China via China Data Portal
2011-08,7.3,% YoY,National Bureau of Statistics of China via China Data Portal
2011-09,6.5,% YoY,National Bureau of Statistics of China via China Data Portal
2011-10,5.0,% YoY,National Bureau of Statistics of China via China Data Portal
2011-11,2.7,% YoY,National Bureau of Statistics of China via China Data Portal
2011-12,1.7,% YoY,National Bureau of Statistics of China via China Data Portal
2012-01,0.7,% YoY,National Bureau of Statistics of China via China Data Portal
2012-02,0.0,% YoY,National Bureau of Statistics of China via China Data Portal
2012-03,-0.3,% YoY,National Bureau of Statistics of China via China Data Portal
2012-04,-0.7,% YoY,National Bureau of Statistics of China via China Data Portal
2012-05,-1.4,% YoY,National Bureau of Statistics of China via China Data Portal
2012-06,-2.1,% YoY,National Bureau of Statistics of China via China Data Portal
2012-07,-2.9,% YoY,National Bureau of Statistics of China via China Data Portal
2012-08,-3.5,% YoY,National Bureau of Statistics of China via China Data Portal
2012-09,-3.6,% YoY,National Bureau of Statistics of China via China Data Portal
2012-10,-2.8,% YoY,National Bureau of Statistics of China via China Data Portal
2012-11,-2.2,% YoY,National Bureau of Statistics of China via China Data Portal
2012-12,-1.9,% YoY,National Bureau of Statistics of China via China Data Portal
2013-01,-1.6,% YoY,National Bureau of Statistics of China via China Data Portal
2013-02,-1.6,% YoY,National Bureau of Statistics of China via China Data Portal
2013-03,-1.9,% YoY,National Bureau of Statistics of China via China Data Portal
2013-04,-2.6,% YoY,National Bureau of Statistics of China via China Data Portal
2013-05,-2.9,% YoY,National Bureau of Statistics of China via China Data Portal
2013-06,-2.7,% YoY,National Bureau of Statistics of China via China Data Portal
2013-07,-2.3,% YoY,National Bureau of Statistics of China via China Data Portal
2013-08,-1.6,% YoY,National Bureau of Statistics of China via China Data Portal
2013-09,-1.3,% YoY,National Bureau of Statistics of China via China Data Portal
2013-10,-1.5,% YoY,National Bureau of Statistics of China via China Data Portal
2013-11,-1.4,% YoY,National Bureau of Statistics of China via China Data Portal
2013-12,-1.4,% YoY,National Bureau of Statistics of China via China Data Portal
2014-01,-1.6,% YoY,National Bureau of Statistics of China via China Data Portal
2014-02,-2.0,% YoY,National Bureau of Statistics of China via China Data Portal
2014-03,-2.3,% YoY,National Bureau of Statistics of China via China Data Portal
2014-04,-2.0,% YoY,National Bureau of Statistics of China via China Data Portal
2014-05,-1.4,% YoY,National Bureau of Statistics of China via China Data Portal
2014-06,-1.1,% YoY,National Bureau of Statistics of China via China Data Portal
2014-07,-0.9,% YoY,National Bureau of Statistics of China via China Data Portal
2014-08,-1.2,% YoY,National Bureau of Statistics of China via China Data Portal
2014-09,-1.8,% YoY,National Bureau of Statistics of China via China Data Portal
2014-10,-2.2,% YoY,National Bureau of Statistics of China via China Data Portal
2014-11,-2.7,% YoY,National Bureau of Statistics of China via China Data Portal
2014-12,-3.3,% YoY,National Bureau of Statistics of China via China Data Portal
2015-01,-4.3,% YoY,National Bureau of Statistics of China via China Data Portal
2015-02,-4.8,% YoY,National Bureau of Statistics of China via China Data Portal
2015-03,-4.6,% YoY,National Bureau of Statistics of China via China Data Portal
2015-04,-4.6,% YoY,National Bureau of Statistics of China via China Data Portal
2015-05,-4.6,% YoY,National Bureau of Statistics of China via China Data Portal
2015-06,-4.8,% YoY,National Bureau of Statistics of China via China Data Portal
2015-07,-5.4,% YoY,National Bureau of Statistics of China via China Data Portal
2015-08,-5.9,% YoY,National Bureau of Statistics of China via China Data Portal
2015-09,-5.9,% YoY,National Bureau of Statistics of China via China Data Portal
