month,china_real_estate_investment_yoy_pct,unit,source
2007-02,24.3,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2007-03,26.9,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2007-04,27.4,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2007-05,27.5,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2007-06,28.5,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2007-07,28.9,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2007-08,29.0,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2007-09,30.3,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2007-10,31.4,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2007-11,31.8,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2007-12,30.2,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2008-02,32.9,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2008-03,32.3,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2008-04,32.1,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2008-05,31.9,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2008-06,33.5,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2008-07,30.9,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2008-08,29.1,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2008-09,26.5,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2008-10,24.6,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2008-11,22.7,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2008-12,20.9,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2009-02,1.0,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2009-03,4.1,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2009-04,4.9,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2009-05,5.8,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2009-06,8.3,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2009-07,9.5,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2009-08,12.5,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2009-09,15.4,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2009-10,16.6,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2009-11,17.8,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2009-12,16.1,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2010-02,31.1,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2010-03,35.1,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2010-04,36.2,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2010-05,38.2,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2010-06,38.1,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2010-07,37.2,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2010-08,36.7,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2010-09,36.4,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2010-10,36.5,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2010-11,36.5,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2010-12,33.2,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2011-02,35.2,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2011-03,34.1,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2011-04,34.3,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2011-05,34.6,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2011-06,32.9,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2011-07,33.6,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2011-08,33.2,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
2011-09,32.0,% YoY cumulative,National Bureau of Statistics of China via China Data Portal
