date,g20_composite_leading_indicator
2015-01-01,100.166
2015-02-01,100.1618
2015-03-01,100.1491
2015-04-01,100.1171
2015-05-01,100.0534
2015-06-01,99.95288
2015-07-01,99.82441
2015-08-01,99.69016
2015-09-01,99.57141
2015-10-01,99.48048
2015-11-01,99.40804
2015-12-01,99.34529
2016-01-01,99.29642
2016-02-01,99.26799
2016-03-01,99.26883
2016-04-01,99.29346
2016-05-01,99.33307
2016-06-01,99.3857
2016-07-01,99.45578
2016-08-01,99.54247
2016-09-01,99.64742
2016-10-01,99.76156
2016-11-01,99.87498
2016-12-01,99.98252
2017-01-01,100.0785
2017-02-01,100.1631
2017-03-01,100.2389
2017-04-01,100.3102
2017-05-01,100.3833
2017-06-01,100.4635
2017-07-01,100.5479
2017-08-01,100.6344
2017-09-01,100.7133
2017-10-01,100.7762
2017-11-01,100.817
2017-12-01,100.8332
2018-01-01,100.8285
2018-02-01,100.8042
2018-03-01,100.755
2018-04-01,100.6804
2018-05-01,100.5832
2018-06-01,100.4628
2018-07-01,100.3209
2018-08-01,100.1624
2018-09-01,99.99438
2018-10-01,99.82555
2018-11-01,99.6701
2018-12-01,99.53597
2019-01-01,99.43512
2019-02-01,99.37231
2019-03-01,99.33771
2019-04-01,99.31504
2019-05-01,99.29599
2019-06-01,99.28128
2019-07-01,99.27168
2019-08-01,99.27149
2019-09-01,99.28767
2019-10-01,99.32154
2019-11-01,99.37045
2019-12-01,99.42082
2020-01-01,98.41009
2020-02-01,96.34776
2020-03-01,93.55788
2020-04-01,89.43842
2020-05-01,93.21635
2020-06-01,96.78113
2020-07-01,98.27249
2020-08-01,99.09612
2020-09-01,99.74853
2020-10-01,100.1333
2020-11-01,100.4087
2020-12-01,100.6975
2021-01-01,100.8734
2021-02-01,101.0394
2021-03-01,101.2307
2021-04-01,101.3601
2021-05-01,101.4078
2021-06-01,101.4135
2021-07-01,101.2772
2021-08-01,101.1619
2021-09-01,101.0848
2021-10-01,101.0058
2021-11-01,100.8801
2021-12-01,100.7337
2022-01-01,100.5517
2022-02-01,100.332
2022-03-01,100.0875
2022-04-01,99.84039
2022-05-01,99.59614
2022-06-01,99.3727
2022-07-01,99.18289
2022-08-01,99.04778
2022-09-01,98.96718
2022-10-01,98.94499
2022-11-01,98.97752
2022-12-01,99.07309
2023-01-01,99.19859
2023-02-01,99.33745
2023-03-01,99.48098
2023-04-01,99.61348
2023-05-01,99.74207
2023-06-01,99.85714
2023-07-01,99.94118
2023-08-01,99.99561
2023-09-01,100.0108
2023-10-01,100.0035
2023-11-01,99.9892
2023-12-01,99.97585
2024-01-01,99.96214
2024-02-01,99.94781
2024-03-01,99.92944
2024-04-01,99.90353
2024-05-01,99.87428
2024-06-01,99.8506
2024-07-01,99.84743
2024-08-01,99.87156
2024-09-01,99.92485
2024-10-01,99.99547
2024-11-01,100.0632
2024-12-01,100.1095
2025-01-01,100.1239
2025-02-01,100.1087
2025-03-01,100.071
2025-04-01,100.0315
2025-05-01,100.0118
2025-06-01,100.012
2025-07-01,100.0247
2025-08-01,100.048
2025-09-01,100.0811
2025-10-01,100.125
2025-11-01,100.1802
2025-12-01,100.2409
2026-01-01,100.2978
2026-02-01,100.3338
2026-03-01,100.3428
2026-04-01,100.3338
2026-05-01,100.3185
2026-06-01,100.3073
2026-07-01,100.3007
2026-08-01,100.2968
