date,euro_area_ppi,euro_area_copper_production_ppi,euro_area_industrial_production,euro_area_construction_output,ecb_policy_rate,boj_call_rate,japan_ppi,japan_cpi,japan_industrial_production,indonesia_inflation_mom,drc_policy_rate,usd_cdf,drc_inflation_mom
2005-01,77.1,38.1,93.6,111.2,1.0,0.0011578947368421052,93.4,85.1,119.8,1.43,16.0,462.13882352941175,
2005-02,77.3,39.1,93.2,108.6,1.0,0.0011578947368421052,93.5,84.9,119.6,-0.17,20.0,473.3945,
2005-03,77.8,39.5,93.3,108.5,1.0,0.002045454545454545,93.7,85.1,120.0,1.91,65.0,494.78695652173917,
2005-04,78.1,40.2,94.7,110.8,1.0,0.0014,94.2,85.2,120.6,0.34,65.0,510.89300000000003,
2005-05,77.9,39.6,93.3,111.5,1.0,0.0011578947368421052,94.1,85.3,119.8,0.21,65.0,511.80600000000004,
2005-06,78.4,42.6,94.2,110.9,1.0,0.0010454545454545454,94.0,85.0,120.1,0.5,65.0,450.25619047619045,
2005-07,78.8,43.8,94.7,112.2,1.0,0.00115,94.5,84.9,119.2,0.78,31.8,487.5455,
2005-08,79.2,44.5,93.5,112.2,1.0,0.001,94.7,85.0,119.3,0.55,40.99,484.0752380952381,
2005-09,79.6,45.2,95.0,112.5,1.0,0.0010999999999999998,94.8,85.2,120.4,0.69,35.75,464.0233333333333,
2005-10,80.1,47.6,95.1,112.2,1.0,0.0013000000000000002,95.0,85.2,119.8,8.7,31.5,457.74899999999997,
2005-11,79.9,50.6,96.7,111.9,1.0,0.001,95.0,84.9,121.7,1.31,31.5,453.1752380952381,
2005-12,80.0,52.4,95.7,111.7,1.25,0.0013333333333333333,95.2,85.0,121.9,-0.04,28.75,436.371,
2006-01,80.9,54.0,96.4,111.1,1.25,0.0012631578947368421,95.3,85.0,122.5,1.36,25.5,435.0361111111111,
2006-02,81.2,56.8,96.3,111.6,1.25,0.00135,95.6,84.8,122.4,0.58,25.5,433.54210526315785,
2006-03,81.6,57.7,97.0,110.7,1.25,0.0022272727272727275,95.6,85.0,123.0,0.03,25.5,437.6182608695652,
2006-04,82.3,65.6,97.3,113.8,1.25,0.002,95.9,85.1,125.5,0.05,25.5,440.23368421052635,
2006-05,82.5,77.5,98.7,113.7,1.25,0.019950000000000002,96.4,85.4,123.7,0.37,28.5,446.3242857142857,
2006-06,82.7,74.0,98.8,114.4,1.25,0.03618181818181818,96.4,85.4,125.2,0.45,28.5,448.62,
2006-07,83.4,80.0,98.5,115.3,1.25,0.15460000000000002,96.9,85.1,125.7,0.45,28.5,455.31380952380954,
2006-08,83.3,78.8,98.7,115.1,1.25,0.24956521739130436,97.2,85.7,126.1,0.33,28.5,464.15631578947364,
2006-09,82.8,77.7,98.9,115.1,1.25,0.2609,97.4,85.7,126.1,0.38,35.0,487.79333333333335,
2006-10,82.8,78.3,98.6,118.5,1.25,0.253952380952381,96.9,85.5,127.1,0.86,45.0,519.1209523809524,
2006-11,82.8,73.3,99.5,119.7,1.25,0.257,96.8,85.1,127.6,0.34,45.0,531.6204545454545,
2006-12,82.7,71.2,101.1,123.2,2.5,0.25533333333333336,96.8,85.2,127.9,1.21,40.0,519.1563157894736,
2007-01,82.9,64.7,100.6,116.9,2.5,0.26721052631578945,96.8,85.0,126.4,1.04,40.0,531.2511764705882,
2007-02,83.1,63.8,101.1,118.9,2.5,0.35715789473684206,96.8,84.6,127.2,0.62,50.0,550.2239999999999,
2007-03,83.4,67.6,101.8,118.4,2.5,0.5094285714285715,96.8,84.9,127.2,0.24,40.0,559.1663157894736,
2007-04,83.7,75.7,100.4,118.6,2.5,0.5105999999999999,97.7,85.1,126.7,-0.16,30.0,551.674,
2007-05,84.0,76.5,102.1,117.8,2.5,0.5205238095238096,97.9,85.4,128.1,0.1,22.5,531.0957142857143,
2007-06,84.2,75.6,102.4,117.3,3.0,0.5099047619047619,98.0,85.2,128.2,0.23,22.5,497.2585,
2007-07,84.4,77.0,102.5,118.0,3.0,0.49919047619047624,98.6,85.1,128.3,0.72,22.5,495.6440909090909,
2007-08,84.5,75.5,103.0,117.8,3.0,0.48491304347826086,98.7,85.5,131.6,0.75,22.5,494.875,
2007-09,84.7,73.6,102.7,117.8,3.0,0.5101666666666667,98.6,85.5,129.5,0.8,22.5,495.83549999999997,
2007-10,85.2,75.5,103.5,117.9,3.0,0.506,98.9,85.8,132.0,0.79,,496.9034782608696,
2007-11,86.0,67.7,102.9,117.0,3.0,0.5000952380952381,99.1,85.6,130.1,0.18,22.5,497.633,
2007-12,86.0,64.1,103.4,117.6,3.0,0.4966315789473684,99.4,85.8,131.0,1.1,22.5,500.67449999999997,
2008-01,86.6,67.4,104.5,120.2,3.0,0.5023157894736843,99.7,85.6,131.6,1.77,22.5,524.9647368421053,
2008-02,87.0,71.7,104.5,120.8,3.0,0.50365,100.2,85.5,132.0,0.65,24.0,546.9342857142858,
2008-03,87.5,72.7,103.7,119.8,3.0,0.5105500000000001,100.7,85.9,130.8,0.95,24.0,554.4938095238095,
2008-04,88.0,73.7,105.1,116.9,3.0,0.5061428571428571,101.6,85.8,130.0,0.57,24.0,558.4472727272728,
2008-05,89.0,72.7,101.8,115.8,3.0,0.5045,102.8,86.5,130.6,1.41,24.0,558.2004761904761,
2008-06,90.1,71.4,102.1,115.8,3.0,0.5094761904761904,103.7,86.9,127.0,2.46,30.0,559.1135,
2008-07,91.2,71.7,101.2,114.7,3.0,0.5028636363636364,106.0,87.1,126.8,1.37,30.0,558.6540909090909,
2008-08,90.9,70.0,100.7,115.8,3.0,0.5039523809523809,106.1,87.3,122.4,0.51,30.0,559.101,
2008-09,90.9,68.1,99.9,113.3,3.0,0.49505,105.4,87.3,123.8,0.97,30.0,560.874761904762,
2008-10,90.3,57.5,97.8,111.5,3.0,0.4869090909090909,103.4,87.2,120.8,0.45,30.0,567.8265217391305,
2008-11,88.3,49.7,94.2,110.2,3.0,0.30144444444444446,101.5,86.5,112.7,0.12,30.0,583.0314999999999,
2008-12,86.7,42.1,90.4,108.1,2.0,0.211,100.2,86.1,103.5,-0.04,40.0,606.8923809523809,
2009-01,86.0,42.0,86.5,106.7,2.0,0.1201578947368421,98.7,85.6,94.3,-0.07,65.0,684.0583333333333,
2009-02,85.7,43.0,84.6,110.0,2.0,0.11078947368421052,98.2,85.4,86.2,0.21,65.0,730.8140000000001,
2009-03,85.0,45.5,83.5,109.1,2.0,0.1,98.0,85.6,87.3,0.22,65.0,794.0404545454545,
2009-04,84.3,51.2,82.4,108.2,2.0,0.10366666666666667,97.4,85.7,91.2,-0.31,65.0,835.0727272727272,
2009-05,84.4,50.1,84.3,107.5,2.0,0.10205555555555555,97.0,85.5,94.5,0.04,65.0,785.677,
2009-06,84.6,53.0,84.9,107.7,2.0,0.10395454545454545,96.7,85.4,96.3,0.11,65.0,765.5125,
2009-07,84.1,53.9,85.2,106.7,2.0,0.10163636363636365,97.1,85.1,97.6,0.45,65.0,772.3147826086957,
2009-08,84.5,59.4,85.3,106.5,2.0,0.10566666666666666,97.0,85.4,99.0,0.56,65.0,804.3028571428572,
2009-09,84.2,60.1,87.3,106.2,2.0,0.10247368421052631,97.1,85.4,102.4,1.05,65.0,842.8889999999999,
2009-10,84.3,59.4,87.0,104.7,2.0,0.10614285714285715,96.4,85.0,105.0,0.19,,870.325909090909,
2009-11,84.6,62.3,87.3,105.1,2.0,0.10526315789473684,96.4,84.9,107.2,-0.03,70.0,899.5469999999999,
2009-12,84.6,64.9,87.2,102.0,2.0,0.10114285714285715,96.5,84.7,108.1,0.33,70.0,904.3066666666666,
2010-01,85.2,70.4,88.6,100.6,2.0,0.09636842105263158,97.1,84.8,110.9,0.84,70.0,910.8683333333333,
2010-02,85.4,69.7,88.2,99.3,2.0,0.10068421052631579,97.1,84.7,111.3,-0.08,70.0,918.012,
2010-03,85.9,72.7,90.0,103.6,2.0,0.09731818181818182,97.1,85.0,111.5,-0.14,60.0,876.0121739130434,
2010-04,86.7,76.3,90.2,101.8,2.0,0.09285714285714286,97.4,85.0,112.7,0.15,52.0,897.9761904761905,
2010-05,87.2,74.6,92.2,101.6,2.0,0.09077777777777778,97.4,85.0,112.5,0.29,42.0,897.124,
2010-06,87.5,73.5,92.1,109.6,2.0,0.09481818181818182,97.1,84.8,111.6,0.97,42.0,899.5,
2010-07,87.7,72.5,91.7,98.5,2.0,0.09438095238095238,97.1,84.3,112.9,1.57,29.5,900.7909523809524,
2010-08,87.7,75.8,92.8,98.9,2.0,0.09499999999999999,97.0,84.4,113.3,0.76,22.0,901.3813636363636,
2010-09,88.0,77.3,92.7,99.5,2.0,0.09115,97.0,84.6,115.1,0.44,22.0,903.6495454545455,
2010-10,88.0,78.3,93.5,100.2,2.0,0.09085,96.9,84.9,111.9,0.06,22.0,907.9685,
2010-11,88.4,81.1,94.3,99.2,2.0,0.09054999999999999,96.8,84.6,113.6,0.6,22.0,910.9547619047619,
2010-12,89.1,86.0,95.1,92.4,2.0,0.08685714285714285,97.3,84.4,114.3,0.92,22.0,912.0663636363636,
