date,turkey_usd_try_monthly_average,turkey_eur_try_monthly_average,turkey_cpi_index,turkey_domestic_ppi_index,turkey_unemployment_rate_percent,turkey_real_sector_confidence_index,turkey_consumer_confidence_index,turkey_manufacturing_capacity_utilization_percent,turkey_ppi_metal_ores_index,turkey_ppi_nonferrous_metal_ores_index,turkey_ppi_basic_metals_index,turkey_ppi_nonferrous_metals_index,turkey_ppi_electrical_equipment_index,turkey_ppi_wire_cable_index,turkey_ppi_household_appliances_index,turkey_ppi_motor_vehicles_index,turkey_capacity_intermediate_goods_percent,turkey_capacity_investment_goods_percent,turkey_capacity_basic_metals_percent,turkey_capacity_fabricated_metals_percent,turkey_capacity_electrical_equipment_percent,turkey_capacity_machinery_percent,turkey_capacity_motor_vehicles_percent,turkey_exports_usd,turkey_imports_usd,turkey_foreign_trade_balance_usd
2015-01-01,2.32834286,2.71621429,7.86779672,236.61,10.5,104.9,89.34781946,74.7,522.9,645.67,296.99,408.88,213.86,329.06,177.28,165.93,75.9,74.9,74.22028421,73.29739923,70.62051853,76.71236713,74.14788953,12910127485.0,17055167311.999998,-4145039826.999998
2015-02-01,2.455225,2.78988,7.92402893,239.46,10.7,104.5,88.79512567,75.2,559.68,691.12,298.56,421.59,215.9,329.45,178.3,165.98,76.0,74.3,74.94991134,71.7944708,72.15651798,76.81363564,73.70225514,12846416717.0,17781871290.0,-4935454573.0
2015-03-01,2.58384091,2.80465,8.0179587,241.97,10.5,100.0,86.48973828,75.4,576.13,712.71,303.13,445.93,219.51,336.37,179.13,167.05,75.2,75.7,73.79243269,71.94744863,75.4487496,78.49150777,75.17982354,13215986349.0,19529300806.0,-6313314457.0
2015-04-01,2.64814286,2.85340476,8.14864361,245.42,10.5,104.3,87.4218562,77.3,586.33,729.17,307.36,461.12,224.57,348.31,181.51,168.71,76.7,79.3,75.70925421,72.11678736,76.87851565,81.26108737,80.26048272,13953422579.0,18760215906.0,-4806793327.0
2015-05-01,2.64613684,2.95511053,8.19450898,248.15,10.2,105.8,86.79943005,77.5,586.09,733.55,310.68,472.02,226.86,350.35,185.64,170.54,78.3,80.3,77.61405784,72.87553693,77.03482073,80.72935882,82.25402005,11607981553.0,18319537273.0,-6711555720.0
2015-06-01,2.70115909,3.02674545,8.15241336,248.78,10.2,101.9,89.62664021,77.4,584.37,731.57,309.84,456.85,227.29,353.0,184.27,170.82,78.2,78.9,77.05556218,73.56088766,78.22017353,75.97134144,81.39203652,12606056614.0,18734960924.0,-6128904310.0
2015-07-01,2.69460455,2.97098182,8.15963873,247.99,10.1,102.5,88.23777123,78.0,566.43,699.57,301.92,442.89,227.81,358.13,184.84,171.46,78.4,80.3,76.72493521,74.14864928,78.86489873,80.33866377,82.25376427,11745880832.0,18976962902.0,-7231082070.0
2015-08-01,2.84555714,3.16721905,8.19230996,250.43,10.1,102.8,85.19583541,76.5,580.2,716.77,306.39,443.55,232.28,360.25,185.62,173.11,77.6,76.6,75.16875621,74.08689693,76.18807805,80.01956601,76.42767146,11522156393.0,16420827882.0,-4898671489.0
2015-09-01,3.002715,3.3749,8.26550607,254.25,10.2,99.0,82.15391598,77.6,602.46,748.88,312.97,467.75,239.7,365.26,192.01,176.82,78.0,80.3,76.43255451,73.85433911,78.33692327,80.43615515,82.72667041,12065120414.0,15912472711.0,-3847352297.0
2015-10-01,2.92957619,3.29860476,8.39399195,253.74,10.2,101.6,86.03619339,76.9,595.4,741.26,302.68,459.32,238.98,362.46,193.24,178.69,76.9,79.4,74.61809777,72.86102013,78.00438124,77.39415283,82.36304808,13838696312.0,17372152876.0,-3533456564.0
2015-11-01,2.87128571,3.08943333,8.44991001,250.13,10.2,107.4,95.15385967,77.7,576.83,714.01,292.09,430.86,237.25,359.38,194.1,178.79,78.1,80.6,76.83236306,72.88966223,78.74979836,79.26190448,83.26947817,12311852097.0,16256783239.0,-3944931142.0
2015-12-01,2.91723478,3.1696913,8.46750221,249.31,10.4,106.6,93.34194317,77.9,565.36,695.71,286.85,426.66,237.76,357.63,193.75,178.65,77.5,80.9,75.43970954,72.9241332,78.64997367,78.64059995,84.07687352,12358416421.0,18498958334.0,-6140541913.0
2016-01-01,3.00695,3.26692,8.62143395,250.67,10.2,106.5,91.94618912,77.5,580.06,725.7,285.53,434.69,240.02,357.72,197.96,179.91,76.3,79.7,75.37637358,73.19447909,78.46588732,74.41287752,83.57428638,9956568792.0,13635978706.0,-3679409914.0
2016-02-01,2.9406619,3.2628,8.61954907,250.16,10.1,105.1,89.68277974,77.1,583.23,736.89,282.84,428.73,240.77,358.05,197.75,180.59,75.8,77.4,75.19722689,72.18541953,74.83363158,76.12295067,79.37665073,12939347180.0,16112878421.0,-3173531241.0
2016-03-01,2.89173913,3.20634783,8.61609346,251.17,10.2,104.6,89.86856283,77.6,595.1,763.34,288.98,439.86,242.03,359.78,199.15,180.81,76.5,79.7,75.34990314,73.12377766,73.35995059,77.7682996,82.08392422,13384191887.0,18252854117.0,-4868662230.0
2016-04-01,2.8347381,3.21340476,8.68363494,252.47,10.1,105.3,91.24925912,77.4,589.21,757.44,296.6,431.86,242.46,359.0,199.49,179.84,77.2,81.2,74.87228688,73.22324368,75.03726886,77.99755561,83.90698896,12533489672.0,16396255049.0,-3862765377.0
2016-05-01,2.92659524,3.31473333,8.73389836,256.21,10.3,105.0,91.69577383,77.6,604.28,783.21,314.19,436.55,244.55,361.1,201.39,180.99,78.4,81.3,78.00285515,73.26570724,75.4536238,78.04569547,84.04077965,12637024952.0,17684751760.0,-5047726808.0
2016-06-01,2.91698636,3.27736364,8.77505154,257.27,10.7,104.1,92.00708656,77.6,617.52,797.55,311.05,435.03,245.22,359.6,201.83,181.52,78.6,81.5,78.34608081,74.05683394,77.46193511,77.33642991,84.74090561,13465844799.0,19866846221.0,-6401001422.0
2016-07-01,2.95755556,3.27096667,8.87714912,257.81,11.1,105.7,89.65780433,77.3,635.24,836.96,309.98,448.4,245.7,361.2,202.46,181.87,77.3,82.5,75.59308547,72.86015445,78.39923274,77.71004516,86.38911023,10286292933.0,15128604111.0,-4842311178.0
2016-08-01,2.96286364,3.32074545,8.85138912,258.01,11.1,101.7,95.16622045,76.0,636.66,844.9,309.45,447.14,246.28,362.32,201.71,183.3,76.4,79.2,75.11839356,71.99646098,78.42094377,76.38269351,81.94065092,12342120329.0,16859473730.0,-4517353401.0
2016-09-01,2.9601,3.31651111,8.86741058,258.77,11.6,106.6,94.77673501,77.6,639.41,843.06,306.43,430.76,246.3,362.46,202.38,184.09,78.2,80.2,78.3016587,72.72774894,80.24752091,76.25724588,83.46508966,11376777023.0,15644417046.0,-4267640023.0
2016-10-01,3.06794286,3.38664286,8.99495402,260.94,11.5,104.9,95.02017291,77.5,643.12,841.18,313.19,442.01,249.99,363.12,204.56,184.7,78.0,81.4,77.66938908,73.06763465,81.63332138,73.08836052,85.82158565,13491939034.0,17023966733.0,-3532027699.0
2016-11-01,3.26745,3.53438636,9.04144769,266.16,11.6,108.2,91.40910273,77.5,665.64,882.55,344.91,498.63,254.45,375.92,203.25,187.43,78.0,81.2,77.77735849,72.65461169,80.88617746,72.75563162,85.42660945,13378228023.0,17023106094.999998,-3644878071.999998
2016-12-01,3.48892727,3.68128182,9.19003894,274.09,12.1,103.9,87.00704722,78.0,691.99,894.79,374.67,548.68,262.61,398.42,204.71,191.02,77.8,82.8,77.6147947,72.19716798,78.77683505,78.30419176,86.5516269,13455174639.0,18560109870.0,-5104935231.0
2017-01-01,3.73488636,3.96548636,9.41622435,284.99,12.0,100.6,88.38577383,77.4,738.9,969.23,403.2,593.64,275.59,428.88,211.79,197.89,76.5,82.0,76.84447011,70.39760105,74.4816755,75.84671698,86.16330618,11738727564.0,16090782410.0,-4352054846.0
2017-02-01,3.67236,3.91099,9.49256193,288.59,11.9,106.2,87.63446247,77.7,754.41,992.89,406.89,590.89,276.71,435.17,210.52,201.41,76.5,81.0,77.21981811,69.42645057,74.48319196,76.88651358,84.55564842,12643609013.0,16266371713.0,-3622762700.0
2017-03-01,3.66594348,3.91577391,9.58900488,291.58,11.9,106.5,89.89268569,77.9,754.62,990.6,419.97,592.33,278.75,436.08,209.94,204.74,77.2,81.1,77.52686281,70.83972676,76.55986924,75.49556896,85.04274464,15075608163.0,19443396974.0,-4367788811.0
