month,china_refined_copper_production_ton,source_value_10000_ton,source
2005-01,152000.0,15.2,National Bureau of Statistics of China via China Data Portal
2005-02,185000.0,18.5,National Bureau of Statistics of China via China Data Portal
2005-03,186000.0,18.6,National Bureau of Statistics of China via China Data Portal
2005-04,193000.0,19.3,National Bureau of Statistics of China via China Data Portal
2005-05,222000.0,22.2,National Bureau of Statistics of China via China Data Portal
2005-06,212000.0,21.2,National Bureau of Statistics of China via China Data Portal
2005-07,205000.0,20.5,National Bureau of Statistics of China via China Data Portal
2005-08,203000.0,20.3,National Bureau of Statistics of China via China Data Portal
2005-09,218000.0,21.8,National Bureau of Statistics of China via China Data Portal
2005-10,226000.0,22.6,National Bureau of Statistics of China via China Data Portal
2005-11,248000.0,24.8,National Bureau of Statistics of China via China Data Portal
2005-12,251000.0,25.1,National Bureau of Statistics of China via China Data Portal
2006-01,218000.0,21.8,National Bureau of Statistics of China via China Data Portal
2006-02,237000.0,23.7,National Bureau of Statistics of China via China Data Portal
2006-03,233000.0,23.3,National Bureau of Statistics of China via China Data Portal
2006-04,243000.0,24.3,National Bureau of Statistics of China via China Data Portal
2006-05,244000.0,24.4,National Bureau of Statistics of China via China Data Portal
2006-06,245000.0,24.5,National Bureau of Statistics of China via China Data Portal
2006-07,236000.0,23.6,National Bureau of Statistics of China via China Data Portal
2006-08,250000.0,25.0,National Bureau of Statistics of China via China Data Portal
2006-09,248000.0,24.8,National Bureau of Statistics of China via China Data Portal
2006-10,248000.0,24.8,National Bureau of Statistics of China via China Data Portal
2006-11,251000.0,25.1,National Bureau of Statistics of China via China Data Portal
2006-12,249000.0,24.9,National Bureau of Statistics of China via China Data Portal
2007-01,222000.0,22.2,National Bureau of Statistics of China via China Data Portal
2007-02,221000.0,22.1,National Bureau of Statistics of China via China Data Portal
2007-03,220000.0,22.0,National Bureau of Statistics of China via China Data Portal
2007-04,274000.0,27.4,National Bureau of Statistics of China via China Data Portal
2007-05,278000.0,27.8,National Bureau of Statistics of China via China Data Portal
2007-06,287000.0,28.7,National Bureau of Statistics of China via China Data Portal
2007-07,288000.0,28.8,National Bureau of Statistics of China via China Data Portal
2007-08,312000.0,31.2,National Bureau of Statistics of China via China Data Portal
2007-09,307000.0,30.7,National Bureau of Statistics of China via China Data Portal
2007-10,358000.0,35.8,National Bureau of Statistics of China via China Data Portal
2007-11,334000.0,33.4,National Bureau of Statistics of China via China Data Portal
2007-12,302000.0,30.2,National Bureau of Statistics of China via China Data Portal
2008-01,260000.0,26.0,National Bureau of Statistics of China via China Data Portal
2008-02,258000.0,25.8,National Bureau of Statistics of China via China Data Portal
2008-03,306000.0,30.6,National Bureau of Statistics of China via China Data Portal
2008-04,329000.0,32.9,National Bureau of Statistics of China via China Data Portal
2008-05,324000.0,32.4,National Bureau of Statistics of China via China Data Portal
2008-06,331000.0,33.1,National Bureau of Statistics of China via China Data Portal
2008-07,330000.0,33.0,National Bureau of Statistics of China via China Data Portal
2008-08,320000.0,32.0,National Bureau of Statistics of China via China Data Portal
2008-09,317000.0,31.7,National Bureau of Statistics of China via China Data Portal
2008-10,294000.0,29.4,National Bureau of Statistics of China via China Data Portal
2008-11,330000.0,33.0,National Bureau of Statistics of China via China Data Portal
2008-12,304000.0,30.4,National Bureau of Statistics of China via China Data Portal
2009-01,286000.0,28.6,National Bureau of Statistics of China via China Data Portal
2009-02,320000.0,32.0,National Bureau of Statistics of China via China Data Portal
2009-03,319000.0,31.9,National Bureau of Statistics of China via China Data Portal
2009-04,338000.0,33.8,National Bureau of Statistics of China via China Data Portal
2009-05,332000.0,33.2,National Bureau of Statistics of China via China Data Portal
2009-06,335000.0,33.5,National Bureau of Statistics of China via China Data Portal
2009-07,336000.0,33.6,National Bureau of Statistics of China via China Data Portal
2009-08,365000.0,36.5,National Bureau of Statistics of China via China Data Portal
2009-09,395000.0,39.5,National Bureau of Statistics of China via China Data Portal
2009-10,399000.0,39.9,National Bureau of Statistics of China via China Data Portal
2009-11,421000.0,42.1,National Bureau of Statistics of China via China Data Portal
2009-12,418000.0,41.8,National Bureau of Statistics of China via China Data Portal
2010-01,343000.0,34.3,National Bureau of Statistics of China via China Data Portal
2010-02,358000.0,35.8,National Bureau of Statistics of China via China Data Portal
2010-03,358000.0,35.8,National Bureau of Statistics of China via China Data Portal
2010-04,380000.0,38.0,National Bureau of Statistics of China via China Data Portal
2010-05,403000.0,40.3,National Bureau of Statistics of China via China Data Portal
2010-06,422000.0,42.2,National Bureau of Statistics of China via China Data Portal
2010-07,398000.0,39.8,National Bureau of Statistics of China via China Data Portal
2010-08,397000.0,39.7,National Bureau of Statistics of China via China Data Portal
2010-09,405000.0,40.5,National Bureau of Statistics of China via China Data Portal
2010-10,402000.0,40.2,National Bureau of Statistics of China via China Data Portal
2010-11,443000.0,44.3,National Bureau of Statistics of China via China Data Portal
2010-12,444000.0,44.4,National Bureau of Statistics of China via China Data Portal
2011-01,409000.0,40.9,National Bureau of Statistics of China via China Data Portal
2011-02,386000.0,38.6,National Bureau of Statistics of China via China Data Portal
2011-03,470000.0,47.0,National Bureau of Statistics of China via China Data Portal
2011-04,454000.0,45.4,National Bureau of Statistics of China via China Data Portal
2011-05,439000.0,43.9,National Bureau of Statistics of China via China Data Portal
2011-06,477000.0,47.7,National Bureau of Statistics of China via China Data Portal
2011-07,478000.0,47.8,National Bureau of Statistics of China via China Data Portal
2011-08,518000.0,51.8,National Bureau of Statistics of China via China Data Portal
2011-09,479000.0,47.9,National Bureau of Statistics of China via China Data Portal
2011-10,469000.0,46.9,National Bureau of Statistics of China via China Data Portal
2011-11,448000.0,44.8,National Bureau of Statistics of China via China Data Portal
2011-12,457000.0,45.7,National Bureau of Statistics of China via China Data Portal
2012-01,433000.0,43.3,National Bureau of Statistics of China via China Data Portal
2012-02,437000.0,43.7,National Bureau of Statistics of China via China Data Portal
2012-03,510000.0,51.0,National Bureau of Statistics of China via China Data Portal
2012-04,491000.0,49.1,National Bureau of Statistics of China via China Data Portal
2012-05,484000.0,48.4,National Bureau of Statistics of China via China Data Portal
2012-06,518000.0,51.8,National Bureau of Statistics of China via China Data Portal
2012-07,483000.0,48.3,National Bureau of Statistics of China via China Data Portal
2012-08,511000.0,51.1,National Bureau of Statistics of China via China Data Portal
2012-09,511000.0,51.1,National Bureau of Statistics of China via China Data Portal
2012-10,520000.0,52.0,National Bureau of Statistics of China via China Data Portal
2012-11,531000.0,53.1,National Bureau of Statistics of China via China Data Portal
2012-12,580000.0,58.0,National Bureau of Statistics of China via China Data Portal
2013-03,560000.0,56.0,National Bureau of Statistics of China via China Data Portal
2013-04,557000.0,55.7,National Bureau of Statistics of China via China Data Portal
2013-05,568000.0,56.8,National Bureau of Statistics of China via China Data Portal
2013-06,568000.0,56.8,National Bureau of Statistics of China via China Data Portal
2013-07,533000.0,53.3,National Bureau of Statistics of China via China Data Portal
2013-08,561000.0,56.1,National Bureau of Statistics of China via China Data Portal
2013-09,621000.0,62.1,National Bureau of Statistics of China via China Data Portal
2013-10,637000.0,63.7,National Bureau of Statistics of China via China Data Portal
2013-11,654000.0,65.4,National Bureau of Statistics of China via China Data Portal
2013-12,619000.0,61.9,National Bureau of Statistics of China via China Data Portal
2014-03,592000.0,59.2,National Bureau of Statistics of China via China Data Portal
2014-04,584000.0,58.4,National Bureau of Statistics of China via China Data Portal
2014-05,615000.0,61.5,National Bureau of Statistics of China via China Data Portal
2014-06,623000.0,62.3,National Bureau of Statistics of China via China Data Portal
2014-07,634000.0,63.4,National Bureau of Statistics of China via China Data Portal
2014-08,681000.0,68.1,National Bureau of Statistics of China via China Data Portal
2014-09,715000.0,71.5,National Bureau of Statistics of China via China Data Portal
2014-10,734000.0,73.4,National Bureau of Statistics of China via China Data Portal
2014-11,755000.0,75.5,National Bureau of Statistics of China via China Data Portal
2014-12,833000.0,83.3,National Bureau of Statistics of China via China Data Portal
2015-02,584000.0,58.4,National Bureau of Statistics of China via China Data Portal
2015-03,635000.0,63.5,National Bureau of Statistics of China via China Data Portal
2015-04,607000.0,60.7,National Bureau of Statistics of China via China Data Portal
2015-05,652000.0,65.2,National Bureau of Statistics of China via China Data Portal
2015-06,693000.0,69.3,National Bureau of Statistics of China via China Data Portal
2015-07,664000.0,66.4,National Bureau of Statistics of China via China Data Portal
2015-08,663000.0,66.3,National Bureau of Statistics of China via China Data Portal
2015-09,679000.0,67.9,National Bureau of Statistics of China via China Data Portal
2015-10,695000.0,69.5,National Bureau of Statistics of China via China Data Portal
2015-11,740000.0,74.0,National Bureau of Statistics of China via China Data Portal
