date,aluminum_cash_usd_per_ton,aluminum_3_month_usd_per_ton,aluminum_stock_ton,nickel_cash_usd_per_ton,nickel_3_month_usd_per_ton,nickel_stock_ton,zinc_cash_usd_per_ton,zinc_3_month_usd_per_ton,zinc_stock_ton,lead_cash_usd_per_ton,lead_3_month_usd_per_ton,lead_stock_ton,tin_cash_usd_per_ton,tin_3_month_usd_per_ton,tin_stock_ton
2008-01-02,2365.5,2413.0,929450.0,26505.0,26725.0,47940.0,2384.0,2404.0,88475.0,2580.0,2580.0,45350.0,16055.0,16245.0,12150.0
2008-01-03,2422.0,2470.5,929500.0,28105.0,28400.0,47892.0,2466.0,2477.0,88250.0,2593.0,2601.0,46750.0,16355.0,16450.0,12115.0
2008-01-04,2447.0,2498.0,933750.0,29515.0,29825.0,47784.0,2563.0,2555.0,88375.0,2665.0,2670.0,46850.0,16550.0,16580.0,12080.0
2008-01-07,2404.0,2459.0,934350.0,27905.0,28205.0,48126.0,2475.5,2482.0,95150.0,2601.0,2611.0,48900.0,16200.0,16300.0,12060.0
2008-01-08,2442.0,2491.5,935150.0,28855.0,29135.0,48156.0,2534.0,2540.5,94825.0,2580.5,2600.0,49200.0,16400.0,16450.0,12060.0
2008-01-09,2450.5,2502.0,935525.0,28800.0,29200.0,48036.0,2527.0,2531.0,94700.0,2630.0,2620.5,49300.0,16450.0,16550.0,12060.0
2008-01-10,2415.5,2467.0,936475.0,28155.0,28500.0,47886.0,2409.5,2405.0,94200.0,2525.5,2535.5,49325.0,16150.0,16300.0,11995.0
2008-01-11,2417.0,2475.0,939325.0,27610.0,28050.0,47544.0,2321.0,2340.5,94175.0,2551.0,2565.0,49250.0,16175.0,16325.0,11935.0
2008-01-14,2470.5,2525.0,940050.0,28710.0,29005.0,46908.0,2375.5,2381.0,94125.0,2640.0,2661.0,48950.0,16350.0,16490.0,11820.0
2008-01-15,2460.5,2507.0,941225.0,28450.0,28710.0,46692.0,2295.5,2312.0,97250.0,2680.0,2685.5,49325.0,16145.0,16300.0,11785.0
2008-01-16,2423.0,2472.0,944075.0,27900.0,28200.0,46602.0,2262.0,2283.0,99200.0,2610.0,2611.0,49300.0,16060.0,16250.0,11740.0
2008-01-17,2412.5,2460.0,947625.0,27715.0,28005.0,46524.0,2270.5,2301.0,99575.0,2610.0,2619.5,48650.0,16350.0,16425.0,12005.0
2008-01-18,2400.0,2440.0,947450.0,27600.0,27860.0,46422.0,2240.5,2276.0,104475.0,2550.0,2540.0,48050.0,16450.0,16450.0,12010.0
2008-01-21,2371.5,2419.0,949475.0,27330.0,27700.0,46176.0,2260.5,2271.0,105500.0,2513.5,2516.5,47925.0,16175.0,16300.0,12015.0
2008-01-22,2359.0,2401.0,948600.0,26550.0,26850.0,46344.0,2180.0,2201.0,105000.0,2480.0,2482.0,48100.0,16000.0,16075.0,11875.0
2008-01-23,2371.0,2413.0,948000.0,26800.0,27050.0,46398.0,2216.0,2245.0,108925.0,2540.5,2555.0,48075.0,16345.0,16325.0,11825.0
2008-01-24,2411.0,2455.0,946550.0,26860.0,27200.0,46590.0,2235.5,2250.5,109700.0,2579.5,2590.0,47900.0,16550.0,16535.0,11755.0
2008-01-25,2483.0,2518.0,945075.0,27010.0,27400.0,46656.0,2241.5,2280.0,109900.0,2650.5,2670.0,47800.0,16300.0,16400.0,11555.0
2008-01-28,2447.0,2493.0,952150.0,26455.0,26725.0,46806.0,2210.0,2245.0,110175.0,2586.5,2605.0,47075.0,16250.0,16350.0,11530.0
2008-01-29,2555.0,2592.0,953175.0,27330.0,27600.0,46914.0,2310.5,2327.0,110425.0,2730.0,2740.0,48900.0,16575.0,16685.0,11680.0
2008-01-30,2631.0,2339.0,955350.0,27460.0,27705.0,47064.0,2312.5,2339.0,111250.0,2741.0,2755.0,49100.0,16700.0,16765.0,11710.0
2008-01-31,2643.0,2685.0,956625.0,27550.0,27900.0,47214.0,2392.0,2415.0,111325.0,2741.5,2751.0,48700.0,16835.0,16945.0,11695.0
2008-02-01,2676.0,2720.5,956475.0,27705.0,28050.0,47052.0,2506.0,2525.5,111350.0,2845.0,2855.0,48525.0,16910.0,17050.0,11590.0
2008-02-04,2628.5,2673.0,954850.0,27350.0,27675.0,46968.0,2465.0,2485.5,110900.0,2865.0,2851.0,48700.0,16780.0,16860.0,11575.0
2008-02-05,2597.5,2638.5,954450.0,26565.0,26805.0,46650.0,2402.0,2425.0,113025.0,2770.0,2770.0,49075.0,16600.0,16700.0,11555.0
2008-02-06,2591.5,2632.0,953575.0,26410.0,26705.0,46770.0,2384.0,2400.0,112825.0,2800.0,2796.0,49000.0,16680.0,16775.0,11530.0
2008-02-07,2601.0,2643.0,953575.0,26475.0,26800.0,46770.0,2333.0,2345.5,112825.0,2786.0,2775.5,49000.0,16700.0,16755.0,11530.0
2008-02-08,2680.0,2709.0,953450.0,27355.0,27605.0,46782.0,2345.0,2360.5,112725.0,2880.0,2885.0,49000.0,16975.0,16950.0,11410.0
