date,palladium_usd_per_troy_ounce
2012-07-25,565.0
2014-01-10,736.0
2014-01-13,740.0
2014-01-14,736.0
2014-01-15,733.5
2014-01-16,738.0
2014-01-17,743.0
2014-01-20,748.5
2014-01-21,746.0
2014-01-22,744.0
2014-01-23,747.0
2014-01-24,744.0
2014-01-27,732.0
2014-01-28,723.0
2014-01-29,717.0
2014-01-30,715.0
2014-01-31,706.5
2014-02-03,709.0
2014-02-04,703.0
2014-02-05,711.0
2014-02-06,711.0
2014-02-07,712.5
2014-02-10,716.0
2014-02-11,720.0
2014-02-12,722.0
2014-02-13,725.5
2014-02-14,737.0
2014-02-17,738.0
2014-02-18,734.5
2014-02-19,738.0
2014-02-20,734.5
2014-02-21,738.0
2014-02-24,740.0
2014-02-25,738.5
2014-02-26,734.5
2014-02-27,738.0
2014-02-28,743.5
2014-03-03,747.5
2014-03-04,748.0
2014-03-05,768.0
2014-03-06,777.0
2014-03-07,776.0
2014-03-10,773.75
2014-03-11,777.5
2014-03-12,764.0
2014-03-13,775.0
2014-03-14,776.0
2014-03-17,775.0
2014-03-18,768.0
2014-03-19,768.0
2014-03-20,755.0
2014-03-21,776.0
2014-03-24,794.25
2014-03-25,788.25
2014-03-26,784.0
2014-03-27,765.0
2014-03-28,768.0
2014-03-31,777.5
2014-04-01,774.75
2014-04-02,779.0
2014-04-03,785.5
2014-04-04,788.0
2014-04-07,784.0
2014-04-08,775.0
2014-04-09,775.5
2014-04-10,787.0
2014-04-11,788.0
2014-04-14,811.5
2014-04-15,793.5
2014-04-16,799.0
2014-04-17,799.0
2014-04-18,799.0
2014-04-21,799.0
2014-04-22,785.5
2014-04-24,786.0
2014-04-25,804.5
2014-04-28,811.0
2014-04-29,798.25
2014-04-30,803.0
2014-05-02,815.0
2014-05-05,815.0
2014-05-06,815.5
2014-05-07,813.0
2014-05-08,804.0
2014-05-09,803.5
2014-05-12,805.0
2014-05-13,810.5
2014-05-14,822.5
2014-05-15,822.5
2014-05-16,812.0
2014-05-20,818.5
2014-05-21,828.0
2014-05-22,833.0
2014-05-23,831.5
2014-05-26,831.5
2014-05-27,832.5
2014-05-28,839.5
2014-05-29,833.0
2014-05-30,833.5
2014-06-02,833.5
2014-06-03,834.0
2014-06-04,833.5
2014-06-05,836.5
2014-06-06,840.5
2014-06-09,844.0
2014-06-10,847.5
2014-06-11,854.5
2014-06-12,844.5
2014-06-13,820.5
2014-06-16,813.0
2014-06-17,810.5
2014-06-18,826.0
2014-06-19,828.5
2014-06-20,829.0
2014-06-23,815.5
2014-06-24,827.5
2014-06-25,825.5
2014-06-26,831.5
2014-06-27,838.0
2014-06-30,843.0
2014-07-01,847.0
2014-07-02,854.5
2014-07-03,855.5
2014-07-04,860.0
2014-07-07,866.0
2014-07-08,869.5
2014-07-09,872.0
2014-07-10,869.5
2014-07-11,867.0
2014-07-14,870.0
2014-07-15,873.0
2014-07-16,869.0
2014-07-17,884.0
2014-07-18,879.0
2014-07-21,883.0
2014-07-22,871.0
2014-07-23,873.5
2014-07-24,869.5
2014-07-25,875.5
2014-07-31,880.0
2014-08-01,871.5
2014-08-04,868.0
2014-08-05,849.0
2014-08-06,846.0
2014-08-07,853.5
2014-08-08,857.5
2014-08-11,862.0
2014-08-12,879.0
2014-08-13,879.0
2014-08-14,881.5
2014-08-15,881.5
2014-08-18,899.0
2014-08-19,895.5
2014-08-20,869.0
2014-08-21,873.5
2014-08-22,852.5
2014-08-25,882.5
2014-08-26,887.0
2014-08-27,887.0
2014-08-28,897.5
2014-08-29,896.5
2014-09-01,909.0
2014-09-02,894.0
2014-09-03,875.0
2014-09-04,883.5
2014-09-05,887.0
2014-09-08,894.0
2014-09-09,883.5
2014-09-10,856.0
2014-09-11,847.0
2014-09-12,829.0
2014-09-15,845.0
2014-09-16,838.0
2014-09-17,843.0
2014-09-18,826.0
2014-09-19,825.0
2014-09-22,807.0
2014-09-23,813.5
2014-09-24,822.0
2014-09-25,804.0
2014-09-26,803.5
2014-09-29,786.0
2014-09-30,780.5
2014-10-01,770.0
2014-10-02,779.5
2014-10-08,796.0
2014-10-09,808.0
2014-10-10,787.5
2014-10-13,786.0
2014-10-14,791.5
2014-10-15,783.5
2014-10-16,752.0
2014-10-17,753.5
2014-10-20,755.0
2014-10-21,767.0
2014-10-22,773.5
2014-10-23,769.0
2014-10-24,785.5
2014-10-27,784.5
2014-10-30,786.5
2014-10-31,781.5
2014-11-03,802.5
2014-11-04,798.5
2014-11-05,763.0
2014-11-06,757.5
2014-11-07,758.5
2014-11-10,771.0
2014-11-11,763.0
2014-11-12,775.0
2014-11-13,772.5
2014-11-14,763.5
2014-11-17,767.5
2014-11-18,773.0
2014-11-19,776.0
2014-11-20,768.5
2014-11-21,785.5
2014-11-24,792.0
2014-11-25,796.0
2014-11-26,796.5
2014-11-27,802.5
2014-11-28,806.5
2014-12-01,806.5
2014-12-02,806.5
2014-12-03,807.0
2014-12-04,798.5
2014-12-05,803.5
2014-12-08,804.0
2014-12-09,806.0
2014-12-10,815.0
2014-12-11,817.0
2014-12-12,817.5
2014-12-15,812.0
2014-12-16,802.0
2014-12-17,786.5
2014-12-18,788.0
2014-12-19,793.5
2014-12-22,808.0
2014-12-23,810.5
2014-12-24,809.0
2014-12-25,809.0
2014-12-26,809.0
2014-12-29,812.5
2014-12-30,810.5
2014-12-31,798.0
2015-01-02,793.5
2015-01-05,796.5
2015-01-06,797.5
2015-01-07,798.0
2015-01-08,790.5
2015-01-09,794.5
2015-01-12,805.5
2015-01-13,813.5
2015-01-14,792.0
2015-01-15,775.5
2015-01-16,765.0
2015-01-19,763.0
2015-01-20,773.0
2015-01-21,778.0
2015-01-22,762.0
2015-01-23,771.0
2015-01-26,769.5
2015-01-27,780.5
2015-01-28,787.0
2015-01-29,788.0
2015-01-30,779.0
2015-02-02,772.5
2015-02-03,793.0
2015-02-04,789.0
2015-02-05,789.0
2015-02-06,790.0
2015-02-09,780.5
2015-02-10,777.5
2015-02-11,770.5
2015-02-12,773.5
2015-02-13,778.0
2015-02-16,786.0
2015-02-17,784.0
2015-02-18,780.5
2015-02-19,778.5
2015-02-20,781.0
2015-02-23,779.0
2015-02-24,785.5
2015-02-25,803.5
2015-02-26,814.0
2015-02-27,806.0
2015-03-02,818.5
2015-03-03,828.0
2015-03-04,826.0
2015-03-05,829.0
2015-03-06,823.0
2015-03-09,822.0
2015-03-10,806.5
2015-03-11,799.5
2015-03-12,792.5
2015-03-13,793.0
2015-03-16,788.5
2015-03-17,771.0
2015-03-18,763.5
2015-03-19,772.0
2015-03-20,774.5
2015-03-23,776.5
2015-03-24,770.5
2015-03-25,766.5
2015-03-26,773.5
2015-03-27,754.0
2015-03-30,740.0
2015-03-31,731.5
2015-04-01,739.5
2015-04-02,749.0
