date,delivery_month,open_cny_per_ton,high_cny_per_ton,low_cny_per_ton,close_cny_per_ton,settlement_cny_per_ton,pre_settlement_cny_per_ton,volume_lots,open_interest_lots,open_interest_change,turnover
2016-01-04,1602,36540.0,36680.0,35930.0,36100,36160,36610,234824,175346,-19262,
2016-01-05,1603,36000.0,36550.0,35820.0,36510,36120,36050,411016,291660,-2966,
2016-01-06,1603,36410.0,36530.0,36140.0,36240,36320,36120,476828,299874,8214,
2016-01-07,1603,36140.0,36580.0,35910.0,36090,36240,36320,646922,305238,5364,
2016-01-08,1603,35810.0,36090.0,35230.0,35680,35690,36240,974450,318464,13226,
2016-01-11,1603,35630.0,35790.0,34760.0,34770,35320,35690,647856,356500,38036,
2016-01-12,1603,34900.0,35140.0,34610.0,34630,34890,35320,668706,354662,-1838,
2016-01-13,1603,34740.0,35070.0,34660.0,34810,34830,34890,611038,351896,-2766,
2016-01-14,1603,34760.0,35030.0,34350.0,34930,34750,34830,713142,333742,-18154,
2016-01-15,1603,34840.0,35330.0,34730.0,34800,35010,34750,598056,317570,-16172,
2016-01-18,1603,34480.0,35200.0,34450.0,34990,34870,35010,672146,315402,-2168,
2016-01-19,1603,34970.0,35600.0,34840.0,35360,35170,34870,636590,307608,-7794,
2016-01-20,1603,35400.0,35470.0,34970.0,35080,35210,35170,495406,305510,-2098,
2016-01-21,1603,35000.0,35280.0,34810.0,34850,35030,35210,556644,310518,5008,
2016-01-22,1603,35000.0,35410.0,34910.0,35190,35170,35030,549800,294652,-15866,
2016-01-25,1603,35350.0,35400.0,34920.0,35020,35140,35170,406458,294056,-596,
2016-01-26,1603,35050.0,35190.0,34840.0,35100,35010,35140,414594,278786,-15270,
2016-01-27,1603,35480.0,35840.0,35280.0,35780,35540,35010,551904,265050,-13736,
2016-01-28,1603,35670.0,35980.0,35570.0,35600,35740,35540,418618,247240,-17810,
2016-01-29,1603,35640.0,35800.0,35470.0,35680,35630,35740,447376,224774,-22466,
2016-02-01,1603,35630.0,35820.0,35350.0,35450,35600,35630,316184,211646,-13128,
2016-02-02,1603,35510.0,35710.0,35380.0,35640,35550,35600,219372,206848,-4798,
2016-02-03,1603,35750.0,35800.0,35380.0,35650,35550,35550,249588,200044,-6804,
2016-02-04,1603,35650.0,36440.0,35640.0,36330,36020,35550,259658,187024,-13020,
2016-02-05,1603,36250.0,36530.0,36120.0,36350,36320,36020,184432,174498,-12526,
2016-02-15,1604,35800.0,35940.0,35510.0,35750,35770,36440,190342,232728,-9208,
2016-02-16,1604,35670.0,36010.0,35650.0,35750,35790,35770,274046,251394,18666,
2016-02-17,1604,35760.0,35910.0,35470.0,35480,35650,35790,343700,251098,-296,
2016-02-18,1604,35590.0,35820.0,35550.0,35700,35690,35650,251418,254242,3144,
2016-02-19,1604,35700.0,36030.0,35510.0,35920,35750,35690,379600,270716,16474,
2016-02-22,1604,35780.0,36380.0,35700.0,36350,36050,35750,398280,268738,-1978,
2016-02-23,1604,36450.0,36560.0,36090.0,36200,36330,36050,313264,259186,-9552,
2016-02-24,1604,36280.0,36280.0,35700.0,35810,35990,36330,332556,260900,1714,
2016-02-25,1604,35780.0,36290.0,35680.0,35920,36010,35990,408926,245666,-15234,
2016-02-26,1604,36020.0,36060.0,35550.0,35840,35790,36010,399770,226834,-18832,
2016-02-29,1604,36190.0,36570.0,35660.0,35840,36090,35790,693032,199640,-27194,
2016-03-01,1604,36050.0,36110.0,35530.0,35960,35870,36090,420474,182716,-16924,
2016-03-02,1605,36160.0,36960.0,36020.0,36940,36430,35890,529086,325702,49664,
2016-03-03,1605,36830.0,37150.0,36800.0,37000,36970,36430,490662,310200,-15502,
2016-03-04,1605,37110.0,38010.0,37020.0,37950,37520,36970,712994,311400,1200,
2016-03-07,1605,37910.0,39400.0,37640.0,38090,38210,37520,1078126,276290,-35110,
2016-03-08,1605,38250.0,38620.0,37460.0,37750,38000,38210,910538,261796,-14494,
2016-03-09,1605,37920.0,37920.0,36800.0,37320,37190,38000,852456,257800,-3996,
2016-03-10,1605,37440.0,37670.0,37250.0,37300,37420,37190,521714,258828,1028,
2016-03-11,1605,37350.0,37740.0,37040.0,37710,37370,37420,506820,276460,17632,
2016-03-14,1605,37540.0,38150.0,37490.0,37750,37770,37370,527542,276344,-116,
2016-03-15,1605,37700.0,37710.0,37130.0,37250,37350,37770,484084,280502,4158,
