year,chile_copper_production_ton,chile_mining_wage_index,chile_mining_wage_yoy_pct,chile_copper_fuel_consumption_tj,chile_copper_electricity_consumption_tj,chile_copper_total_energy_consumption_tj,chile_open_pit_fuel_mj_per_ton,chile_concentrator_electricity_mj_per_ton,chile_sulfuric_acid_consumption_ton,chile_sulfuric_acid_production_ton,chile_sulfuric_acid_import_ton,chile_sulfuric_acid_export_ton,chile_average_copper_ore_grade_pct,source
2005,5423723.614620001,77.28285410010649,,42468.04841861769,58830.51697987919,101298.56539849688,4196.4126099648065,7240.738290709786,,,,,,COCHILCO_YEARBOOK_2005_2024
2006,5467903.597240001,82.04654419595313,6.163967611336019,44346.311391950076,59744.386920221004,104090.69831217108,4464.95176312885,7424.502328771422,,,,,,COCHILCO_YEARBOOK_2005_2024
2007,5647111.3082232075,88.38248668796591,7.722375822290006,52939.13726863134,63854.364211364424,116793.50147999576,5119.6423182328135,7862.745075622553,,,,,,COCHILCO_YEARBOOK_2005_2024
2008,5408820.97211,98.96585729499466,11.974511018674217,56993.00241481705,64653.27657706401,121646.27899188106,5634.384664284333,8208.547254742078,,,,,,COCHILCO_YEARBOOK_2005_2024
2009,5474832.561159999,102.83,3.9045210243439987,64401.668642623314,68318.1860300018,132719.8546726251,6764.334381448205,9055.498019636614,,,,,,COCHILCO_YEARBOOK_2005_2024
2010,5490046.91937,106.32,3.393951181561805,60636.62428743985,68946.57355002496,129583.1978374648,6217.688147617777,8945.6,,,,,,COCHILCO_YEARBOOK_2005_2024
2011,5323217.994299999,114.89,8.060571858540255,65732.2441202101,71873.68675777716,137605.93087798727,7719.66278313777,10283.474781265535,,,,,,COCHILCO_YEARBOOK_2005_2024
2012,5544904.41355,124.61,8.460266341718171,74475.51907384637,77644.67868324305,152120.19775708942,7123.1658462105215,11250.298099905105,,,,,,COCHILCO_YEARBOOK_2005_2024
2013,5945733.126409999,129.54,3.9563437926330103,73929.22260026155,81091.99998118219,155021.22258144373,7462.92590048274,10557.216981523503,,,,,,COCHILCO_YEARBOOK_2005_2024
2014,5943702.999999999,138.58,6.978539447274978,79374.82083258044,83261.54969644627,162636.37052902672,7677.815121326512,10810.35307387483,,,,,,COCHILCO_YEARBOOK_2005_2024
2015,5954469.9399999995,142.96,3.1606292394284807,78538.88426015065,85151.47394700775,163690.3582071584,8647.931262702668,11325.036859037156,7835597.36787767,5709748.92000067,2180254.988677,54406.540799999995,0.6932887218664667,COCHILCO_YEARBOOK_2005_2024
2016,5708575.68,102.33,,79256.46478715188,87672.27974602688,166928.74453317875,9787.830994731905,11875.877821717733,7376251.05670469,5721362.8778216895,1723635.6508829999,68747.47200000001,0.6529488512432209,COCHILCO_YEARBOOK_2005_2024
2017,5652929.483108579,107.02,4.583211179517255,81716.9408050738,89171.3793667942,170888.320171868,9620.002280297977,12147.435212275632,7663451.672722,5497791.0,2180555.602722,14894.93,0.647519733792209,COCHILCO_YEARBOOK_2005_2024
2018,5985741.871999999,107.0,-0.01868809568305041,82484.64484717073,94088.75372267273,176573.39856984344,10066.188380938733,11790.245156449704,8157201.138198001,5303233.0,2868617.904598,14649.7664,0.61,COCHILCO_YEARBOOK_2005_2024
2019,5941452.040999999,111.99,4.663551401869159,86053.0936524387,89870.92359120975,175924.01724364847,9717.27568417623,11405.500590237274,8168371.880387001,4644452.725000001,3527168.6053870004,3249.45,0.6413600439708789,COCHILCO_YEARBOOK_2005_2024
2020,5872034.499040001,117.47,4.893294044111096,85661.3983125854,95949.38979434871,181610.7881069341,10228.055127770449,11459.068400231688,7708651.883683379,5305988.784834378,2450863.502849,48200.404,0.6396104481714416,COCHILCO_YEARBOOK_2005_2024
2021,5768357.57104,126.76,7.908402145228566,86331.38366398803,98446.24260007219,184777.6262640602,9682.201806546542,11999.98108985816,8145240.543231,5083200.0,3082574.0922310003,20533.549,0.6289419982782414,COCHILCO_YEARBOOK_2005_2024
2022,5481375.865226994,148.09,16.827074786999052,90934.0701381121,97695.90938617749,188629.9795242896,11287.119640318873,12346.441384085312,8544640.73734,4849000.0,3696702.6973400004,1061.96,0.5913704125441854,COCHILCO_YEARBOOK_2005_2024
2023,5410553.977517661,102.452226683315,,94934.12417278104,96744.24383314782,191678.36800592887,12023.406783930026,13072.802326752035,8263482.541658001,4875200.0,3432407.955658,44125.414,0.5910134686948647,COCHILCO_YEARBOOK_2005_2024
2024,5606316.5409032805,110.07049306058,7.435920744615387,97145.064945,102306.5359382,199451.6008832,12349.227050919491,13079.284699203845,8322667.575819,4737087.0,3625369.154819,39788.579,0.6150113713705385,COCHILCO_YEARBOOK_2005_2024
