observation_year,icsg_mine_production_ton,icsg_refined_production_ton,icsg_refined_usage_ton,icsg_refined_balance_ton,is_forecast,report_year,source
2017,,,,-150000,True,2017,ICSG_2017_10_FORECAST
2018,20300000.0,,,40000,True,2018,ICSG_2018_04_FORECAST
2019,,24780000.0,24969000.0,-190000,True,2019,ICSG_2019_05_FORECAST
2020,20450000.0,24520000.0,24490000.0,-50000,True,2020,ICSG_2020_10_FORECAST
2021,21161000.0,24825000.0,25264000.0,-439000,False,2022,ICSG_2022_05_FORECAST
2022,21922000.0,25641000.0,26072000.0,-431000,False,2023,ICSG_2023_04_FORECAST
2023,22401000.0,26547000.0,26549000.0,-3000,False,2024,ICSG_2024_04_FORECAST
2024,22983000.0,27486000.0,27348000.0,138000,False,2025,ICSG_2025_04_FORECAST
2025,23197000.0,28656000.0,28201000.0,455000,False,2026,ICSG_2026_04_FORECAST
2026,23559000.0,28760000.0,28664000.0,96000,True,2026,ICSG_2026_04_FORECAST
2027,24103000.0,29613000.0,29236000.0,377000,True,2026,ICSG_2026_04_FORECAST
