month,peru_usd_pen,peru_diesel_price_index,peru_industrial_electricity_tariff_index,peru_formal_private_income_pen
2005-01,3.268,,,
2005-02,3.259,,,
2005-03,3.259,,,
2005-04,3.258,,,
2005-05,3.255,,,
2005-06,3.253,,,
2005-07,3.252,,,
2005-08,3.257,,,
2005-09,3.308,,,
2005-10,3.381,,,
2005-11,3.376,,,
2005-12,3.424,,,
2006-01,3.393,,,
2006-02,3.289,,,
2006-03,3.339,,,
2006-04,3.332,,,
2006-05,3.279,,,
2006-06,3.264,,,
2006-07,3.243,,,
2006-08,3.234,,,
2006-09,3.248,,,
2006-10,3.237,,,
2006-11,3.222,,,
2006-12,3.205,,,
2007-01,3.193,,,
2007-02,3.19,,,
2007-03,3.186,,,
2007-04,3.178,,,
2007-05,3.168,,,
2007-06,3.17,,,
2007-07,3.161,,,
2007-08,3.158,,,
2007-09,3.136,,,
2007-10,3.02,,,
2007-11,3.001,,,
2007-12,2.981,,,
2008-01,2.95,,,
2008-02,2.906,,,
2008-03,2.811,,,
2008-04,2.748,,,
2008-05,2.805,,,
2008-06,2.892,,,
2008-07,2.848,,,
2008-08,2.892,,,
2008-09,2.966,,,
2008-10,3.075,,,
2008-11,3.092,,,
2008-12,3.114,,,
2009-01,3.151,,,
2009-02,3.236,,,
2009-03,3.175,,,
2009-04,3.085,,,
2009-05,2.994,,,
2009-06,2.99,,,
2009-07,3.013,,,
2009-08,2.951,,,
2009-09,2.91,,,
2009-10,2.872,,,
2009-11,2.885,,,
2009-12,2.877,,,
2010-01,2.856,97.0,101.0,
2010-02,2.854,95.0,103.0,
2010-03,2.839,95.0,103.0,
2010-04,2.84,97.0,103.0,
2010-05,2.846,102.0,99.0,
2010-06,2.838,101.0,99.0,
2010-07,2.823,101.0,99.0,
2010-08,2.802,100.0,98.0,
2010-09,2.791,100.0,98.0,
2010-10,2.791,101.0,99.0,
2010-11,2.806,105.0,101.0,
2010-12,2.816,105.0,98.0,
2011-01,2.787,110.0,108.0,
2011-02,2.771,110.0,102.0,
2011-03,2.779,108.0,102.0,
2011-04,2.816,108.0,103.0,
2011-05,2.775,108.0,99.0,
2011-06,2.764,111.0,99.0,
2011-07,2.741,112.0,100.0,
2011-08,2.739,112.0,102.0,
2011-09,2.744,116.0,102.0,
2011-10,2.732,116.0,103.0,
2011-11,2.705,121.0,102.0,
2011-12,2.696,120.0,102.0,
2012-01,2.693,117.0,104.0,
2012-02,2.684,117.0,109.0,
2012-03,2.671,121.0,109.0,
2012-04,2.657,120.0,108.0,
2012-05,2.669,121.0,103.0,
2012-06,2.671,121.0,103.0,
2012-07,2.635,115.0,103.0,
2012-08,2.616,115.0,105.0,
2012-09,2.603,117.0,104.0,
2012-10,2.588,117.0,105.0,
2012-11,2.599,117.0,105.0,
2012-12,2.567,117.0,105.0,
2013-01,2.552,112.0,104.0,
2013-02,2.578,112.0,105.0,
2013-03,2.594,116.0,108.0,
2013-04,2.598,116.0,108.0,
2013-05,2.644,110.0,102.0,
2013-06,2.748,110.0,105.0,
2013-07,2.777,113.0,106.0,
2013-08,2.802,112.0,109.0,
2013-09,2.779,118.0,109.0,
2013-10,2.769,118.0,109.0,
2013-11,2.798,115.0,107.0,
2013-12,2.785,115.0,108.0,
2014-01,2.809,115.0,104.0,
2014-02,2.813,114.0,111.0,
2014-03,2.806,116.0,110.0,
2014-04,2.794,115.0,114.0,
2014-05,2.787,114.0,115.0,
2014-06,2.794,113.0,115.0,
2014-07,2.786,112.0,115.0,
2014-08,2.814,111.0,108.0,
2014-09,2.864,109.0,108.0,
2014-10,2.906,108.0,111.0,
2014-11,2.925,104.0,111.0,
2014-12,2.962,98.0,110.0,
2015-01,3.006,88.0,114.0,2169.6
2015-02,3.079,81.0,117.0,2287.0
2015-03,3.092,79.0,117.0,3113.9
2015-04,3.12,79.0,116.0,2323.0
2015-05,3.15,78.0,123.0,2187.2
2015-06,3.161,78.0,123.0,2192.0
2015-07,3.181,77.0,127.0,3658.9
2015-08,3.238,77.0,129.0,2129.1
2015-09,3.219,76.0,130.0,2155.8
2015-10,3.248,76.0,130.0,2165.5
2015-11,3.337,75.0,129.0,2153.3
2015-12,3.383,75.0,129.0,3897.0
2016-01,3.437,68.0,134.0,2265.6
2016-02,3.506,66.0,133.0,2401.3
2016-03,3.407,66.0,132.0,3055.4
2016-04,3.302,65.0,127.0,2308.0
2016-05,3.334,68.0,128.0,2257.7
2016-06,3.317,68.0,128.0,2260.3
2016-07,3.299,72.0,128.0,3771.8
2016-08,3.333,72.0,131.0,2198.8
2016-09,3.382,72.0,131.0,2234.0
2016-10,3.386,72.0,131.0,2228.2
2016-11,3.403,75.0,137.0,2211.9
2016-12,3.395,76.0,137.0,4028.4
2017-01,3.34,79.0,136.0,2312.5
2017-02,3.26,79.0,131.0,2431.6
2017-03,3.264,78.0,129.0,3081.2
2017-04,3.247,78.0,130.0,2368.9
2017-05,3.273,78.0,125.0,2289.0
2017-06,3.268,78.0,126.0,2305.5
2017-07,3.249,76.0,127.0,3820.4
2017-08,3.241,75.0,129.0,2242.0
2017-09,3.246,77.0,130.0,2289.7
2017-10,3.251,77.0,130.0,2238.4
2017-11,3.241,81.0,134.0,2229.6
2017-12,3.246,81.0,136.0,4028.8
