date,baltic_dry_index
2015-01-02,771.0
2015-01-05,761.0
2015-01-06,758.0
2015-01-07,744.0
2015-01-08,724.0
2015-01-09,709.0
2015-01-12,723.0
2015-01-13,762.0
2015-01-14,757.0
2015-01-15,749.0
2015-01-16,741.0
2015-01-19,739.0
2015-01-20,753.0
2015-01-21,770.0
2015-01-22,751.0
2015-01-23,720.0
2015-01-26,703.0
2015-01-27,688.0
2015-01-28,666.0
2015-01-29,632.0
2015-01-30,608.0
2015-02-02,590.0
2015-02-03,577.0
2015-02-04,569.0
2015-02-05,564.0
2015-02-06,559.0
2015-02-09,554.0
2015-02-10,556.0
2015-02-11,553.0
2015-02-12,540.0
2015-02-13,530.0
2015-02-16,522.0
2015-02-17,516.0
2015-02-18,509.0
2015-02-23,512.0
2015-02-24,516.0
2015-02-25,524.0
2015-02-26,533.0
2015-02-27,540.0
2015-03-02,548.0
2015-03-03,553.0
2015-03-04,559.0
2015-03-05,561.0
2015-03-06,565.0
2015-03-09,568.0
2015-03-10,568.0
2015-03-11,565.0
2015-03-12,560.0
2015-03-13,562.0
2015-03-16,564.0
2015-03-17,568.0
2015-03-18,571.0
2015-03-19,584.0
2015-03-20,591.0
2015-03-23,594.0
2015-03-24,597.0
2015-03-25,598.0
2015-03-26,598.0
2015-03-27,596.0
2015-03-30,599.0
2015-03-31,602.0
2015-04-01,596.0
2015-04-02,588.0
2015-04-07,583.0
2015-04-08,580.0
2015-04-09,580.0
2015-04-10,580.0
2015-04-13,578.0
2015-04-14,581.0
2015-04-15,586.0
2015-04-16,593.0
2015-04-17,597.0
2015-04-20,598.0
2015-04-21,601.0
2015-04-22,600.0
2015-04-23,599.0
2015-04-24,600.0
2015-04-27,600.0
2015-04-28,601.0
2015-04-29,595.0
2015-04-30,591.0
2015-05-01,587.0
2015-05-05,580.0
2015-05-06,575.0
2015-05-07,573.0
2015-05-08,574.0
2015-05-11,578.0
2015-05-12,589.0
2015-05-13,634.0
2015-05-14,637.0
2015-05-15,634.0
2015-05-18,630.0
2015-05-19,620.0
2015-05-20,606.0
2015-05-21,592.0
2015-05-22,586.0
2015-05-26,584.0
2015-05-27,587.0
2015-05-28,588.0
2015-05-29,589.0
2015-06-01,589.0
2015-06-02,591.0
2015-06-03,598.0
2015-06-04,603.0
2015-06-05,610.0
2015-06-08,610.0
2015-06-09,612.0
2015-06-10,618.0
2015-06-11,629.0
2015-06-12,642.0
2015-06-15,656.0
2015-06-16,681.0
2015-06-17,725.0
2015-06-18,773.0
2015-06-19,779.0
2015-06-22,779.0
2015-06-23,790.0
2015-06-24,829.0
2015-06-25,829.0
2015-06-26,823.0
2015-06-29,813.0
2015-06-30,800.0
2015-07-01,794.0
2015-07-02,794.0
2015-07-03,805.0
2015-07-06,815.0
2015-07-07,830.0
2015-07-08,840.0
2015-07-09,853.0
2015-07-10,874.0
2015-07-13,900.0
2015-07-14,915.0
2015-07-15,951.0
2015-07-16,1009.0
2015-07-17,1048.0
2015-07-20,1067.0
2015-07-21,1113.0
2015-07-22,1118.0
2015-07-23,1102.0
2015-07-24,1086.0
2015-07-27,1090.0
2015-07-28,1094.0
2015-07-29,1104.0
2015-07-30,1100.0
2015-07-31,1131.0
2015-08-03,1151.0
2015-08-04,1200.0
2015-08-05,1222.0
2015-08-06,1201.0
2015-08-07,1200.0
2015-08-10,1197.0
2015-08-11,1162.0
2015-08-12,1093.0
2015-08-13,1046.0
2015-08-14,1055.0
2015-08-17,1063.0
2015-08-18,1046.0
2015-08-19,1031.0
2015-08-20,1014.0
2015-08-21,994.0
2015-08-24,968.0
2015-08-25,942.0
2015-08-26,918.0
2015-08-27,905.0
2015-08-28,903.0
2015-09-01,911.0
2015-09-02,906.0
2015-09-03,891.0
2015-09-04,875.0
2015-09-07,876.0
2015-09-08,873.0
2015-09-09,855.0
2015-09-10,830.0
2015-09-11,818.0
2015-09-14,805.0
2015-09-15,802.0
2015-09-16,814.0
2015-09-17,883.0
2015-09-18,960.0
2015-09-21,978.0
2015-09-22,923.0
2015-09-23,917.0
2015-09-24,922.0
2015-09-25,943.0
2015-09-28,943.0
2015-09-29,926.0
2015-09-30,900.0
2015-10-01,888.0
2015-10-02,889.0
2015-10-05,881.0
2015-10-06,869.0
