global_portcalls,global_container_portcalls,global_dry_bulk_portcalls,global_cargo_portcalls,global_import,global_export,global_dry_bulk_import,global_dry_bulk_export,global_container_import,global_container_export,date,copper_supply_portcalls,copper_supply_dry_bulk_portcalls,copper_supply_dry_bulk_import,copper_supply_dry_bulk_export,china_copper_related_portcalls,china_copper_related_dry_bulk_portcalls,china_copper_related_dry_bulk_import,china_copper_related_dry_bulk_export
3595,1007,612,2406,28461348,23942960,11615844,10104418,7813491,6269754,2019-01-01,19,7,54946,71673,211,53,1467458,392480
4008,1134,679,2712,30771295,26160446,12874221,11032330,8948555,7212124,2019-01-02,9,1,0,30951,224,59,1983601,518041
4489,1224,729,3078,33536542,27113021,12677770,12311894,9242004,6735569,2019-01-03,16,6,111803,47231,231,65,1605450,283950
4238,1153,656,2867,32411046,24640329,12612847,10412718,9706770,6934616,2019-01-04,9,3,0,163804,176,31,759289,466097
4452,1230,718,2992,35244196,30308432,13216874,12611647,9456637,8357184,2019-01-05,15,5,55822,0,262,59,1475836,340715
4171,1132,657,2902,29772726,24197782,11137603,9612555,8242558,6663787,2019-01-06,16,4,73888,32372,220,56,747971,480049
5286,1346,847,3650,36709808,31512694,15758575,12901926,10173453,8721920,2019-01-07,15,3,89819,0,247,58,1632114,358353
4573,1190,726,3137,32010088,27192479,13954945,10658849,7631806,8048458,2019-01-08,22,4,67708,14731,232,66,1682097,514357
4868,1330,754,3410,32707150,28411591,12970809,11784763,9002049,7689015,2019-01-09,9,1,0,31451,224,62,1461614,621315
4776,1212,754,3290,35238835,27618939,15143922,11452116,9108939,7952878,2019-01-10,13,6,102178,64020,207,63,1658547,439804
4971,1303,814,3436,31429833,31145598,13728252,14044164,7869172,9043433,2019-01-11,14,3,66142,0,252,56,1496151,279133
4492,1229,705,3059,29091272,28373627,13533993,9963456,6683375,9410445,2019-01-12,14,4,70957,121298,208,47,1295129,233433
4152,1157,655,2947,28904610,28174839,13120547,11434151,8390583,8257557,2019-01-13,13,4,16709,54429,234,61,1546796,514428
5338,1295,848,3640,33645723,29554402,13649289,12344323,7943306,7987361,2019-01-14,16,4,85257,41529,245,65,1554898,745779
4545,1181,669,3154,29226922,26842409,11290400,11708022,8058357,7288235,2019-01-15,16,7,87431,304707,225,61,1317353,476994
5030,1320,792,3498,33133617,30374625,13020606,11404960,9384761,9666830,2019-01-16,12,5,26078,82867,233,69,930622,488220
4663,1220,748,3234,30281270,29185642,12748624,12261792,8805008,7699951,2019-01-17,10,2,0,18484,226,56,1220046,514553
4896,1258,759,3349,35018811,30276432,14345176,13113328,7858491,9352526,2019-01-18,17,6,65980,224418,248,59,1636702,457472
4533,1207,672,3066,28936953,29517466,9986404,11613475,7669282,9264772,2019-01-19,16,1,0,19982,216,56,1081843,534621
4571,1208,726,3229,29753730,28317161,12898252,12806599,7884219,8086878,2019-01-20,15,3,64607,61763,213,55,1795096,365947
5132,1207,769,3455,32815247,30524650,14287452,11984250,8339502,8551116,2019-01-21,17,4,73923,16195,220,52,1087066,660581
5057,1271,798,3535,31337673,31306861,13247046,12172594,7724925,8750881,2019-01-22,10,1,0,29856,246,68,1547778,720957
4930,1322,739,3461,31299466,29444953,13064450,10678427,8211503,8788208,2019-01-23,17,5,111493,170020,238,53,1584794,481115
4728,1243,740,3306,29199970,29695699,12467375,11481016,8536205,8747381,2019-01-24,9,3,5653,48473,192,52,1078808,555164
4901,1247,791,3352,33089805,30637607,13102325,12489611,9278896,8721566,2019-01-25,16,5,83080,82262,265,60,1515067,614334
4420,1221,691,3075,29953328,28129404,11920540,11412928,7656330,7844770,2019-01-26,11,0,0,0,219,51,910067,327689
4309,1129,707,3027,26957756,28222233,10314447,12596762,6754337,7149415,2019-01-27,18,8,169016,147704,221,67,1518477,522794
5129,1260,776,3482,32324009,31597236,12049757,12219543,7727441,10319713,2019-01-28,13,3,23671,78096,243,65,1033508,758226
4912,1342,760,3439,31002659,32319798,12491873,14017517,7587413,9158491,2019-01-29,9,3,74570,41622,207,60,1246141,345264
4932,1296,756,3454,32450982,30150885,14025055,11489822,8231420,9643425,2019-01-30,11,5,112171,177236,202,50,1458790,331839
4740,1242,730,3282,30954184,30870874,11960940,12694327,7991982,8191339,2019-01-31,11,3,76348,16276,192,44,746656,231905
4796,1234,769,3275,31761927,29853862,13161960,12150822,7262622,9234927,2019-02-01,13,5,0,125648,274,69,1172740,537909
4347,1177,658,2973,29004925,28358376,11436113,10149753,7032541,9646735,2019-02-02,15,1,0,4477,240,62,1204164,616470
4178,1127,680,2959,26335372,26323224,11904122,12085208,6419766,7440938,2019-02-03,17,7,132112,92141,205,51,963155,562082
4691,1126,643,3180,27948007,26943537,10392865,10069865,7045915,8093855,2019-02-04,15,5,41035,72261,150,32,894109,159631
4458,1181,672,3095,29519835,25593617,10760740,10065372,8535315,7464245,2019-02-05,16,6,11228,72743,169,39,861687,329067
4561,1219,656,3162,26995138,29144978,10482508,11826577,8181942,8361545,2019-02-06,21,6,54656,151545,177,36,780408,315639
4488,1150,650,3074,28598276,25953682,12048723,9708589,7089248,6914359,2019-02-07,10,1,56862,0,125,42,650827,448967
4660,1202,722,3117,31087834,29561572,11708667,12635502,8566476,7247495,2019-02-08,13,4,59199,30272,182,51,1166986,521634
4236,1089,675,2870,29001500,28150226,11615435,12289378,8012404,6959426,2019-02-09,15,2,0,20921,171,45,1620663,392642
4100,1049,638,2831,27499801,27516587,11452379,12375022,6870253,7046139,2019-02-10,10,3,54499,78106,169,48,927586,520881
4990,1169,714,3361,32790338,26537015,12776958,11130946,8220034,7020016,2019-02-11,13,4,98283,7651,173,44,1072086,314890
